Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000012,0.000015,0.000009,0.000012,"7,645","288,504"
"Dec 15, 2017",0.000012,0.000015,0.000010,0.000012,"3,309","287,449"
"Dec 14, 2017",0.000012,0.000013,0.000008,0.000012,"8,327","290,079"
"Dec 13, 2017",0.000016,0.000017,0.000011,0.000012,"4,999","392,578"
"Dec 12, 2017",0.000013,0.000018,0.000009,0.000016,"24,955","310,527"
"Dec 11, 2017",0.000010,0.000013,0.000009,0.000013,"1,172","247,055"
"Dec 10, 2017",0.000009,0.000011,0.000007,0.000010,"1,467","224,393"
"Dec 09, 2017",0.000010,0.000014,0.000007,0.000009,"8,519","239,017"
"Dec 08, 2017",0.000009,0.000012,0.000008,0.000010,"2,591","207,146"
"Dec 07, 2017",0.000014,0.000015,0.000008,0.000009,"2,521","335,333"
"Dec 06, 2017",0.000017,0.000018,0.000011,0.000014,"9,995","403,931"
"Dec 05, 2017",0.000011,0.000019,0.000008,0.000017,"30,500","270,788"
"Dec 04, 2017",0.000009,0.000011,0.000007,0.000011,"7,374","216,186"
"Dec 03, 2017",0.000009,0.000010,0.000008,0.000009,"1,887","212,832"
"Dec 02, 2017",0.000007,0.000009,0.000007,0.000009,"1,144","160,787"
"Dec 01, 2017",0.000009,0.000009,0.000006,0.000007,666,"204,453"
"Nov 30, 2017",0.000007,0.000009,0.000006,0.000009,"2,973","178,667"
"Nov 29, 2017",0.000007,0.000010,0.000006,0.000007,646,"179,140"
"Nov 28, 2017",0.000005,0.000008,0.000004,0.000007,"19,063","108,854"
"Nov 27, 2017",0.000004,0.000005,0.000003,0.000005,"1,500","99,786"
"Nov 26, 2017",0.000004,0.000005,0.000004,0.000004,334,"104,404"
"Nov 25, 2017",0.000003,0.000005,0.000003,0.000004,"2,457","74,022"
"Nov 24, 2017",0.000003,0.000004,0.000003,0.000003,256,"64,847"
"Nov 23, 2017",0.000003,0.000004,0.000003,0.000003,45,"73,194"
"Nov 22, 2017",0.000003,0.000003,0.000003,0.000003,87,"62,628"
"Nov 21, 2017",0.000002,0.000003,0.000002,0.000003,362,"57,117"
"Nov 20, 2017",0.000002,0.000003,0.000002,0.000002,12,"57,899"
"Nov 19, 2017",0.000003,0.000003,0.000002,0.000002,183,"77,276"
"Nov 18, 2017",0.000003,0.000003,0.000003,0.000003,287,"62,573"
"Nov 17, 2017",0.000002,0.000003,0.000002,0.000003,194,"55,720"
"Nov 16, 2017",0.000003,0.000003,0.000002,0.000002,75,"65,473"
"Nov 15, 2017",0.000003,0.000003,0.000002,0.000003,44,"61,985"
"Nov 14, 2017",0.000003,0.000003,0.000002,0.000003,232,"69,362"
"Nov 13, 2017",0.000003,0.000003,0.000003,0.000003,368,"69,861"
"Nov 12, 2017",0.000002,0.000003,0.000002,0.000003,"1,053","56,351"
"Nov 11, 2017",0.000002,0.000003,0.000002,0.000002,477,"56,912"
"Nov 10, 2017",0.000003,0.000003,0.000002,0.000002,43,"61,110"
"Nov 09, 2017",0.000003,0.000003,0.000002,0.000003,514,"74,020"
"Nov 08, 2017",0.000002,0.000003,0.000002,0.000003,321,"57,829"
"Nov 07, 2017",0.000002,0.000003,0.000002,0.000002,65,"52,170"
"Nov 06, 2017",0.000003,0.000003,0.000002,0.000002,50,"65,738"
"Nov 05, 2017",0.000002,0.000003,0.000002,0.000003,31,"44,721"
"Nov 04, 2017",0.000002,0.000002,0.000002,0.000002,28,"56,014"
"Nov 03, 2017",0.000002,0.000002,0.000002,0.000002,14,"51,158"
"Nov 02, 2017",0.000002,0.000003,0.000002,0.000002,412,"49,466"
"Nov 01, 2017",0.000003,0.000003,0.000002,0.000002,112,"61,052"
"Oct 31, 2017",0.000003,0.000003,0.000002,0.000003,134,"60,463"
"Oct 30, 2017",0.000002,0.000004,0.000002,0.000003,128,"58,553"
"Oct 29, 2017",0.000002,0.000003,0.000002,0.000003,49,"52,806"
"Oct 28, 2017",0.000002,0.000002,0.000002,0.000002,7,"48,774"
"Oct 27, 2017",0.000002,0.000002,0.000002,0.000002,15,"56,966"
"Oct 26, 2017",0.000002,0.000003,0.000002,0.000002,93,"53,504"
"Oct 25, 2017",0.000002,0.000003,0.000002,0.000002,961,"53,143"
"Oct 24, 2017",0.000002,0.000003,0.000002,0.000002,250,"39,373"
"Oct 23, 2017",0.000003,0.000003,0.000002,0.000002,226,"75,748"
"Oct 22, 2017",0.000002,0.000004,0.000002,0.000003,41,"46,080"
"Oct 21, 2017",0.000002,0.000004,0.000002,0.000002,10,"43,921"
"Oct 20, 2017",0.000002,0.000003,0.000002,0.000002,89,"53,507"
"Oct 19, 2017",0.000002,0.000002,0.000002,0.000002,33,"46,940"
"Oct 18, 2017",0.000002,0.000002,0.000002,0.000002,23,"42,903"
"Oct 17, 2017",0.000002,0.000002,0.000001,0.000002,183,"37,068"
"Oct 16, 2017",0.000002,0.000003,0.000002,0.000002,15,"46,889"
