Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.016553,0.016783,0.012950,0.015190,663,"63,701"
"Dec 15, 2017",0.015443,0.016763,0.013853,0.016530,178,"59,292"
"Dec 14, 2017",0.017886,0.019214,0.013891,0.015420,"2,100","68,471"
"Dec 13, 2017",0.020093,0.020673,0.016742,0.017944,947,"76,520"
"Dec 12, 2017",0.021080,0.023250,0.018624,0.020076,641,"79,766"
"Dec 11, 2017",0.017834,0.021765,0.017756,0.021012,797,"67,180"
"Dec 10, 2017",0.015256,0.021865,0.012841,0.017964,602,"57,226"
"Dec 09, 2017",0.019517,0.022295,0.014562,0.015195,277,"72,786"
"Dec 08, 2017",0.025479,0.025548,0.019359,0.019536,876,"94,575"
"Dec 07, 2017",0.014517,0.031448,0.014311,0.025419,"4,157","53,517"
"Dec 06, 2017",0.011777,0.017811,0.011777,0.014542,382,"43,147"
"Dec 05, 2017",0.011307,0.015876,0.011149,0.011803,570,"41,229"
"Dec 04, 2017",0.010904,0.012744,0.010562,0.011284,931,"39,496"
"Dec 03, 2017",0.011119,0.011763,0.010271,0.010868,173,"40,100"
"Dec 02, 2017",0.011455,0.013331,0.009213,0.011108,366,"41,096"
"Dec 01, 2017",0.009848,0.012322,0.009623,0.011465,507,"35,061"
"Nov 30, 2017",0.009627,0.011499,0.008893,0.009897,210,"34,073"
"Nov 29, 2017",0.009630,0.011712,0.008905,0.009481,264,"33,870"
"Nov 28, 2017",0.009811,0.011819,0.009519,0.009640,357,"34,255"
"Nov 27, 2017",0.008545,0.013981,0.008545,0.009786,"1,404","29,601"
"Nov 26, 2017",0.008755,0.009216,0.008187,0.008543,366,"30,090"
"Nov 25, 2017",0.007428,0.008807,0.007159,0.008758,558,"25,222"
"Nov 24, 2017",0.006230,0.007665,0.005366,0.007443,455,"20,987"
"Nov 23, 2017",0.007498,0.007573,0.005526,0.006238,421,"25,065"
"Nov 22, 2017",0.007328,0.009396,0.007291,0.007500,312,"24,301"
"Nov 21, 2017",0.007690,0.009750,0.007204,0.007309,517,"25,293"
"Nov 20, 2017",0.008194,0.008209,0.007287,0.007689,397,"26,745"
"Nov 19, 2017",0.007620,0.008285,0.006969,0.008198,133,"24,759"
"Nov 18, 2017",0.008021,0.008021,0.007031,0.007634,187,"25,873"
"Nov 17, 2017",0.007677,0.008073,0.006899,0.008073,241,"24,582"
"Nov 16, 2017",0.006634,0.007802,0.006499,0.007690,196,"21,158"
"Nov 15, 2017",0.006067,0.006819,0.006067,0.006600,103,"19,249"
"Nov 14, 2017",0.006761,0.007271,0.006012,0.006062,250,"21,349"
"Nov 13, 2017",0.005931,0.007289,0.005729,0.006746,760,"18,620"
"Nov 12, 2017",0.006010,0.006700,0.005380,0.005922,195,"18,748"
"Nov 11, 2017",0.006243,0.007036,0.005831,0.006014,203,"19,367"
"Nov 10, 2017",0.007427,0.009104,0.006154,0.006266,396,"22,846"
"Nov 09, 2017",0.010218,0.016746,0.006996,0.007405,337,"31,205"
"Nov 08, 2017",0.005066,0.012115,0.005036,0.010228,"1,099","15,384"
"Nov 07, 2017",0.003688,0.005079,0.003688,0.005079,394,"11,112"
"Nov 06, 2017",0.005623,0.006177,0.002933,0.003694,369,"16,786"
"Nov 05, 2017",0.005371,0.009359,0.004163,0.005611,545,"15,889"
"Nov 04, 2017",0.007992,0.008104,0.005109,0.005381,182,"23,435"
"Nov 03, 2017",0.008180,0.008556,0.007783,0.008013,336,"23,870"
"Nov 02, 2017",0.007954,0.008576,0.007954,0.008191,351,"23,102"
"Nov 01, 2017",0.007762,0.009194,0.007655,0.007945,484,"22,382"
"Oct 31, 2017",0.007706,0.009013,0.007233,0.007767,211,"22,032"
"Oct 30, 2017",0.007848,0.009127,0.007677,0.007732,274,"22,225"
"Oct 29, 2017",0.008193,0.010027,0.007020,0.007893,366,"23,028"
