Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",1.59,1.77,1.59,1.73,"11,477,300","213,736,000"
"Dec 15, 2017",1.67,1.75,1.39,1.58,"12,895,600","223,367,000"
"Dec 14, 2017",1.29,1.78,1.29,1.66,"20,394,800","173,331,000"
"Dec 13, 2017",1.32,1.40,1.22,1.29,"10,077,300","176,673,000"
"Dec 12, 2017",1.29,1.40,1.19,1.32,"12,071,700","172,363,000"
"Dec 11, 2017",1.21,1.37,1.21,1.28,"12,061,600","162,714,000"
"Dec 10, 2017",1.32,1.36,1.17,1.22,"11,857,300","176,624,000"
"Dec 09, 2017",1.34,1.42,1.25,1.31,"11,555,400","179,294,000"
"Dec 08, 2017",1.30,1.38,1.17,1.34,"15,028,900","174,622,000"
"Dec 07, 2017",1.51,1.62,1.26,1.30,"17,081,800","202,709,000"
"Dec 06, 2017",1.53,1.60,1.30,1.52,"18,240,500","204,563,000"
"Dec 05, 2017",1.29,1.56,1.26,1.53,"21,937,700","173,080,000"
"Dec 04, 2017",1.16,1.39,1.16,1.29,"17,105,500","155,822,000"
"Dec 03, 2017",1.09,1.31,1.08,1.16,"14,703,900","146,838,000"
"Dec 02, 2017",1.10,1.13,1.05,1.08,"6,350,120","147,882,000"
"Dec 01, 2017",1.09,1.11,1.02,1.10,"5,718,590","146,004,000"
"Nov 30, 2017",1.06,1.12,0.966658,1.09,"6,932,710","141,810,000"
"Nov 29, 2017",1.19,1.24,0.984371,1.04,"7,987,200","160,282,000"
"Nov 28, 2017",1.25,1.27,1.18,1.19,"6,956,870","167,139,000"
"Nov 27, 2017",1.34,1.34,1.23,1.25,"7,203,350","180,129,000"
"Nov 26, 2017",1.13,1.41,1.13,1.34,"8,519,500","150,965,000"
"Nov 25, 2017",1.10,1.15,1.09,1.13,"4,326,530","147,403,000"
"Nov 24, 2017",1.10,1.13,1.03,1.10,"3,881,350","147,208,000"
"Nov 23, 2017",1.11,1.13,1.08,1.09,"3,389,830","149,478,000"
"Nov 22, 2017",1.08,1.13,1.07,1.11,"2,462,030","144,697,000"
"Nov 21, 2017",1.10,1.11,1.06,1.08,"2,273,720","146,934,000"
"Nov 20, 2017",1.11,1.13,1.09,1.10,"2,329,790","148,571,000"
"Nov 19, 2017",1.12,1.16,1.10,1.11,"1,865,000","149,694,000"
"Nov 18, 2017",1.07,1.13,1.07,1.13,"2,322,650","143,704,000"
"Nov 17, 2017",1.10,1.13,1.06,1.08,"2,472,740","146,901,000"
"Nov 16, 2017",1.06,1.10,1.04,1.09,"2,711,870","142,054,000"
"Nov 15, 2017",1.10,1.11,1.05,1.05,"2,040,950","146,985,000"
"Nov 14, 2017",1.10,1.13,1.07,1.09,"2,103,320","147,259,000"
"Nov 13, 2017",1.03,1.16,1.03,1.10,"2,533,900","138,259,000"
"Nov 12, 2017",1.15,1.15,1.01,1.03,"4,044,360","154,734,000"
"Nov 11, 2017",1.18,1.26,1.14,1.16,"3,341,260","158,005,000"
"Nov 10, 2017",1.16,1.28,1.12,1.19,"4,331,320","156,232,000"
"Nov 09, 2017",1.08,1.17,1.07,1.16,"3,713,980","145,512,000"
"Nov 08, 2017",1.02,1.11,1.01,1.10,"3,162,230","136,394,000"
"Nov 07, 2017",0.977155,1.02,0.968491,1.01,"1,827,370","131,068,000"
"Nov 06, 2017",0.987037,1.01,0.968645,0.975155,"1,641,020","132,394,000"
"Nov 05, 2017",1.05,1.05,0.977584,0.992220,"1,471,530","140,524,000"
"Nov 04, 2017",0.991559,1.06,0.968152,1.05,"2,074,870","133,000,000"
"Nov 03, 2017",0.954365,1.07,0.943979,0.994894,"3,303,530","128,011,000"
"Nov 02, 2017",0.976271,0.976271,0.923113,0.955285,"2,677,130","130,950,000"
"Nov 01, 2017",0.949209,1.09,0.935429,0.969523,"4,692,730","127,320,000"
"Oct 31, 2017",0.985966,1.01,0.947389,0.952349,"1,840,830","132,250,000"
"Oct 30, 2017",0.970894,0.999891,0.963641,0.988590,"1,764,840","130,229,000"
"Oct 29, 2017",0.940198,1.01,0.935279,0.974032,"1,598,860","126,111,000"
"Oct 28, 2017",1.01,1.02,0.931122,0.938338,"1,458,920","135,186,000"
"Oct 27, 2017",1.05,1.06,0.999185,1.01,"1,480,770","140,364,000"
"Oct 26, 2017",1.09,1.09,1.03,1.05,"1,273,230","145,662,000"
"Oct 25, 2017",1.07,1.09,1.02,1.08,"1,806,630","143,240,000"
"Oct 24, 2017",0.958708,1.16,0.928185,1.06,"2,674,010","128,594,000"
"Oct 23, 2017",1.03,1.03,0.886744,0.959859,"1,818,730","137,817,000"
"Oct 22, 2017",1.04,1.07,1.01,1.03,"1,008,560","138,967,000"
"Oct 21, 2017",1.04,1.06,0.993162,1.03,"1,222,700","139,223,000"
"Oct 20, 2017",1.10,1.12,1.05,1.05,"1,750,820","147,755,000"
"Oct 19, 2017",1.18,1.23,1.09,1.11,"1,718,040","157,638,000"
"Oct 18, 2017",1.09,1.19,1.02,1.17,"2,117,500","145,975,000"
"Oct 17, 2017",1.12,1.14,1.06,1.09,"1,584,850","155,015,000"
"Oct 16, 2017",1.13,1.19,1.10,1.12,"1,708,690","156,550,000"
"Oct 15, 2017",1.20,1.23,1.11,1.12,"1,581,870","165,467,000"
"Oct 14, 2017",1.13,1.26,1.12,1.19,"1,665,910","156,511,000"
"Oct 13, 2017",1.21,1.25,1.11,1.14,"3,801,870","167,655,000"
"Oct 12, 2017",1.36,1.38,1.20,1.21,"3,191,600","187,762,000"
"Oct 11, 2017",1.41,1.45,1.33,1.35,"2,490,110","194,220,000"
"Oct 10, 2017",1.32,1.51,1.28,1.41,"3,865,780","182,709,000"
"Oct 09, 2017",1.49,1.60,1.25,1.34,"4,111,030","205,720,000"
"Oct 08, 2017",1.74,1.74,1.47,1.49,"3,154,360","239,711,000"
"Oct 07, 2017",1.69,1.81,1.68,1.73,"3,343,770","232,691,000"
"Oct 06, 2017",1.71,1.71,1.58,1.68,"3,614,010","236,075,000"
"Oct 05, 2017",1.69,1.73,1.65,1.71,"2,388,130","233,811,000"
"Oct 04, 2017",1.74,1.77,1.67,1.69,"2,997,490","239,513,000"
"Oct 03, 2017",1.88,1.90,1.68,1.74,"4,315,990","260,007,000"
"Oct 02, 2017",2.16,2.16,1.86,1.88,"5,359,390","297,983,000"
"Oct 01, 2017",1.78,2.23,1.76,2.15,"9,558,870","245,657,000"
"Sep 30, 2017",1.75,1.79,1.71,1.78,"2,964,430","241,157,000"
"Sep 29, 2017",1.74,1.83,1.57,1.75,"5,894,070","239,539,000"
"Sep 28, 2017",1.75,1.80,1.58,1.75,"6,194,970","241,833,000"
"Sep 27, 2017",1.88,1.95,1.37,1.75,"13,061,200","259,508,000"
"Sep 26, 2017",2.39,2.46,1.75,1.86,"17,221,400","329,963,000"
"Sep 25, 2017",1.85,2.57,1.84,2.37,"20,214,300","255,726,000"
"Sep 24, 2017",1.85,1.89,1.58,1.85,"16,343,900","255,074,000"
