Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.023619,0.051519,0.020152,0.051156,825,"235,253"
"Dec 15, 2017",0.031624,0.035290,0.022466,0.023587,"4,652","314,610"
"Dec 14, 2017",0.067255,0.074707,0.031164,0.031577,914,"668,313"
"Dec 13, 2017",0.034470,0.073124,0.029437,0.067471,"1,793","342,181"
"Dec 12, 2017",0.058151,0.058248,0.021699,0.034440,"4,776","576,723"
"Dec 11, 2017",0.034362,0.061072,0.034212,0.059089,"1,547","340,342"
"Dec 10, 2017",0.029364,0.048093,0.018167,0.034892,"19,587","290,428"
"Dec 09, 2017",0.153440,0.153440,0.022864,0.029248,"15,137","1,515,710"
"Dec 08, 2017",0.015422,0.168858,0.012791,0.153599,"3,885","152,095"
"Dec 07, 2017",0.040558,0.066760,0.014374,0.015386,"3,083","399,634"
"Dec 06, 2017",0.012831,0.043267,0.012831,0.040628,588,"126,274"
"Dec 05, 2017",0.031049,0.032247,0.012774,0.012862,"1,124","305,171"
"Dec 04, 2017",0.018715,0.030988,0.016322,0.030988,242,"183,683"
"Dec 03, 2017",0.016120,0.020630,0.012042,0.018653,721,"158,070"
"Dec 02, 2017",0.056338,0.057058,0.014344,0.016104,"2,120","551,611"
"Dec 01, 2017",0.017371,0.059821,0.016066,0.056386,309,"169,894"
"Nov 30, 2017",0.034720,0.046210,0.009875,0.017455,"2,236","339,184"
"Nov 29, 2017",0.075716,0.086046,0.009154,0.034195,"1,310","738,790"
"Nov 28, 2017",0.025154,0.077820,0.018810,0.075796,805,"245,027"
"Nov 27, 2017",0.030660,0.037183,0.016432,0.025087,240,"298,397"
"Nov 26, 2017",0.006603,0.037729,0.006486,0.030654,777,"64,169"
"Nov 25, 2017",0.013270,0.017634,0.006123,0.006605,357,"128,811"
"Nov 24, 2017",0.011751,0.017029,0.011012,0.013297,116,"113,942"
"Nov 23, 2017",0.014899,0.015713,0.009319,0.011768,"1,149","144,264"
"Nov 22, 2017",0.010766,0.073318,0.010408,0.014904,"1,937","104,162"
"Nov 21, 2017",0.020945,0.024605,0.008195,0.010740,102,"202,312"
"Nov 20, 2017",0.016769,0.037702,0.008480,0.020941,501,"161,788"
"Nov 19, 2017",0.038826,0.045865,0.016464,0.016777,999,"374,135"
"Nov 18, 2017",0.013320,0.053110,0.011264,0.038898,"1,109","128,165"
"Nov 17, 2017",0.024568,0.025146,0.008691,0.013372,975,"236,162"
"Nov 16, 2017",0.030999,0.039047,0.024489,0.024608,313,"297,595"
"Nov 15, 2017",0.037533,0.038957,0.014534,0.030838,425,"359,819"
"Nov 14, 2017",0.014482,0.040425,0.013638,0.037507,157,"138,625"
"Nov 13, 2017",0.019469,0.027759,0.013585,0.014451,353,"186,194"
"Nov 12, 2017",0.010382,0.021240,0.008637,0.019441,311,"99,152"
"Nov 11, 2017",0.015789,0.022045,0.008575,0.010389,"1,453","150,581"
"Nov 10, 2017",0.018614,0.021845,0.009038,0.015845,407,"177,274"
"Nov 09, 2017",0.029155,0.041325,0.018483,0.018559,123,"277,368"
"Nov 08, 2017",0.010024,0.029602,0.009964,0.029185,153,"95,233"
"Nov 07, 2017",0.014705,0.014780,0.005946,0.010055,141,"139,510"
"Nov 06, 2017",0.004963,0.015260,0.004737,0.014729,446,"47,031"
"Nov 05, 2017",0.018321,0.031050,0.004898,0.004952,359,"173,404"
"Nov 04, 2017",0.021148,0.031683,0.007695,0.018356,669,"199,923"
"Nov 03, 2017",0.018014,0.031630,0.010347,0.021203,201,"170,068"
"Nov 02, 2017",0.012523,0.024446,0.012523,0.018038,109,"118,153"
"Nov 01, 2017",0.012565,0.020907,0.011871,0.012509,84,"118,335"
"Oct 31, 2017",0.014793,0.018477,0.009471,0.012574,158,"139,153"
"Oct 30, 2017",0.046280,0.049731,0.013182,0.014844,490,"434,746"
"Oct 29, 2017",0.031510,0.047619,0.023184,0.046550,64,-
"Oct 28, 2017",0.027874,0.048494,0.027340,0.031553,106,-
"Oct 27, 2017",0.033033,0.038068,0.021762,0.027799,61,-
"Oct 26, 2017",0.018549,0.035134,0.015367,0.033025,34,-
"Oct 25, 2017",0.019679,0.028904,0.012834,0.018551,160,-
"Oct 24, 2017",0.017953,0.037738,0.016915,0.019671,22,-
"Oct 23, 2017",0.045663,0.045678,0.016136,0.018009,75,-
"Oct 22, 2017",0.047532,0.051385,0.043178,0.045728,40,-
"Oct 21, 2017",0.022107,0.052105,0.020561,0.047517,194,-
"Oct 20, 2017",0.020118,0.025749,0.018955,0.022154,109,-
"Oct 19, 2017",0.018692,0.024443,0.018521,0.020112,133,-
"Oct 18, 2017",0.023195,0.023195,0.018487,0.018682,77,-
"Oct 17, 2017",0.027517,0.034484,0.020001,0.023193,78,-
"Oct 16, 2017",0.035912,0.043698,0.022949,0.027522,62,-
"Oct 15, 2017",0.050953,0.052632,0.035917,0.040488,46,-
"Oct 14, 2017",0.023368,0.057983,0.020756,0.050862,389,-
"Oct 13, 2017",0.022068,0.023830,0.019903,0.023362,305,-
"Oct 12, 2017",0.016724,0.028483,0.016578,0.022000,323,-
"Oct 11, 2017",0.026252,0.027595,0.016544,0.016710,104,-
"Oct 10, 2017",0.037614,0.038143,0.022785,0.026197,100,-
"Oct 09, 2017",0.049441,0.049835,0.032693,0.037727,270,-
"Oct 08, 2017",0.057916,0.061799,0.032163,0.049428,226,-
"Oct 07, 2017",0.027099,0.058247,0.023634,0.058071,326,-
"Oct 06, 2017",0.032963,0.039996,0.025916,0.027090,665,-
"Oct 05, 2017",0.024115,0.064418,0.024084,0.032963,732,-
"Oct 04, 2017",0.024591,0.039460,0.023092,0.024096,110,-
"Oct 03, 2017",0.029135,0.038231,0.024165,0.024534,60,-
"Oct 02, 2017",0.021678,0.038909,0.021678,0.029134,200,-
"Oct 01, 2017",0.023110,0.023754,0.017667,0.021687,43,-
"Sep 30, 2017",0.013851,0.029671,0.013839,0.023098,310,-
"Sep 29, 2017",0.018644,0.023990,0.012935,0.013850,345,-
"Sep 28, 2017",0.022673,0.024389,0.015244,0.018659,64,-
"Sep 27, 2017",0.015416,0.024263,0.015416,0.022672,322,-
"Sep 26, 2017",0.015950,0.019080,0.011383,0.015459,156,-
"Sep 25, 2017",0.016041,0.026528,0.014438,0.015952,109,-
"Sep 24, 2017",0.025657,0.026771,0.016030,0.016057,173,-
"Sep 23, 2017",0.013351,0.028716,0.013224,0.025660,67,-
"Sep 22, 2017",0.014081,0.016428,0.009444,0.013388,309,-
"Sep 21, 2017",0.019699,0.021270,0.010352,0.014098,676,-
"Sep 20, 2017",0.043049,0.043089,0.018431,0.019792,260,-
"Sep 19, 2017",0.011288,0.050917,0.010652,0.043106,"3,180",-
"Sep 18, 2017",0.011062,0.015680,0.010118,0.011261,686,-
"Sep 17, 2017",0.019723,0.030479,0.011051,0.011084,432,-
"Sep 16, 2017",0.023225,0.029051,0.019200,0.019737,560,-
"Sep 15, 2017",0.020565,0.024570,0.017326,0.023285,338,-
"Sep 14, 2017",0.035348,0.036464,0.019266,0.020406,716,-
"Sep 13, 2017",0.075029,0.075029,0.023842,0.035346,890,-
"Sep 12, 2017",0.067353,0.081081,0.055110,0.075005,68,-
"Sep 11, 2017",0.068119,0.081160,0.049637,0.067375,78,-
"Sep 10, 2017",0.052109,0.069234,0.051435,0.067904,3,-
"Sep 09, 2017",0.056275,0.057304,0.050461,0.052054,36,-
"Sep 08, 2017",0.069507,0.079862,0.041459,0.056166,37,-
"Sep 07, 2017",0.083083,0.083096,0.068853,0.069493,39,-
"Sep 06, 2017",0.053040,0.083452,0.053018,0.083242,51,-
"Sep 05, 2017",0.068898,0.068898,0.052752,0.052980,1,-
"Sep 04, 2017",0.083142,0.083202,0.050752,0.068542,12,-
"Sep 03, 2017",0.064555,0.083518,0.064217,0.083114,19,-
"Sep 02, 2017",0.088630,0.089668,0.045756,0.064514,"1,226",-
"Sep 01, 2017",0.071072,0.088561,0.070383,0.088519,391,-
"Aug 31, 2017",0.091589,0.092683,0.070845,0.071059,97,-
"Aug 30, 2017",0.101204,0.102062,0.068295,0.091749,195,-
"Aug 29, 2017",0.087777,0.102111,0.082639,0.101263,291,-
"Aug 28, 2017",0.108695,0.108695,0.086768,0.087628,30,-
"Aug 27, 2017",0.126008,0.127594,0.095156,0.108587,208,-
"Aug 26, 2017",0.126622,0.131326,0.107746,0.126041,77,-
"Aug 25, 2017",0.129862,0.135848,0.097481,0.126379,616,-
"Aug 24, 2017",0.103574,0.135384,0.102741,0.130067,332,-
"Aug 23, 2017",0.110324,0.128605,0.090139,0.103529,100,-
"Aug 22, 2017",0.100023,0.111857,0.080964,0.110549,307,-
"Aug 21, 2017",0.121706,0.122640,0.087637,0.099792,66,-
"Aug 20, 2017",0.136796,0.139716,0.073267,0.122170,838,-
"Aug 19, 2017",0.135582,0.142267,0.098261,0.137437,530,-
"Aug 18, 2017",0.124115,0.142052,0.110867,0.135697,458,-
"Aug 17, 2017",0.131665,0.131665,0.065275,0.124495,775,-
"Aug 16, 2017",0.145380,0.169555,0.099457,0.131787,143,-
"Aug 15, 2017",0.151446,0.242278,0.121579,0.145220,"1,377",-
"Aug 14, 2017",0.158417,0.235418,0.093445,0.151040,"5,211",-
