Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004040,0.004698,0.004006,0.004534,2,"4,040"
"Dec 15, 2017",0.003730,0.004145,0.003462,0.004056,2,"3,730"
"Dec 14, 2017",0.003362,0.003863,0.003309,0.003733,2,"3,362"
"Dec 09, 2017",0.003685,0.003768,0.003349,0.003577,0,"3,685"
"Dec 08, 2017",0.003945,0.004382,0.003380,0.003708,0,"3,945"
"Dec 07, 2017",0.002437,0.004441,0.002401,0.003932,1,"2,437"
"Dec 06, 2017",0.004151,0.004436,0.002423,0.002458,0,"4,151"
"Dec 05, 2017",0.003814,0.004788,0.003768,0.004194,0,"3,814"
"Dec 04, 2017",0.003446,0.003902,0.003379,0.003823,0,"3,446"
"Dec 02, 2017",0.001678,0.001700,0.001609,0.001619,55,"1,678"
"Dec 01, 2017",0.001546,0.001680,0.001459,0.001658,56,"1,546"
"Nov 30, 2017",0.001592,0.001790,0.001402,0.001540,52,"1,592"
"Nov 29, 2017",0.001837,0.001860,0.001550,0.001601,0,"1,837"
"Nov 27, 2017",0.003099,0.003747,0.003067,0.003635,0,"3,099"
"Nov 26, 2017",0.003085,0.003188,0.002888,0.003112,0,"3,085"
"Nov 25, 2017",0.003114,0.003152,0.003023,0.003076,0,"3,114"
"Nov 23, 2017",0.003024,0.003068,0.002976,0.003032,0,"3,024"
"Nov 22, 2017",0.002887,0.003066,0.002776,0.003012,0,"2,887"
"Nov 21, 2017",0.002949,0.002950,0.002731,0.002884,0,"2,949"
"Nov 20, 2017",0.001355,0.001360,0.001299,0.001321,3,"1,355"
"Nov 19, 2017",0.001338,0.001367,0.001301,0.001337,3,"1,338"
"Nov 18, 2017",0.001797,0.001896,0.001314,0.001339,3,"1,797"
"Nov 17, 2017",0.001920,0.001943,0.001781,0.001809,0,"1,920"
"Nov 16, 2017",0.001380,0.001991,0.001356,0.001883,0,"1,380"
"Nov 15, 2017",0.001302,0.001419,0.001278,0.001379,0,"1,302"
"Nov 14, 2017",0.001263,0.001330,0.001210,0.001302,3,"1,263"
"Nov 13, 2017",0.001289,0.001289,0.001267,0.001267,3,"1,289"
"Nov 11, 2017",0.002853,0.002932,0.002582,0.002792,0,"2,853"
"Nov 10, 2017",0.003464,0.003563,0.002677,0.002844,0,"3,464"
"Nov 09, 2017",0.002955,0.003568,0.002850,0.003511,0,"2,955"
"Nov 08, 2017",0.002791,0.002961,0.002639,0.002938,1,"2,791"
"Nov 07, 2017",0.002517,0.002772,0.002343,0.002769,1,"2,517"
"Nov 06, 2017",0.002374,0.002624,0.002340,0.002524,0,"2,374"
"Nov 05, 2017",0.002553,0.002715,0.002355,0.002386,0,"2,553"
"Nov 04, 2017",0.001094,0.002628,0.001055,0.002533,0,"1,094"
"Nov 03, 2017",0.001065,0.001129,0.001041,0.001096,38,"1,065"
"Nov 01, 2017",0.001926,0.001962,0.001865,0.001873,0,"1,926"
"Oct 31, 2017",0.002685,0.002784,0.001915,0.001943,0,"2,685"
"Oct 30, 2017",0.002763,0.002772,0.002583,0.002701,0,"2,763"
"Oct 28, 2017",0.003001,0.003059,0.002859,0.002902,0,"3,001"
"Oct 27, 2017",0.002951,0.003064,0.002882,0.002977,0,"2,951"
"Oct 26, 2017",0.002957,0.003010,0.002947,0.002970,0,"2,957"
"Oct 24, 2017",0.002880,0.003436,0.002733,0.003319,0,"2,880"
"Oct 23, 2017",0.003060,0.003107,0.002763,0.002862,0,"3,060"
"Oct 22, 2017",0.002954,0.003065,0.002887,0.003039,0,"2,954"
"Oct 21, 2017",0.003359,0.003476,0.003206,0.003290,0,"3,359"
"Oct 20, 2017",0.003499,0.003565,0.003294,0.003402,0,"3,499"
"Oct 19, 2017",0.002064,0.003574,0.001992,0.003500,1,"2,064"
"Oct 18, 2017",0.003635,0.003667,0.001888,0.002071,0,"3,635"
"Oct 17, 2017",0.003730,0.003792,0.003380,0.003621,0,"3,730"
"Oct 16, 2017",0.003808,0.004017,0.003577,0.003730,0,"3,808"
"Oct 15, 2017",0.001959,0.004101,0.001814,0.003774,0,"1,959"
"Oct 14, 2017",0.001974,0.002056,0.001900,0.001961,1,"1,974"
"Oct 13, 2017",0.001939,0.001961,0.001883,0.001949,1,"1,939"
"Oct 12, 2017",0.004148,0.004180,0.003758,0.003915,0,"4,148"
"Oct 11, 2017",0.004062,0.004221,0.004022,0.004123,0,"4,062"
"Oct 10, 2017",0.003796,0.004115,0.003714,0.004046,0,"3,796"
"Oct 09, 2017",0.004025,0.004183,0.003756,0.003801,0,"4,025"
"Oct 08, 2017",0.002475,0.002534,0.002375,0.002437,23,"2,475"
"Oct 07, 2017",0.002460,0.002603,0.002375,0.002477,23,"2,460"
"Oct 06, 2017",0.002967,0.003237,0.002386,0.002468,26,"2,967"
"Oct 05, 2017",0.003907,0.003958,0.002863,0.002968,33,"3,907"
"Oct 04, 2017",0.006525,0.006544,0.003900,0.003927,397,"6,525"
"Oct 03, 2017",0.006867,0.006949,0.004566,0.006506,1,"6,867"
"Oct 02, 2017",0.006906,0.007335,0.006783,0.006855,5,"6,906"
"Oct 01, 2017",0.005233,0.007112,0.005058,0.006930,0,"5,233"
"Sep 30, 2017",0.005194,0.007349,0.005039,0.005205,2,"5,194"
"Sep 29, 2017",0.007373,0.007393,0.004822,0.005219,11,"7,373"
"Sep 28, 2017",0.007416,0.007649,0.007276,0.007377,0,"7,416"
"Sep 27, 2017",0.008114,0.008270,0.007035,0.007429,0,"8,114"
"Sep 26, 2017",0.008065,0.008256,0.007826,0.008110,0,"8,065"
"Sep 25, 2017",0.004473,0.008241,0.004457,0.008065,0,"4,473"
"Sep 24, 2017",0.004628,0.004641,0.004447,0.004483,2,"4,628"
"Sep 23, 2017",0.004494,0.004672,0.004356,0.004623,2,"4,494"
"Sep 22, 2017",0.006430,0.006884,0.004200,0.004498,6,"6,430"
"Sep 21, 2017",0.005341,0.007800,0.005195,0.006422,0,"5,341"
"Sep 20, 2017",0.009780,0.010309,0.005334,0.005334,5,"9,780"
"Sep 19, 2017",0.009785,0.010292,0.009079,0.009806,15,"9,785"
"Sep 18, 2017",0.008598,0.010017,0.008567,0.009783,273,"8,598"
"Sep 17, 2017",0.008751,0.008917,0.007959,0.008604,0,"8,751"
"Sep 16, 2017",0.004934,0.009000,0.004743,0.008754,0,"4,934"
"Sep 15, 2017",0.008478,0.009931,0.004854,0.004881,0,"8,478"
"Sep 14, 2017",0.011614,0.011641,0.008506,0.008506,9,"11,615"
"Sep 12, 2017",0.014017,0.015407,0.013336,0.013421,0,"14,017"
"Sep 11, 2017",0.012438,0.015327,0.007210,0.013863,0,"12,438"
"Sep 10, 2017",0.006063,0.012575,0.005323,0.012349,25,"6,063"
"Sep 09, 2017",0.010653,0.010694,0.005570,0.006078,9,"10,653"
"Sep 08, 2017",0.013151,0.014308,0.005409,0.010674,10,"13,151"
"Sep 07, 2017",0.012501,0.013259,0.010499,0.013081,19,"12,501"
"Sep 06, 2017",0.012243,0.013010,0.012106,0.012467,33,"12,243"
"Sep 05, 2017",0.011473,0.013730,0.010273,0.013056,68,"11,473"
"Sep 04, 2017",0.006855,0.012659,0.005182,0.011711,61,"6,855"
"Sep 03, 2017",0.005004,0.007317,0.004978,0.006861,98,"5,004"
"Sep 02, 2017",0.005714,0.006005,0.004934,0.004978,0,"5,714"
"Sep 01, 2017",0.009403,0.010232,0.005008,0.005707,0,"9,403"
"Aug 31, 2017",0.009009,0.009780,0.008728,0.009467,4,"9,009"
"Aug 30, 2017",0.008095,0.009658,0.003640,0.009006,14,"8,095"
"Aug 29, 2017",0.004998,0.008584,0.004289,0.008083,32,"4,998"
"Aug 28, 2017",0.005498,0.006704,0.004589,0.005054,5,"5,498"
"Aug 27, 2017",0.005276,0.005623,0.005225,0.005505,17,"5,276"
"Aug 26, 2017",0.006745,0.007112,0.005177,0.005278,16,"6,745"
"Aug 25, 2017",0.011645,0.011645,0.006666,0.006733,422,"11,645"
"Aug 24, 2017",0.003026,0.011866,0.001872,0.011657,35,"3,026"
"Aug 23, 2017",0.007048,0.012216,0.002948,0.003045,328,"7,048"
