Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.020459,0.023001,0.017448,0.018824,"64,697","65,230"
"Dec 15, 2017",0.021101,0.023918,0.015150,0.020433,"116,984","67,276"
"Dec 14, 2017",0.007965,0.020038,0.007965,0.020038,"79,828","25,394"
"Dec 13, 2017",0.009089,0.009450,0.007625,0.008063,"11,651","28,978"
"Dec 12, 2017",0.009417,0.010628,0.008214,0.009078,"11,941","30,023"
"Dec 11, 2017",0.008537,0.011185,0.008500,0.009384,"19,096","27,217"
"Dec 10, 2017",0.010103,0.010322,0.007695,0.008600,"14,244","32,212"
"Dec 09, 2017",0.012392,0.013043,0.009362,0.010064,"19,638","39,510"
"Dec 08, 2017",0.012630,0.013055,0.010524,0.012402,"19,296","40,269"
"Dec 07, 2017",0.009744,0.015278,0.005707,0.012602,"66,660","31,066"
"Dec 06, 2017",0.016751,0.018746,0.008913,0.010113,"73,695","53,406"
"Dec 05, 2017",0.012673,0.029608,0.012673,0.016857,"628,991","40,404"
"Dec 04, 2017",0.002588,0.015926,0.002305,0.013079,"257,418","8,252"
"Dec 03, 2017",0.002577,0.003248,0.002136,0.002579,"1,728","8,218"
"Dec 02, 2017",0.003115,0.003541,0.002319,0.002575,"1,372","9,932"
"Dec 01, 2017",0.002652,0.003371,0.002529,0.003118,"1,555","8,455"
"Nov 30, 2017",0.003279,0.003497,0.002402,0.002657,"1,295","10,453"
"Nov 29, 2017",0.002873,0.003496,0.002363,0.003229,"8,191","9,161"
"Nov 28, 2017",0.003460,0.003535,0.002707,0.002872,"2,591","11,030"
"Nov 27, 2017",0.003262,0.003975,0.002773,0.003451,"8,694","10,401"
"Nov 26, 2017",0.005165,0.005191,0.002741,0.003259,"10,690","16,466"
"Nov 25, 2017",0.005139,0.006116,0.003455,0.004810,"25,916","16,385"
"Nov 24, 2017",0.002601,0.008196,0.002601,0.005613,"28,815","8,291"
"Nov 23, 2017",0.002038,0.003699,0.002022,0.002607,"3,766","6,496"
"Nov 22, 2017",0.001836,0.002153,0.001633,0.002039,919,"5,853"
"Nov 21, 2017",0.001911,0.002318,0.001624,0.001864,"4,066","6,094"
"Nov 20, 2017",0.001924,0.002312,0.001659,0.001911,"2,215","6,134"
"Nov 19, 2017",0.001955,0.002265,0.001503,0.001931,677,"6,233"
"Nov 18, 2017",0.001835,0.002490,0.001707,0.001958,"2,286","5,849"
"Nov 17, 2017",0.002179,0.002192,0.001611,0.001841,846,"6,946"
"Nov 16, 2017",0.001482,0.002317,0.001453,0.002068,479,"4,725"
"Nov 15, 2017",0.001507,0.001802,0.001385,0.001472,635,"4,806"
"Nov 14, 2017",0.001321,0.001525,0.001227,0.001503,437,"4,213"
"Nov 13, 2017",0.001060,0.001812,0.001055,0.001319,802,"3,379"
"Nov 12, 2017",0.001280,0.001468,0.001051,0.001058,751,"4,082"
"Nov 11, 2017",0.001195,0.007615,0.001125,0.001281,"1,132","3,809"
"Nov 10, 2017",0.001306,0.001674,0.001116,0.001199,359,"4,164"
"Nov 09, 2017",0.001311,0.001816,0.001227,0.001288,317,"4,180"
"Nov 08, 2017",0.001361,0.001640,0.001276,0.001318,108,"4,338"
"Nov 07, 2017",0.001360,0.001474,0.001335,0.001365,294,"4,336"
"Nov 06, 2017",0.001525,0.001834,0.001262,0.001362,"1,057","4,863"
"Nov 05, 2017",0.001331,0.001912,0.001292,0.001522,"3,124","4,242"
"Nov 04, 2017",0.001437,0.001913,0.001261,0.001333,973,"4,581"
"Nov 03, 2017",0.001332,0.001499,0.001317,0.001440,112,"4,246"
"Nov 02, 2017",0.001591,0.001625,0.000803,0.001334,"2,139","5,074"
"Nov 01, 2017",0.001220,0.001901,0.001054,0.001590,276,"3,891"
"Oct 31, 2017",0.001154,0.001879,0.001120,0.001221,426,"3,678"
"Oct 30, 2017",0.002122,0.002131,0.001050,0.001111,733,"6,766"
"Oct 29, 2017",0.001374,0.002214,0.001056,0.002192,"2,090","4,379"
"Oct 28, 2017",0.001296,0.002620,0.001178,0.001376,928,"4,132"
"Oct 27, 2017",0.001200,0.001359,0.001094,0.001292,"1,044","3,826"
"Oct 26, 2017",0.001209,0.001469,0.001134,0.001201,506,"3,855"
"Oct 25, 2017",0.001326,0.001395,0.001015,0.001209,210,"4,226"
"Oct 24, 2017",0.001382,0.001819,0.001184,0.001313,815,"4,407"
"Oct 23, 2017",0.001478,0.001682,0.001191,0.001388,514,"4,712"
"Oct 22, 2017",0.001442,0.002011,0.001297,0.001483,"2,197","4,598"
"Oct 21, 2017",0.002224,0.002257,0.001441,0.001442,360,"7,090"
"Oct 20, 2017",0.002288,0.002431,0.001935,0.002226,384,"7,294"
"Oct 19, 2017",0.002111,0.002474,0.001985,0.002287,470,"6,731"
"Oct 18, 2017",0.002097,0.002120,0.001573,0.002110,374,"6,686"
"Oct 17, 2017",0.001988,0.002227,0.001835,0.002097,78,"6,337"
"Oct 16, 2017",0.004226,0.004496,0.001919,0.001987,"1,032","13,473"
