Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",2.67,3.20,1.18,1.74,"72,728","2,058,170"
"Dec 15, 2017",4.31,4.42,2.26,2.66,"173,670","3,311,460"
"Dec 14, 2017",1.38,9.82,1.36,4.47,"882,747","1,050,900"
"Dec 13, 2017",0.635874,1.72,0.498159,1.38,"113,760","482,975"
"Dec 12, 2017",0.574612,0.951325,0.492756,0.633446,"15,372","434,235"
"Dec 11, 2017",0.418593,0.635246,0.415554,0.572773,"13,510","314,539"
"Dec 10, 2017",0.582387,0.582387,0.337814,0.421631,"12,970","435,326"
"Dec 09, 2017",0.243957,0.890568,0.225891,0.522696,"57,809","181,169"
"Dec 08, 2017",0.255124,0.330819,0.206300,0.244203,"3,216","188,213"
"Dec 07, 2017",0.172385,0.262681,0.170180,0.254525,"5,715","126,343"
"Dec 06, 2017",0.164981,0.201234,0.144867,0.172682,"2,931","120,116"
"Dec 05, 2017",0.146752,0.236307,0.145198,0.165347,"2,177","106,209"
"Dec 04, 2017",0.159633,0.173710,0.140491,0.146464,"1,342","114,831"
"Dec 03, 2017",0.113580,0.290719,0.109113,0.159106,"4,380","81,187"
"Dec 02, 2017",0.109714,0.164210,0.108248,0.113472,659,"77,944"
"Dec 01, 2017",0.099815,0.172879,0.093471,0.109808,939,"70,441"
"Nov 30, 2017",0.107854,0.158724,0.086171,0.100313,"1,902","75,734"
"Nov 29, 2017",0.135357,0.154046,0.086848,0.104864,582,"94,463"
"Nov 28, 2017",0.159333,0.159333,0.075288,0.135886,"2,748","110,497"
"Nov 27, 2017",0.133285,0.191384,0.132156,0.158922,895,"91,904"
"Nov 26, 2017",0.130802,0.186041,0.124317,0.133260,"1,204","89,667"
"Nov 25, 2017",0.113872,0.182689,0.113744,0.130845,994,"77,554"
"Nov 24, 2017",0.107490,0.191773,0.105662,0.114103,844,"72,733"
"Nov 23, 2017",0.107750,0.202979,0.107030,0.118310,"1,197","72,458"
"Nov 22, 2017",0.099518,0.152046,0.095068,0.107784,760,"66,494"
"Nov 21, 2017",0.098927,0.152474,0.098407,0.099277,"1,129","65,728"
"Nov 20, 2017",0.089751,0.134104,0.089399,0.098908,802,"59,253"
