Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.141782,0.185076,0.084848,0.124231,"68,224","127,647"
"Dec 15, 2017",0.226798,0.226798,0.116120,0.146457,"147,663","203,234"
"Dec 14, 2017",0.061495,0.300171,0.057986,0.227425,"317,302","54,872"
"Dec 13, 2017",0.065245,0.071946,0.055254,0.061668,"16,785","57,898"
"Dec 12, 2017",0.065984,0.070704,0.050646,0.065271,"24,434","58,066"
"Dec 11, 2017",0.090770,0.102968,0.058782,0.065819,"49,806","79,261"
"Dec 10, 2017",0.030701,0.114627,0.028839,0.097645,"83,654","26,639"
"Dec 09, 2017",0.042269,0.042801,0.027572,0.030605,"8,004","36,677"
"Dec 08, 2017",0.056496,0.060717,0.035455,0.042247,"11,600","48,898"
"Dec 07, 2017",0.043509,0.057738,0.031909,0.056344,"26,920","37,522"
"Dec 06, 2017",0.036542,0.042904,0.028176,0.042904,"12,807","31,404"
"Dec 05, 2017",0.033556,0.043549,0.016055,0.036625,"66,080","28,647"
"Dec 04, 2017",0.012796,0.037255,0.009714,0.033638,"57,287","10,904"
"Dec 03, 2017",0.014030,0.014606,0.010688,0.012834,"1,017","11,955"
"Dec 02, 2017",0.012792,0.019206,0.012738,0.014014,"2,577","10,900"
"Dec 01, 2017",0.013091,0.016306,0.011517,0.012806,"1,362","11,155"
"Nov 30, 2017",0.015212,0.015927,0.009368,0.013170,"2,014","12,962"
"Nov 29, 2017",0.015672,0.018097,0.012974,0.014983,"3,840","13,332"
"Nov 28, 2017",0.014012,0.016646,0.013844,0.015676,"4,854","11,920"
"Nov 27, 2017",0.010091,0.013992,0.009171,0.013979,"2,414","8,572"
"Nov 26, 2017",0.008654,0.013945,0.007684,0.010085,"3,860","7,350"
"Nov 25, 2017",0.007826,0.010010,0.006766,0.010010,"4,533","6,631"
"Nov 24, 2017",0.006503,0.008360,0.005559,0.007843,"1,461","5,503"
"Nov 23, 2017",0.007911,0.007974,0.006267,0.006538,533,"6,678"
"Nov 22, 2017",0.007003,0.008785,0.005876,0.007926,"1,418","5,912"
"Nov 21, 2017",0.006504,0.007477,0.004896,0.006988,603,"5,481"
"Nov 20, 2017",0.007631,0.007648,0.005348,0.006503,733,"6,412"
"Nov 19, 2017",0.006241,0.007953,0.005759,0.007646,457,"5,244"
"Nov 18, 2017",0.006057,0.006327,0.005703,0.006250,443,"5,090"
"Nov 17, 2017",0.007092,0.007228,0.005466,0.006079,358,"5,932"
