Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004676,0.004888,0.003955,0.003955,"1,369","141,347"
"Dec 15, 2017",0.004391,0.006206,0.004383,0.004670,"2,245","132,721"
"Dec 14, 2017",0.005605,0.006637,0.003379,0.004384,"1,935","169,436"
"Dec 13, 2017",0.006831,0.007523,0.005836,0.005939,"2,350","206,475"
"Dec 12, 2017",0.008289,0.008796,0.006301,0.006825,"11,311","250,562"
"Dec 11, 2017",0.009711,0.013156,0.006596,0.008263,"77,144","293,543"
"Dec 10, 2017",0.002582,0.011308,0.001384,0.011308,"110,425","78,059"
"Dec 09, 2017",0.002868,0.004221,0.002315,0.002571,"2,355","86,695"
"Dec 08, 2017",0.002648,0.003502,0.001576,0.002871,814,"80,053"
"Dec 07, 2017",0.003290,0.004326,0.002519,0.002642,"4,924","99,461"
"Dec 06, 2017",0.004980,0.006055,0.002379,0.003296,"16,132","150,545"
"Dec 05, 2017",0.003837,0.009617,0.002671,0.005453,"157,915","115,992"
"Dec 04, 2017",0.000941,0.003933,0.000807,0.003598,"63,680","28,432"
"Dec 03, 2017",0.000984,0.001773,0.000886,0.000937,250,"29,740"
"Dec 02, 2017",0.001524,0.001537,0.000763,0.000983,129,"46,061"
"Dec 01, 2017",0.000899,0.001534,0.000851,0.001525,419,"27,186"
"Nov 30, 2017",0.000882,0.000912,0.000733,0.000904,222,"26,647"
"Nov 29, 2017",0.000800,0.001031,0.000800,0.000868,72,"24,194"
"Nov 28, 2017",0.000800,0.001089,0.000776,0.000801,370,"24,184"
"Nov 27, 2017",0.000745,0.000966,0.000745,0.000798,285,"22,532"
"Nov 26, 2017",0.000790,0.000912,0.000723,0.000745,8,"23,880"
"Nov 25, 2017",0.000903,0.000927,0.000672,0.000790,522,"27,299"
"Nov 24, 2017",0.000964,0.001001,0.000895,0.000905,1,"29,153"
"Nov 23, 2017",0.000987,0.000992,0.000895,0.000966,15,"29,835"
"Nov 22, 2017",0.000893,0.000995,0.000889,0.000987,18,"26,980"
"Nov 21, 2017",0.000989,0.000991,0.000702,0.000890,246,"29,894"
"Nov 20, 2017",0.001207,0.001207,0.000874,0.000989,42,"36,470"
"Nov 19, 2017",0.000977,0.001217,0.000960,0.001207,2,"29,536"
"Nov 18, 2017",0.000999,0.001014,0.000611,0.000979,46,"30,206"
"Nov 17, 2017",0.000941,0.001037,0.000913,0.001003,10,"28,455"
"Nov 16, 2017",0.001168,0.001250,0.000871,0.000943,103,"35,321"
"Nov 15, 2017",0.001032,0.001392,0.000727,0.001162,210,"31,199"
"Nov 14, 2017",0.000894,0.001037,0.000618,0.001031,60,"27,023"
"Nov 13, 2017",0.000945,0.000971,0.000466,0.000892,6,"28,555"
