Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000049,0.000074,0.000047,0.000073,"8,289","729,253"
"Dec 15, 2017",0.000051,0.000057,0.000036,0.000049,"6,280","755,156"
"Dec 14, 2017",0.000118,0.000121,0.000044,0.000051,"6,342","1,761,700"
"Dec 13, 2017",0.000100,0.000141,0.000098,0.000119,"4,021","1,483,310"
"Dec 12, 2017",0.000078,0.000105,0.000076,0.000099,"4,333","1,157,910"
"Dec 11, 2017",0.000051,0.000081,0.000045,0.000077,"2,771","758,265"
"Dec 10, 2017",0.000093,0.000095,0.000051,0.000052,"1,493","1,384,620"
"Dec 09, 2017",0.000071,0.000091,0.000053,0.000091,"1,964","1,059,260"
"Dec 08, 2017",0.000044,0.000097,0.000043,0.000071,"2,895","662,625"
"Dec 07, 2017",0.000051,0.000053,0.000045,0.000045,"1,169","752,347"
"Dec 06, 2017",0.000068,0.000069,0.000046,0.000050,"2,370","1,013,920"
"Dec 05, 2017",0.000064,0.000072,0.000061,0.000068,"1,649","947,269"
"Dec 04, 2017",0.000050,0.000064,0.000046,0.000063,"1,185","745,148"
"Dec 03, 2017",0.000048,0.000061,0.000046,0.000050,811,"718,629"
"Dec 02, 2017",0.000053,0.000058,0.000046,0.000048,940,"783,366"
"Dec 01, 2017",0.000052,0.000056,0.000039,0.000053,"1,249","771,332"
"Nov 30, 2017",0.000075,0.000089,0.000047,0.000052,776,"1,123,220"
"Nov 29, 2017",0.000060,0.000081,0.000055,0.000074,"4,031","899,723"
"Nov 28, 2017",0.000059,0.000069,0.000049,0.000061,"3,276","872,870"
"Nov 27, 2017",0.000060,0.000064,0.000053,0.000059,"1,103","891,802"
"Nov 26, 2017",0.000071,0.000071,0.000058,0.000060,"2,832","1,058,470"
"Nov 25, 2017",0.000067,0.000071,0.000055,0.000071,"1,042","1,003,050"
"Nov 24, 2017",0.000071,0.000075,0.000065,0.000068,"1,390","1,051,850"
"Nov 23, 2017",0.000061,0.000073,0.000045,0.000071,"1,885","901,031"
