Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.029229,0.036437,0.026818,0.036152,402,"48,967"
"Dec 15, 2017",0.025441,0.032758,0.025383,0.029038,345,"42,538"
"Dec 14, 2017",0.026145,0.032168,0.025176,0.025403,461,"43,679"
"Dec 13, 2017",0.028686,0.028975,0.025612,0.026211,117,"47,736"
"Dec 12, 2017",0.034824,0.046028,0.025790,0.028616,"2,266","57,792"
"Dec 11, 2017",0.023466,0.039693,0.023363,0.034713,338,"38,876"
"Dec 10, 2017",0.028130,0.037191,0.022383,0.023636,367,"46,464"
"Dec 09, 2017",0.025003,0.042262,0.020209,0.028016,"1,395","41,155"
"Dec 08, 2017",0.027574,0.027945,0.021903,0.025029,469,"45,180"
"Dec 07, 2017",0.021298,0.027906,0.021164,0.027509,641,"34,785"
"Dec 06, 2017",0.018333,0.021335,0.017632,0.021335,233,"29,828"
"Dec 05, 2017",0.019057,0.022467,0.017570,0.018367,342,"30,821"
"Dec 04, 2017",0.017987,0.021814,0.017535,0.019020,220,"29,060"
"Dec 03, 2017",0.017183,0.019334,0.017069,0.017927,"1,298","27,756"
"Dec 02, 2017",0.019495,0.021253,0.017167,0.017167,54,"31,487"
"Dec 01, 2017",0.020449,0.022569,0.017865,0.019512,87,"33,024"
"Nov 30, 2017",0.017903,0.031318,0.016171,0.020551,399,"28,876"
"Nov 29, 2017",0.017385,0.033310,0.016502,0.017634,290,"28,027"
"Nov 28, 2017",0.017751,0.022371,0.017305,0.017403,151,"28,592"
"Nov 27, 2017",0.016928,0.026731,0.015815,0.017705,145,"27,248"
"Nov 26, 2017",0.014063,0.018100,0.014047,0.016924,31,"22,636"
"Nov 25, 2017",0.012052,0.016330,0.011980,0.014068,722,"19,392"
"Nov 24, 2017",0.013434,0.013503,0.011519,0.012076,300,"21,610"
"Nov 23, 2017",0.013939,0.014007,0.013328,0.013452,9,"22,415"
"Nov 22, 2017",0.013875,0.014171,0.011563,0.013944,145,"22,290"
"Nov 21, 2017",0.013996,0.015429,0.012065,0.013841,317,"22,450"
"Nov 20, 2017",0.012964,0.015548,0.012834,0.013994,21,"20,783"
"Nov 19, 2017",0.010356,0.013614,0.010267,0.012970,96,"16,599"
"Nov 18, 2017",0.012833,0.015675,0.009734,0.010375,30,"20,564"
"Nov 17, 2017",0.005750,0.012926,0.005750,0.012882,126,"9,214"
"Nov 16, 2017",0.012221,0.014425,0.004121,0.005759,159,"19,570"
"Nov 15, 2017",0.010919,0.013471,0.010919,0.012157,48,"17,472"
"Nov 14, 2017",0.010835,0.011205,0.010830,0.010912,6,"17,327"
"Nov 13, 2017",0.010334,0.011345,0.009588,0.010812,17,"16,519"
"Nov 12, 2017",0.011186,0.012139,0.009481,0.010318,43,"17,870"
"Nov 11, 2017",0.011598,0.013356,0.010181,0.011194,202,"18,505"
"Nov 10, 2017",0.012320,0.015660,0.010958,0.011640,38,"19,647"
"Nov 09, 2017",0.012716,0.015720,0.012197,0.012284,270,"20,264"
"Nov 08, 2017",0.011878,0.013492,0.008461,0.012729,495,"18,918"
"Nov 07, 2017",0.009314,0.011942,0.006213,0.011915,244,"14,830"
"Nov 06, 2017",0.012567,0.012606,0.009297,0.009328,274,"19,998"
"Nov 05, 2017",0.011490,0.014118,0.011281,0.012539,35,"18,277"
"Nov 04, 2017",0.010511,0.013345,0.010285,0.011511,22,"16,697"
"Nov 03, 2017",0.010205,0.012919,0.010141,0.010538,443,"16,207"
"Nov 02, 2017",0.008815,0.011305,0.008815,0.010218,27,"13,987"
"Nov 01, 2017",0.012799,0.018603,0.008698,0.008806,72,"20,287"
"Oct 31, 2017",0.011831,0.012809,0.011005,0.012809,47,"18,741"
"Oct 30, 2017",0.013398,0.015572,0.010944,0.011871,97,"21,221"
"Oct 29, 2017",0.015434,0.016824,0.007912,0.013477,230,"24,442"
"Oct 28, 2017",0.015017,0.015491,0.013791,0.015455,28,"23,776"
"Oct 27, 2017",0.016037,0.016335,0.014210,0.014961,75,"25,389"
"Oct 26, 2017",0.014609,0.016085,0.014337,0.016033,9,"23,128"
"Oct 25, 2017",0.015014,0.015045,0.013565,0.014611,138,"23,750"
"Oct 24, 2017",0.016021,0.017383,0.014924,0.015007,26,"25,305"
"Oct 23, 2017",0.018761,0.018897,0.015611,0.016057,16,"29,627"
"Oct 22, 2017",0.017609,0.019005,0.016451,0.018792,175,"27,804"
"Oct 21, 2017",0.018331,0.018585,0.016893,0.017604,232,"28,905"
"Oct 20, 2017",0.016674,0.022506,0.016438,0.018369,102,"26,278"
"Oct 19, 2017",0.017058,0.018892,0.016396,0.016669,108,"26,851"
"Oct 18, 2017",0.020581,0.020767,0.015440,0.017049,57,"32,347"
"Oct 17, 2017",0.015507,0.020727,0.015057,0.020579,108,"24,291"
"Oct 16, 2017",0.018330,0.018730,0.015028,0.015505,341,"28,591"
"Oct 15, 2017",0.019313,0.019388,0.017228,0.018328,102,"30,072"
"Oct 14, 2017",0.019733,0.022226,0.018965,0.019279,124,"30,661"
"Oct 13, 2017",0.025178,0.029519,0.019271,0.019728,64,"39,114"
"Oct 12, 2017",0.017489,0.025235,0.017379,0.025101,55,"27,164"
"Oct 11, 2017",0.016462,0.018424,0.016331,0.017475,8,"25,566"
"Oct 10, 2017",0.017494,0.017766,0.016364,0.016464,128,"26,979"
"Oct 09, 2017",0.017844,0.018025,0.015729,0.017496,75,"27,518"
"Oct 08, 2017",0.017120,0.018051,0.017074,0.017839,133,"26,403"
"Oct 07, 2017",0.014101,0.017207,0.013960,0.017166,78,"21,746"
"Oct 06, 2017",0.015177,0.015341,0.013786,0.014096,91,"23,406"
"Oct 05, 2017",0.023350,0.023570,0.014555,0.015177,490,"36,010"
"Oct 04, 2017",0.013637,0.036345,0.013066,0.023329,399,"21,030"
"Oct 03, 2017",0.013245,0.014198,0.012859,0.013605,33,"20,426"
"Oct 02, 2017",0.013809,0.013902,0.012675,0.013245,37,"20,491"
"Oct 01, 2017",0.016733,0.017524,0.012367,0.013815,351,"24,830"
"Sep 30, 2017",0.015585,0.017279,0.015201,0.016724,83,"23,125"
"Sep 29, 2017",0.015330,0.016277,0.015081,0.015583,267,"22,746"
"Sep 28, 2017",0.014714,0.016783,0.014615,0.015341,457,"21,833"
"Sep 27, 2017",0.014516,0.014774,0.013397,0.014714,67,"21,539"
"Sep 26, 2017",0.013806,0.015589,0.013344,0.014545,38,"20,486"
"Sep 25, 2017",0.012340,0.014873,0.012340,0.013991,22,"18,311"
"Sep 24, 2017",0.012951,0.014032,0.012291,0.012328,27,"19,112"
"Sep 23, 2017",0.013253,0.013285,0.011610,0.012964,90,"19,558"
"Sep 22, 2017",0.013805,0.014337,0.011064,0.013291,31,"20,372"
"Sep 21, 2017",0.012391,0.014130,0.011436,0.013820,63,"18,285"
"Sep 20, 2017",0.013409,0.013852,0.010858,0.012452,119,"19,788"
"Sep 19, 2017",0.014371,0.014447,0.011463,0.013427,30,"21,208"
"Sep 18, 2017",0.012980,0.014460,0.012700,0.014336,38,"19,156"
"Sep 17, 2017",0.012063,0.013210,0.012063,0.013006,12,"17,801"
"Sep 16, 2017",0.010407,0.013703,0.010395,0.012071,36,"15,358"
"Sep 15, 2017",0.010584,0.011539,0.008774,0.010434,59,"15,599"
"Sep 14, 2017",0.012371,0.012536,0.009472,0.010502,19,"18,232"
"Sep 13, 2017",0.016938,0.017000,0.012208,0.012372,23,"24,956"
"Sep 12, 2017",0.014314,0.019733,0.013226,0.017003,76,"21,084"
"Sep 11, 2017",0.014685,0.016285,0.013158,0.014300,15,"21,624"
"Sep 10, 2017",0.012344,0.014856,0.011536,0.014710,19,"18,176"
"Sep 09, 2017",0.014099,0.014357,0.012058,0.012376,58,"20,759"
"Sep 08, 2017",0.015161,0.015644,0.012890,0.014072,3,"22,319"
"Sep 07, 2017",0.013269,0.015311,0.012988,0.015158,5,"19,532"
"Sep 06, 2017",0.014859,0.017456,0.012794,0.013294,63,"21,872"
"Sep 05, 2017",0.012259,0.029787,0.011863,0.014842,271,"17,999"
"Sep 04, 2017",0.016491,0.098767,0.011320,0.012196,"2,614","24,168"
"Sep 03, 2017",0.019717,0.020508,0.013745,0.016486,18,"28,893"
"Sep 02, 2017",0.022871,0.022992,0.013705,0.019705,84,"33,510"
"Sep 01, 2017",0.015621,0.024009,0.015433,0.022843,76,"22,885"
"Aug 31, 2017",0.020411,0.023825,0.015057,0.015618,301,"29,884"
"Aug 30, 2017",0.022279,0.024990,0.020441,0.020446,145,"32,617"
"Aug 29, 2017",0.021113,0.022509,0.020739,0.022309,145,"30,887"
"Aug 28, 2017",0.018149,0.021150,0.017542,0.021077,115,"26,476"
"Aug 27, 2017",0.017477,0.023041,0.017323,0.018168,15,"25,423"
"Aug 26, 2017",0.021875,0.022383,0.017481,0.017481,139,"31,812"
"Aug 25, 2017",0.021639,0.022358,0.021510,0.021833,46,"31,468"
"Aug 24, 2017",0.020267,0.021797,0.020145,0.021662,88,"29,472"
"Aug 23, 2017",0.019981,0.021418,0.019913,0.020258,483,"29,054"
"Aug 22, 2017",0.019431,0.020307,0.017751,0.020022,249,"28,254"
"Aug 21, 2017",0.019666,0.019817,0.017198,0.019386,59,"28,596"
"Aug 20, 2017",0.020439,0.020480,0.019641,0.019741,255,"29,714"
"Aug 19, 2017",0.020100,0.021161,0.018911,0.020534,258,"29,221"
"Aug 18, 2017",0.021469,0.024373,0.019512,0.020117,163,"31,210"
"Aug 17, 2017",0.021543,0.024675,0.020818,0.021535,26,"31,213"
"Aug 16, 2017",0.020344,0.022180,0.019342,0.021563,13,"29,399"
"Aug 15, 2017",0.023647,0.023647,0.018491,0.020321,405,"34,172"
"Aug 14, 2017",0.029964,0.034203,0.022354,0.023583,304,"43,301"
"Aug 13, 2017",0.024934,0.030812,0.024344,0.029945,116,"36,032"
"Aug 12, 2017",0.030808,0.031274,0.024534,0.024957,162,"44,520"
"Aug 11, 2017",0.027155,0.031038,0.023682,0.030832,145,"39,242"
"Aug 10, 2017",0.032895,0.033112,0.025711,0.027157,10,"47,537"
"Aug 09, 2017",0.027491,0.033042,0.024201,0.032892,27,"39,727"
"Aug 08, 2017",0.027507,0.028238,0.018473,0.027509,34,"39,750"
"Aug 07, 2017",0.025295,0.027587,0.022950,0.027479,3,"36,554"
"Aug 06, 2017",0.018763,0.025475,0.018412,0.025352,23,"27,114"
"Aug 05, 2017",0.016615,0.024383,0.015700,0.018758,78,"24,010"
"Aug 04, 2017",0.020872,0.021119,0.016061,0.016622,510,"30,162"
"Aug 03, 2017",0.020361,0.022854,0.020294,0.020877,82,"29,424"
"Aug 02, 2017",0.022047,0.022232,0.019642,0.020325,93,"31,860"
"Aug 01, 2017",0.021324,0.023048,0.019850,0.022051,45,"30,816"
"Jul 31, 2017",0.019841,0.025748,0.019575,0.021314,10,"28,672"
"Jul 30, 2017",0.021260,0.021300,0.018976,0.019821,155,"30,723"
"Jul 29, 2017",0.024170,0.025317,0.020951,0.021263,214,"34,927"
"Jul 28, 2017",0.025529,0.026949,0.023857,0.024262,49,"36,892"
"Jul 27, 2017",0.023492,0.025697,0.023401,0.025452,187,"32,328"
"Jul 26, 2017",0.022051,0.023591,0.020674,0.023426,44,"30,345"
"Jul 25, 2017",0.023445,0.024940,0.021104,0.022041,52,"32,264"
"Jul 24, 2017",0.028136,0.028726,0.023230,0.023448,188,"38,719"
"Jul 23, 2017",0.028855,0.029093,0.022813,0.028169,21,"39,708"
"Jul 22, 2017",0.024876,0.033114,0.021821,0.028855,346,"34,232"
"Jul 21, 2017",0.025594,0.028648,0.022822,0.024978,46,"35,221"
"Jul 20, 2017",0.022357,0.032245,0.020903,0.025406,582,"30,767"
"Jul 19, 2017",0.019771,0.025624,0.015705,0.022425,368,"27,208"
"Jul 18, 2017",0.026039,0.032632,0.019740,0.019740,457,"35,834"
"Jul 17, 2017",0.024790,0.026618,0.018708,0.025972,176,"34,114"
"Jul 16, 2017",0.016764,0.028637,0.016300,0.025805,866,"23,069"
"Jul 15, 2017",0.017722,0.028836,0.016814,0.016814,865,"24,387"
"Jul 14, 2017",0.018207,0.020585,0.016858,0.017752,200,"25,056"
"Jul 13, 2017",0.023670,0.023690,0.017739,0.018221,130,"32,573"
"Jul 12, 2017",0.022881,0.027544,0.018634,0.023652,348,"31,487"
"Jul 11, 2017",0.019649,0.031425,0.017903,0.022995,"3,064","27,040"
"Jul 10, 2017",0.019848,0.020630,0.018111,0.019691,198,"27,314"
