Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.960064,0.990777,0.588277,0.652907,247,-
"Dec 15, 2017",0.929459,0.971556,0.570493,0.958773,331,-
"Dec 14, 2017",0.638644,0.931332,0.631428,0.916039,2,-
"Dec 13, 2017",0.921066,0.933782,0.636179,0.640700,37,-
"Dec 12, 2017",0.663147,0.955201,0.655814,0.920059,26,-
"Dec 11, 2017",0.623601,0.703843,0.620875,0.660825,10,-
"Dec 10, 2017",0.600156,0.645110,0.525246,0.628137,126,-
"Dec 09, 2017",0.653071,0.667004,0.535800,0.597749,20,-
"Dec 08, 2017",1.15,1.16,0.565423,0.653712,291,-
"Dec 07, 2017",0.796681,1.15,0.786490,1.15,185,-
"Dec 06, 2017",0.693915,0.799175,0.693828,0.798052,28,-
"Dec 05, 2017",0.668953,0.707711,0.663010,0.699501,27,-
"Dec 04, 2017",0.495537,0.667640,0.421090,0.667640,114,-
"Dec 03, 2017",0.438361,0.522131,0.355838,0.493900,58,-
"Dec 02, 2017",0.435483,0.503537,0.429220,0.437942,166,-
"Dec 01, 2017",0.429747,0.498204,0.379540,0.435854,92,-
"Nov 30, 2017",0.471777,0.513183,0.408232,0.431886,27,-
"Nov 29, 2017",0.481506,0.554787,0.436465,0.464640,28,-
"Nov 28, 2017",0.468313,0.484015,0.463789,0.481985,36,-
"Nov 27, 2017",0.448029,0.557282,0.448029,0.467110,11,-
"Nov 26, 2017",0.463126,0.464648,0.424696,0.447838,150,-
"Nov 25, 2017",0.394816,0.463062,0.392635,0.463062,33,-
"Nov 24, 2017",0.388916,0.431152,0.381602,0.395644,233,-
"Nov 23, 2017",0.393683,0.427454,0.389750,0.389750,190,-
"Nov 22, 2017",0.406785,0.461390,0.389876,0.393855,571,-
"Nov 21, 2017",0.398063,0.473693,0.376558,0.405927,214,-
"Nov 20, 2017",0.402330,0.478743,0.389619,0.397989,501,-
"Nov 19, 2017",0.459350,0.485481,0.370201,0.402518,99,-
"Nov 18, 2017",0.461204,0.467428,0.390811,0.460203,64,-
"Nov 17, 2017",0.525593,0.537963,0.399724,0.462979,83,-
"Nov 16, 2017",0.492956,0.536182,0.433371,0.526456,25,-
"Nov 15, 2017",0.448729,0.495891,0.406270,0.490386,8,-
"Nov 14, 2017",0.455658,0.468923,0.419375,0.448422,13,-
"Nov 13, 2017",0.408021,0.469264,0.324660,0.454695,39,-
"Nov 12, 2017",0.442294,0.447347,0.384986,0.407428,19,-
"Nov 11, 2017",0.330847,0.453529,0.252721,0.442615,160,-
"Nov 10, 2017",0.361854,0.369074,0.324643,0.332029,0,-
"Nov 09, 2017",0.436022,0.436022,0.411655,0.419318,1,-
"Nov 08, 2017",0.412736,0.454881,0.358122,0.436472,1,-
"Nov 07, 2017",0.510612,0.529583,0.370933,0.414035,2,-
"Nov 06, 2017",0.475837,0.739406,0.457705,0.511937,88,-
"Nov 05, 2017",0.472940,0.490129,0.468246,0.474783,8,-
"Nov 04, 2017",0.444564,0.872307,0.434370,0.473820,255,-
"Nov 03, 2017",0.702328,0.881855,0.441178,0.445723,164,-
"Nov 02, 2017",0.794448,0.815246,0.675745,0.703249,5,-
"Nov 01, 2017",1.02,1.02,0.342116,0.793563,244,-
"Oct 31, 2017",0.970214,1.02,0.965071,1.02,655,-
"Oct 30, 2017",0.974579,0.984048,0.955378,0.973520,2,-
"Oct 29, 2017",0.729394,0.984918,0.729394,0.980274,"1,070",-
"Oct 28, 2017",0.705847,0.718956,0.694808,0.702932,9,-
"Oct 27, 2017",0.825740,0.913088,0.290761,0.703925,106,-
"Oct 26, 2017",0.716798,0.828317,0.528512,0.825556,33,-
"Oct 25, 2017",0.694642,0.718160,0.673013,0.716883,94,-
"Oct 24, 2017",0.704311,1.01,0.628601,0.692782,144,-
"Oct 23, 2017",0.896774,0.909971,0.681707,0.706537,48,-
"Oct 22, 2017",1.01,1.02,0.753469,0.898220,7,-
"Oct 21, 2017",1.13,1.16,0.773651,1.01,61,-
"Oct 20, 2017",0.799267,1.14,0.787480,1.14,56,-
"Oct 19, 2017",1.02,1.14,0.775104,0.799043,117,-
"Oct 18, 2017",0.788807,1.05,0.739066,1.02,13,-
"Oct 17, 2017",0.866857,1.13,0.775248,0.788752,966,-
"Oct 16, 2017",0.888107,0.892626,0.841040,0.866723,360,-
"Oct 15, 2017",0.883423,0.896991,0.854496,0.887988,1,-
"Oct 14, 2017",1.10,1.11,0.844547,0.881845,12,-
"Oct 13, 2017",0.997282,1.16,0.850520,1.10,185,-
"Oct 12, 2017",0.970846,1.16,0.968346,0.994220,267,-
"Oct 11, 2017",0.951674,1.14,0.944849,0.970025,"2,153",-
"Oct 10, 2017",1.05,1.07,0.883225,0.951829,60,-
"Oct 09, 2017",1.08,1.14,1.04,1.05,"2,128",-
"Oct 08, 2017",1.05,1.09,1.04,1.08,87,-
"Oct 07, 2017",1.03,1.05,1.01,1.05,623,-
"Oct 06, 2017",0.949822,1.04,0.947941,1.03,"4,125",-
"Oct 05, 2017",0.996042,1.03,0.931135,0.949826,688,-
"Oct 04, 2017",1.02,1.03,0.933972,0.995142,"8,571",-
"Oct 03, 2017",0.984387,1.02,0.980264,1.02,"21,702",-
"Oct 02, 2017",1.04,1.05,0.976587,0.984350,"2,192",-
"Oct 01, 2017",1.03,1.04,0.976573,1.04,"3,128",-
"Sep 30, 2017",0.988766,1.03,0.958456,1.02,"18,165",-
"Sep 29, 2017",0.976442,0.997257,0.938366,0.988641,"6,380",-
"Sep 28, 2017",1.00,1.02,0.963763,0.977196,6,-
"Sep 27, 2017",0.933121,1.01,0.895134,1.00,929,-
"Sep 26, 2017",0.962080,0.963900,0.911458,0.935681,80,-
"Sep 25, 2017",0.959920,0.994596,0.874311,0.961217,187,-
"Sep 24, 2017",1.15,1.15,0.877078,0.960894,9,-
"Sep 23, 2017",1.11,1.20,1.10,1.15,609,-
"Sep 22, 2017",1.17,1.21,1.11,1.12,"9,938",-
"Sep 21, 2017",1.24,1.28,0.977953,1.17,159,-
"Sep 20, 2017",1.40,1.42,0.991339,1.24,512,-
"Sep 19, 2017",1.61,1.67,1.39,1.40,54,-
"Sep 18, 2017",1.40,1.69,1.38,1.61,812,-
"Sep 17, 2017",1.40,1.64,1.35,1.41,847,-
"Sep 16, 2017",1.61,1.68,1.35,1.40,"3,115",-
"Sep 15, 2017",1.30,1.76,1.08,1.59,"3,671",-
"Sep 14, 2017",1.52,1.54,1.13,1.30,"31,633",-
"Sep 13, 2017",2.03,2.03,1.26,1.52,"2,827",-
"Sep 12, 2017",1.73,2.15,1.73,2.02,"30,764",-
"Sep 11, 2017",1.05,3.17,1.02,1.73,"95,955",-
"Sep 10, 2017",1.04,1.11,1.03,1.04,"156,002",-
