Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001546,0.001570,0.001542,0.001558,7,"6,138"
"Dec 15, 2017",0.001327,0.001446,0.001327,0.001419,2,"5,265"
"Dec 14, 2017",0.001474,0.001536,0.001316,0.001325,2,"5,844"
"Dec 13, 2017",0.001561,0.001561,0.001434,0.001479,8,"6,188"
"Dec 11, 2017",0.000915,0.001015,0.000911,0.000997,5,"3,623"
"Dec 10, 2017",0.002054,0.002351,0.000878,0.000921,10,"8,132"
"Dec 09, 2017",0.003253,0.003301,0.003074,0.003094,2,"12,872"
"Dec 08, 2017",0.004512,0.004580,0.002816,0.003256,105,"17,854"
"Dec 07, 2017",0.004121,0.004814,0.003940,0.004502,32,"16,296"
"Dec 06, 2017",0.003510,0.004134,0.003510,0.004128,4,"13,872"
"Dec 05, 2017",0.004196,0.004290,0.003516,0.003518,66,"16,583"
"Dec 04, 2017",0.004384,0.004520,0.004014,0.004188,7,"17,317"
"Dec 03, 2017",0.004263,0.004616,0.004129,0.004370,3,"16,830"
"Dec 02, 2017",0.004245,0.004366,0.004184,0.004259,5,"16,747"
"Dec 01, 2017",0.003897,0.004719,0.003690,0.004249,11,"15,367"
"Nov 30, 2017",0.004718,0.005132,0.003510,0.003917,14,"18,591"
"Nov 29, 2017",0.003872,0.004988,0.003872,0.004646,9,"15,248"
"Nov 28, 2017",0.004195,0.004286,0.003872,0.003876,17,"16,507"
"Nov 27, 2017",0.006895,0.007183,0.004078,0.004184,503,"27,133"
"Nov 26, 2017",0.005248,0.007042,0.005242,0.006894,"1,598","20,639"
"Nov 25, 2017",0.003612,0.006081,0.003592,0.005250,444,"14,197"
"Nov 24, 2017",0.002813,0.006254,0.002759,0.003620,"4,864","11,050"
"Nov 23, 2017",0.002468,0.005290,0.002468,0.002817,68,"9,687"
"Nov 22, 2017",0.003651,0.003679,0.002424,0.002468,2,"14,325"
"Nov 21, 2017",0.002472,0.003678,0.002339,0.003642,20,"9,695"
"Nov 20, 2017",0.002976,0.002983,0.002405,0.002472,53,"11,663"
"Nov 19, 2017",0.002871,0.003001,0.002854,0.002977,12,"11,244"
"Nov 18, 2017",0.004381,0.004395,0.004248,0.004370,11,"17,157"
"Nov 17, 2017",0.004471,0.004577,0.004313,0.004398,13,"17,502"
"Nov 16, 2017",0.002702,0.004562,0.002642,0.004479,13,"10,570"
"Nov 15, 2017",0.002314,0.004434,0.002314,0.002688,967,"9,047"
"Nov 14, 2017",0.002286,0.002352,0.002249,0.002312,3,"8,931"
"Nov 13, 2017",0.002055,0.002354,0.002039,0.002281,27,"8,024"
"Nov 12, 2017",0.002226,0.002252,0.001938,0.002052,4,"8,687"
"Nov 11, 2017",0.002827,0.002928,0.002205,0.002228,162,"11,027"
"Nov 10, 2017",0.002968,0.002981,0.002774,0.002837,7,"11,573"
"Nov 09, 2017",0.003211,0.003211,0.003072,0.003072,32,"12,512"
"Nov 08, 2017",0.003131,0.003372,0.003080,0.003214,34,"12,194"
"Nov 07, 2017",0.004523,0.004680,0.003075,0.003141,16,"17,606"
"Nov 06, 2017",0.003179,0.004826,0.003058,0.004531,710,"12,367"
"Nov 05, 2017",0.003172,0.003273,0.003137,0.003172,10,"12,331"
"Nov 04, 2017",0.005734,0.005807,0.002915,0.003178,7,"22,274"
"Nov 03, 2017",0.003512,0.005865,0.002184,0.005748,"1,476","13,635"
"Nov 02, 2017",0.003297,0.003656,0.002716,0.003516,97,"12,794"
"Nov 01, 2017",0.002900,0.003299,0.002865,0.003293,16,"11,245"
"Oct 31, 2017",0.002758,0.002902,0.002743,0.002902,11,"10,687"
"Oct 30, 2017",0.003017,0.003019,0.002733,0.002767,64,"11,685"
"Oct 29, 2017",0.002749,0.004091,0.002742,0.003035,535,"10,643"
"Oct 28, 2017",0.002783,0.002786,0.002723,0.002753,10,"10,768"
"Oct 27, 2017",0.002826,0.002878,0.002736,0.002759,3,"10,924"
"Oct 26, 2017",0.004874,0.005087,0.002785,0.002825,3,"18,833"
"Oct 25, 2017",0.002531,0.004883,0.002507,0.004875,210,"9,772"
"Oct 24, 2017",0.004986,0.004986,0.004730,0.004740,75,"19,242"
"Oct 23, 2017",0.003408,0.005049,0.003379,0.004997,"1,413","13,144"
"Oct 22, 2017",0.003428,0.003458,0.003276,0.003414,1,"13,213"
"Oct 21, 2017",0.005164,0.005236,0.003364,0.003427,4,"19,897"
"Oct 20, 2017",0.004963,0.005255,0.004834,0.005175,2,"19,109"
"Oct 19, 2017",0.003129,0.004994,0.003100,0.004962,82,"12,040"
"Oct 18, 2017",0.004257,0.004982,0.002768,0.003127,"1,352","16,369"
"Oct 17, 2017",0.002947,0.004284,0.002768,0.004256,81,"11,327"
"Oct 16, 2017",0.003074,0.003089,0.002804,0.002947,134,"11,806"
"Oct 15, 2017",0.003218,0.003229,0.002901,0.003073,25,"12,355"
"Oct 14, 2017",0.003280,0.003347,0.003131,0.003212,136,"12,584"
"Oct 13, 2017",0.003156,0.003409,0.003135,0.003279,82,"12,100"
"Oct 12, 2017",0.002915,0.003146,0.002805,0.003146,25,"11,171"
"Oct 11, 2017",0.002762,0.002801,0.002740,0.002791,8,"10,578"
"Oct 10, 2017",0.002680,0.003855,0.002672,0.002763,143,"10,260"
"Oct 09, 2017",0.002716,0.004682,0.002605,0.002680,847,"10,391"
"Oct 08, 2017",0.002666,0.002721,0.002628,0.002715,8,"10,196"
"Oct 07, 2017",0.004549,0.004561,0.002606,0.002673,49,"17,380"
"Oct 06, 2017",0.004972,0.005030,0.002606,0.002667,803,"18,993"
"Oct 05, 2017",0.004855,0.005021,0.004773,0.004972,163,"18,534"
"Oct 04, 2017",0.002203,0.004981,0.002157,0.004850,208,"8,403"
"Oct 03, 2017",0.003258,0.003885,0.002177,0.002198,182,"12,428"
"Oct 02, 2017",0.004262,0.007547,0.003145,0.003258,129,"16,258"
"Oct 01, 2017",0.003858,0.004264,0.003858,0.004264,270,"14,717"
"Sep 29, 2017",0.003439,0.003450,0.003319,0.003341,3,"13,100"
"Sep 28, 2017",0.002146,0.003505,0.002122,0.003441,3,"8,174"
"Sep 27, 2017",0.001999,0.002154,0.001997,0.002146,81,"7,613"
"Sep 22, 2017",0.002535,0.002632,0.002475,0.002498,0,"9,632"
"Sep 21, 2017",0.003104,0.003124,0.002511,0.002538,0,"11,790"
"Sep 20, 2017",0.001996,0.003238,0.001961,0.003119,9,"7,577"
"Sep 19, 2017",0.002667,0.003291,0.001980,0.001999,99,"10,124"
"Sep 18, 2017",0.002956,0.003281,0.002599,0.002661,845,"11,213"
"Sep 17, 2017",0.002786,0.003024,0.001933,0.002962,494,"10,567"
"Sep 16, 2017",0.002782,0.003105,0.002667,0.002788,32,"10,550"
"Sep 15, 2017",0.002351,0.002868,0.002242,0.002789,28,"8,911"
"Sep 14, 2017",0.003102,0.003143,0.002634,0.002752,487,"11,743"
"Sep 13, 2017",0.001951,0.003170,0.001951,0.003102,550,"7,386"
"Sep 12, 2017",0.002107,0.002189,0.002107,0.002134,1,"7,976"
"Sep 11, 2017",0.001913,0.002135,0.001861,0.002105,1,"7,236"
"Sep 10, 2017",0.001947,0.001947,0.001910,0.001916,4,"7,366"
"Sep 09, 2017",0.003809,0.003879,0.003701,0.003716,358,"14,404"
"Sep 08, 2017",0.003174,0.003825,0.002919,0.003802,575,"11,899"
"Sep 05, 2017",0.001507,0.001544,0.001420,0.001542,4,"5,650"
"Sep 04, 2017",0.001894,0.001895,0.001453,0.001499,21,"7,099"
"Sep 03, 2017",0.001614,0.001924,0.001614,0.001893,1,"6,050"
"Sep 02, 2017",0.001822,0.001822,0.001573,0.001613,15,"6,830"
"Sep 01, 2017",0.003459,0.003502,0.001771,0.001820,10,"12,966"
"Aug 31, 2017",0.002290,0.003463,0.001843,0.003458,394,"8,584"
"Aug 30, 2017",0.002287,0.002298,0.002275,0.002294,1,"8,574"
"Aug 29, 2017",0.002194,0.002322,0.002175,0.002276,5,"8,226"
"Aug 28, 2017",0.002172,0.002198,0.002099,0.002191,5,"8,141"
