Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.150881,0.185093,0.148104,0.183641,"1,280","939,836"
"Dec 15, 2017",0.165710,0.172173,0.139451,0.140977,685,"1,032,180"
"Dec 14, 2017",0.148198,0.171031,0.133172,0.165462,821,"923,065"
"Dec 13, 2017",0.193319,0.195884,0.147626,0.148675,626,"1,204,060"
"Dec 12, 2017",0.180152,0.197854,0.139044,0.193157,"1,729","1,122,020"
"Dec 11, 2017",0.158569,0.187295,0.156084,0.179576,672,"987,559"
"Dec 10, 2017",0.168420,0.175109,0.143928,0.159722,727,"1,048,880"
"Dec 09, 2017",0.178902,0.181553,0.149745,0.167740,752,"1,114,120"
"Dec 08, 2017",0.194033,0.220391,0.160174,0.179083,"1,202","1,208,310"
"Dec 07, 2017",0.166616,0.193578,0.162489,0.193578,347,"1,037,540"
"Dec 06, 2017",0.149887,0.180941,0.149887,0.166903,986,"933,334"
"Dec 05, 2017",0.130667,0.184715,0.129717,0.150220,654,"813,624"
"Dec 04, 2017",0.131191,0.287917,0.113018,0.130410,"3,347","816,863"
"Dec 03, 2017",0.117516,0.139445,0.114116,0.130758,750,"731,686"
"Dec 02, 2017",0.119728,0.126391,0.114338,0.117404,849,"745,437"
"Dec 01, 2017",0.104328,0.141005,0.104254,0.119830,832,"649,532"
"Nov 30, 2017",0.106936,0.141125,0.092778,0.104847,"1,022","665,749"
"Nov 29, 2017",0.108711,0.139555,0.098295,0.105318,63,"676,777"
"Nov 28, 2017",0.130722,0.132691,0.108208,0.108819,"1,021","813,777"
"Nov 27, 2017",0.123832,0.128965,0.111823,0.114719,457,"770,858"
"Nov 26, 2017",0.117550,0.144823,0.089657,0.123808,667,"731,726"
"Nov 25, 2017",0.110178,0.117589,0.104520,0.117589,737,"685,812"
"Nov 24, 2017",0.140246,0.143847,0.104032,0.110401,804,"872,947"
"Nov 23, 2017",0.112685,0.148000,0.097475,0.140438,647,"701,369"
"Nov 22, 2017",0.094367,0.113274,0.073016,0.112721,"1,125","587,335"
"Nov 21, 2017",0.123704,0.125468,0.091334,0.094138,957,"769,904"
"Nov 20, 2017",0.126201,0.132793,0.120454,0.123681,797,"785,418"
"Nov 19, 2017",0.175439,0.175750,0.115995,0.126260,879,"1,091,820"
"Nov 18, 2017",0.185481,0.185481,0.160160,0.175765,"4,319","1,154,270"
"Nov 17, 2017",0.199961,0.201831,0.182189,0.186195,670,"1,244,340"
"Nov 16, 2017",0.182576,0.211273,0.163191,0.200289,920,"1,136,120"
"Nov 15, 2017",0.215604,0.236384,0.181507,0.181625,"6,084","1,341,600"
"Nov 14, 2017",0.243013,0.246516,0.193797,0.215457,"1,035","1,512,100"
"Nov 13, 2017",0.227670,0.254624,0.192786,0.242500,995,"1,416,580"
"Nov 12, 2017",0.226458,0.247530,0.168723,0.227339,"6,522","1,409,000"
"Nov 11, 2017",0.262929,0.272333,0.208086,0.226625,"1,076","1,635,860"
"Nov 10, 2017",0.280235,0.294575,0.248497,0.263868,"1,161","1,743,480"
"Nov 09, 2017",0.260538,0.300334,0.247595,0.279406,722,"1,620,880"
"Nov 08, 2017",0.268634,0.287933,0.238008,0.260807,"1,340","1,671,180"
"Nov 07, 2017",0.230203,0.285871,0.230203,0.269480,364,"1,432,050"
"Nov 06, 2017",0.283092,0.310540,0.195845,0.230572,"9,862","1,761,010"
"Nov 05, 2017",0.317129,0.325390,0.279343,0.282465,"2,805","1,972,670"
"Nov 04, 2017",0.305454,0.320783,0.291464,0.317730,934,"1,899,990"
"Nov 03, 2017",0.301650,0.309690,0.261760,0.306250,"1,180","1,876,270"
"Nov 02, 2017",0.293771,0.314410,0.243268,0.302045,829,"1,827,200"
"Nov 01, 2017",0.282760,0.293984,0.232993,0.293444,877,"1,758,650"
"Oct 31, 2017",0.221091,0.282967,0.209766,0.282967,"6,887","1,375,050"
"Oct 30, 2017",0.233717,0.247403,0.215723,0.221844,"1,586","1,453,520"
"Oct 29, 2017",0.203456,0.239938,0.203109,0.235082,716,"1,265,280"
"Oct 28, 2017",0.203910,0.221742,0.202214,0.203734,859,"1,268,070"
"Oct 27, 2017",0.217812,0.225331,0.199474,0.203355,616,"1,354,480"
"Oct 26, 2017",0.217849,0.227289,0.200663,0.217761,"1,786","1,354,670"
"Oct 25, 2017",0.208978,0.218263,0.198006,0.217875,636,"1,299,470"
"Oct 24, 2017",0.220780,0.227925,0.197588,0.208894,"4,322","1,372,810"
"Oct 23, 2017",0.225718,0.229040,0.187432,0.221267,"3,980","1,403,470"
"Oct 22, 2017",0.227017,0.229012,0.204066,0.226082,"2,461","1,411,500"
"Oct 21, 2017",0.211681,0.233715,0.210209,0.226948,"2,066","1,316,100"
"Oct 20, 2017",0.211069,0.223375,0.199526,0.212127,"4,732","1,312,250"
"Oct 19, 2017",0.199353,0.217101,0.197527,0.211010,890,"1,239,370"
"Oct 18, 2017",0.203195,0.209603,0.189279,0.199250,"2,060","1,263,210"
"Oct 17, 2017",0.213825,0.218937,0.201922,0.203180,947,"1,329,240"
"Oct 16, 2017",0.209234,0.214908,0.201375,0.213792,"1,304","1,300,660"
"Oct 15, 2017",0.216204,0.216903,0.192004,0.209206,"1,771","1,343,940"
"Oct 14, 2017",0.204566,0.216117,0.197306,0.215818,"1,315","1,271,560"
"Oct 13, 2017",0.194614,0.211572,0.182517,0.204510,"1,619","1,209,660"
"Oct 12, 2017",0.177557,0.194016,0.121164,0.194016,"8,417","1,103,600"
"Oct 11, 2017",0.175031,0.178706,0.159891,0.177407,588,"1,087,860"
"Oct 10, 2017",0.160337,0.181065,0.155091,0.175061,"1,104","996,501"
"Oct 09, 2017",0.155804,0.176143,0.111460,0.160349,"6,269","968,298"
"Oct 08, 2017",0.142551,0.156128,0.135234,0.155765,790,"885,903"
"Oct 07, 2017",0.142062,0.149611,0.134450,0.149260,709,"882,839"
"Oct 06, 2017",0.159370,0.159381,0.123444,0.137294,"4,818","990,370"
