Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.005992,0.014492,0.005974,0.013210,665,"169,455"
"Dec 15, 2017",0.005804,0.006454,0.005803,0.005990,221,"164,131"
"Dec 14, 2017",0.006042,0.007121,0.005626,0.005795,454,"170,863"
"Dec 13, 2017",0.006463,0.006714,0.005459,0.006057,107,"182,758"
"Dec 12, 2017",0.005694,0.006754,0.005232,0.006445,294,"161,026"
"Dec 11, 2017",0.004140,0.007313,0.003917,0.005677,114,"117,086"
"Dec 10, 2017",0.004547,0.006196,0.003778,0.004170,80,"128,598"
"Dec 09, 2017",0.005183,0.005434,0.004032,0.004538,27,"146,564"
"Dec 08, 2017",0.006024,0.006143,0.003311,0.005188,"1,318","170,342"
"Dec 07, 2017",0.004775,0.006015,0.004225,0.006015,258,"135,035"
"Dec 06, 2017",0.004089,0.004769,0.004089,0.004769,51,"115,638"
"Dec 05, 2017",0.004017,0.005084,0.003930,0.004115,52,"113,583"
"Dec 04, 2017",0.004383,0.004922,0.003703,0.004008,183,"123,953"
"Dec 03, 2017",0.004044,0.005130,0.003969,0.004369,"1,100","114,370"
"Dec 02, 2017",0.003866,0.004900,0.003854,0.004586,54,"109,326"
"Dec 01, 2017",0.003697,0.004090,0.003410,0.003872,18,"104,547"
"Nov 30, 2017",0.003538,0.003938,0.003332,0.003713,18,"100,050"
"Nov 29, 2017",0.003566,0.005220,0.003474,0.003485,368,"100,847"
"Nov 28, 2017",0.004577,0.004578,0.003566,0.003568,142,"129,443"
"Nov 27, 2017",0.003688,0.004576,0.003688,0.004567,177,"104,285"
"Nov 26, 2017",0.003065,0.005435,0.003060,0.003684,463,"86,672"
"Nov 25, 2017",0.002799,0.003096,0.002450,0.003066,191,"79,162"
"Nov 24, 2017",0.002389,0.004130,0.002315,0.002806,355,"67,559"
"Nov 23, 2017",0.002639,0.003091,0.002405,0.002428,51,"74,628"
"Nov 22, 2017",0.002463,0.003544,0.002342,0.002647,218,"69,645"
"Nov 21, 2017",0.002557,0.003748,0.002339,0.002460,25,"72,300"
