Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.024723,0.028994,0.014188,0.028748,"11,734","4,173,390"
"Dec 15, 2017",0.030454,0.030476,0.023797,0.024676,"11,930","5,140,940"
"Dec 14, 2017",0.026740,0.034256,0.025161,0.030426,"11,274","4,513,900"
"Dec 13, 2017",0.024118,0.030213,0.023709,0.026753,"9,827","4,071,380"
"Dec 12, 2017",0.029931,0.030980,0.021079,0.024102,"17,434","5,052,690"
"Dec 11, 2017",0.028027,0.032027,0.027994,0.030124,"13,461","4,731,160"
"Dec 10, 2017",0.025680,0.029701,0.024044,0.027973,"6,227","4,335,080"
"Dec 09, 2017",0.026194,0.034842,0.024396,0.025599,"7,467","4,421,860"
"Dec 08, 2017",0.017881,0.027880,0.017015,0.026195,"11,241","3,018,400"
"Dec 07, 2017",0.018924,0.018951,0.017156,0.017819,"7,917","3,194,480"
"Dec 06, 2017",0.022330,0.022330,0.017738,0.018993,"23,376","3,769,460"
"Dec 05, 2017",0.023329,0.024978,0.022318,0.022369,"20,564","3,938,110"
"Dec 04, 2017",0.026190,0.027576,0.023007,0.023317,"18,403",-
"Dec 03, 2017",0.025634,0.029279,0.022946,0.024084,"20,333",-
"Dec 02, 2017",0.022215,0.028833,0.018885,0.025625,"19,609",-
"Dec 01, 2017",0.029231,0.030655,0.022001,0.022215,"25,424",-
"Nov 30, 2017",0.030348,0.035927,0.023644,0.029304,"49,212",-
"Nov 29, 2017",0.041030,0.043914,0.029895,0.029965,"24,929",-
"Nov 28, 2017",0.041770,0.043373,0.030306,0.040997,"52,695",-
"Nov 27, 2017",0.050230,0.050660,0.037456,0.041827,"51,994",-
"Nov 26, 2017",0.048202,0.057360,0.039135,0.050242,"160,949",-
"Nov 25, 2017",0.066973,0.092095,0.047731,0.048201,"87,034",-
"Nov 24, 2017",0.056029,0.068036,0.056029,0.066984,"52,741",-
"Nov 23, 2017",0.048740,0.059990,0.047713,0.056310,"51,097",-
"Nov 22, 2017",0.046069,0.051465,0.042300,0.048628,"79,547",-
"Nov 21, 2017",0.040987,0.050594,0.031672,0.046010,"24,701",-
"Nov 20, 2017",0.048932,0.049896,0.041017,0.041051,"7,536",-
"Nov 19, 2017",0.048516,0.050900,0.043394,0.048985,"3,779",-
"Nov 18, 2017",0.036050,0.048878,0.033180,0.048642,"11,947",-
"Nov 17, 2017",0.043112,0.046844,0.031651,0.036104,"3,895",-
"Nov 16, 2017",0.044077,0.047153,0.042409,0.043142,"13,314",-
"Nov 15, 2017",0.044890,0.047230,0.041864,0.044112,"18,550",-
"Nov 14, 2017",0.038188,0.047149,0.037275,0.044866,"40,022",-
"Nov 13, 2017",0.040007,0.040536,0.036657,0.038189,"16,811",-
"Nov 12, 2017",0.038069,0.042141,0.033793,0.039944,"14,448",-
"Nov 11, 2017",0.032711,0.038286,0.032672,0.038064,"2,211",-
"Nov 10, 2017",0.037321,0.039127,0.032010,0.032806,"3,512",-
"Nov 09, 2017",0.023623,0.037304,0.023228,0.037304,"12,025",-
"Nov 08, 2017",0.020824,0.033813,0.020740,0.023751,"3,371",-
"Nov 07, 2017",0.023790,0.025855,0.020547,0.020838,"2,338",-
"Nov 06, 2017",0.032360,0.032360,0.023754,0.023754,"6,978",-
"Nov 05, 2017",0.027300,0.033424,0.027107,0.032330,"4,952",-
"Nov 04, 2017",0.019506,0.034854,0.019366,0.027265,"1,118",-
"Nov 03, 2017",0.024195,0.029938,0.016820,0.019503,"1,989",-
"Nov 02, 2017",0.032691,0.033022,0.024027,0.024076,"2,305",-
"Nov 01, 2017",0.031425,0.034316,0.026455,0.032600,"1,951",-
"Oct 31, 2017",0.036818,0.041504,0.031482,0.031482,"6,859",-
"Oct 30, 2017",0.041377,0.042078,0.034473,0.036798,"2,988",-
"Oct 29, 2017",0.037725,0.042530,0.037652,0.041460,"7,174",-
"Oct 28, 2017",0.040517,0.040593,0.037454,0.037741,"19,331",-
"Oct 27, 2017",0.039952,0.042692,0.031434,0.040322,"35,939",-
"Oct 26, 2017",0.035655,0.040132,0.035655,0.039975,"42,740",-
