Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.015000,0.015701,0.013847,0.015190,"8,286",-
"Dec 15, 2017",0.012938,0.015688,0.009792,0.014979,"35,969",-
"Dec 14, 2017",0.012445,0.014410,0.009492,0.014410,"24,708",-
"Dec 13, 2017",0.010884,0.011993,0.009941,0.011993,"4,540",-
"Dec 12, 2017",0.010944,0.012294,0.008471,0.010875,"8,634",-
"Dec 11, 2017",0.011588,0.013218,0.011077,0.011077,"1,253",-
"Dec 10, 2017",0.012180,0.012977,0.008741,0.011672,"3,040",-
"Dec 09, 2017",0.013499,0.014129,0.011513,0.012131,"8,295",-
"Dec 08, 2017",0.015446,0.015700,0.003539,0.013513,"10,855",-
"Dec 07, 2017",0.013736,0.016173,0.012614,0.015410,"5,819",-
"Dec 06, 2017",0.013924,0.015065,0.012167,0.013759,"15,531",-
"Dec 05, 2017",0.015969,0.016136,0.013797,0.013955,"11,503",-
"Dec 04, 2017",0.013603,0.015938,0.013588,0.015938,"13,401",-
"Dec 03, 2017",0.012899,0.015008,0.012374,0.013558,"5,198",-
"Dec 02, 2017",0.013823,0.014072,0.011371,0.012887,835,-
"Dec 01, 2017",0.012991,0.015136,0.010462,0.013835,"7,989",-
"Nov 30, 2017",0.012188,0.013734,0.011699,0.013056,"4,796",-
"Nov 29, 2017",0.011516,0.014184,0.011275,0.012003,"13,861",-
"Nov 28, 2017",0.014243,0.014292,0.011251,0.011528,"6,055",-
"Nov 27, 2017",0.012765,0.015045,0.012765,0.014206,"1,696",-
"Nov 26, 2017",0.013294,0.014728,0.012615,0.012763,"3,368",-
"Nov 25, 2017",0.012890,0.014630,0.012817,0.013299,"3,360",-
"Nov 24, 2017",0.014708,0.014783,0.011203,0.012916,"2,659",-
"Nov 23, 2017",0.012009,0.015204,0.011487,0.014728,"9,551",-
"Nov 22, 2017",0.011384,0.012811,0.010397,0.012013,"10,674",-
"Nov 02, 2017",0.014842,0.014842,0.014842,0.014842,139,"1,409,940"
"Nov 01, 2017",0.014771,0.014838,0.014771,0.014838,139,"1,403,200"
"Oct 31, 2017",0.012790,0.014784,0.012790,0.014775,"58,664","1,215,100"
"Oct 30, 2017",0.014404,0.014704,0.012339,0.012786,"46,300","1,368,380"
"Oct 29, 2017",0.014737,0.015038,0.013985,0.014434,"21,696","1,400,040"
"Oct 28, 2017",0.014888,0.015640,0.014587,0.014737,"14,412","1,414,330"
"Oct 27, 2017",0.014300,0.015784,0.014130,0.014882,"32,421","1,358,500"
"Oct 26, 2017",0.014158,0.015079,0.014007,0.014315,"45,745","1,344,990"
"Oct 25, 2017",0.014168,0.014469,0.013414,0.014143,"27,962","1,345,920"
"Oct 24, 2017",0.013704,0.015532,0.013554,0.014171,"39,038","1,301,930"
"Oct 23, 2017",0.015075,0.015075,0.013568,0.013725,"53,039","1,432,150"
"Oct 22, 2017",0.015552,0.015552,0.014346,0.015097,"25,528","1,477,450"
"Oct 21, 2017",0.015853,0.015853,0.015400,0.015551,"37,835","1,506,050"
"Oct 20, 2017",0.015421,0.016463,0.014514,0.015407,"43,544","1,465,030"
"Oct 19, 2017",0.015087,0.017492,0.013571,0.015388,"146,958","1,433,300"
"Oct 18, 2017",0.014948,0.015854,0.013587,0.015105,"66,832","1,420,090"
"Oct 17, 2017",0.015478,0.016053,0.014349,0.014962,"54,960","1,470,390"
"Oct 16, 2017",0.014725,0.016679,0.013966,0.015471,"143,723","1,398,880"
"Oct 15, 2017",0.016264,0.016264,0.013224,0.014742,"80,290","1,545,070"
"Oct 14, 2017",0.016112,0.016416,0.013680,0.016264,"128,108","1,530,620"
"Oct 13, 2017",0.016241,0.020339,0.015029,0.016091,"372,772","1,542,910"
