Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002118,0.002288,0.002039,0.002211,137,"168,815"
"Dec 15, 2017",0.001520,0.002115,0.000863,0.002115,317,"121,151"
"Dec 14, 2017",0.002104,0.002144,0.001512,0.001517,89,"167,696"
"Dec 13, 2017",0.001046,0.002131,0.000997,0.002110,224,"83,379"
"Dec 12, 2017",0.000825,0.001075,0.000822,0.001045,280,"65,773"
"Dec 11, 2017",0.001067,0.001225,0.001063,0.001203,17,"85,083"
"Dec 10, 2017",0.001504,0.001577,0.000981,0.001075,53,"119,878"
"Dec 09, 2017",0.001568,0.001584,0.001354,0.001498,15,"125,002"
"Dec 08, 2017",0.001202,0.001220,0.000986,0.001104,518,"95,808"
"Dec 07, 2017",0.001223,0.001266,0.001052,0.001199,637,"97,494"
"Dec 06, 2017",0.000936,0.002295,0.000936,0.001225,"1,535","74,622"
"Dec 05, 2017",0.001166,0.001170,0.000928,0.000938,55,"92,923"
"Dec 04, 2017",0.001052,0.001291,0.000918,0.001163,251,"83,829"
"Dec 03, 2017",0.000603,0.001049,0.000582,0.001048,22,"48,091"
"Dec 02, 2017",0.001388,0.001431,0.000602,0.000603,71,"110,652"
"Dec 01, 2017",0.000965,0.001389,0.000788,0.001389,"1,463","76,904"
"Nov 30, 2017",0.000644,0.000978,0.000597,0.000969,83,"51,326"
"Nov 29, 2017",0.000775,0.000936,0.000620,0.000634,19,"61,749"
"Nov 28, 2017",0.000976,0.000976,0.000594,0.000775,119,"77,769"
"Nov 27, 2017",0.000582,0.001153,0.000581,0.000973,169,"46,365"
"Nov 26, 2017",0.000961,0.000978,0.000575,0.000581,39,"76,649"
"Nov 25, 2017",0.000739,0.000962,0.000735,0.000962,616,"58,904"
"Nov 24, 2017",0.000723,0.000751,0.000710,0.000740,424,"57,664"
"Nov 23, 2017",0.000578,0.000737,0.000575,0.000724,3,"46,095"
"Nov 22, 2017",0.000649,0.000657,0.000567,0.000578,45,"51,748"
"Nov 21, 2017",0.000577,0.000744,0.000546,0.000648,2,"45,990"
"Nov 20, 2017",0.000563,0.000741,0.000556,0.000577,31,"44,885"
"Nov 19, 2017",0.000669,0.000675,0.000551,0.000563,3,"53,320"
"Nov 18, 2017",0.000538,0.000694,0.000522,0.000670,3,"42,895"
"Nov 17, 2017",0.000628,0.000642,0.000540,0.000540,1,"50,030"
"Nov 16, 2017",0.000657,0.000657,0.000619,0.000629,2,"52,397"
"Nov 15, 2017",0.000463,0.000659,0.000463,0.000654,2,"36,895"
"Nov 14, 2017",0.000588,0.000605,0.000459,0.000462,76,"46,857"
"Nov 13, 2017",0.000410,0.000591,0.000407,0.000587,62,"32,716"
"Nov 12, 2017",0.000479,0.000557,0.000372,0.000410,74,"38,183"
"Nov 11, 2017",0.000446,0.000586,0.000406,0.000479,31,"35,519"
"Nov 10, 2017",0.000642,0.000660,0.000447,0.000447,24,"51,148"
"Nov 09, 2017",0.000597,0.000667,0.000494,0.000640,235,"47,624"
"Nov 08, 2017",0.000427,0.000598,0.000424,0.000598,124,"34,038"
"Nov 07, 2017",0.000431,0.000433,0.000419,0.000428,10,"34,363"
"Nov 06, 2017",0.000300,0.000301,0.000289,0.000294,28,"23,922"
