Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.425039,0.440820,0.356353,0.404521,"5,897","710,034"
"Dec 15, 2017",0.424193,0.504963,0.417845,0.424419,"8,270","705,263"
"Dec 14, 2017",0.475305,0.487497,0.374090,0.427585,"6,824","786,547"
"Dec 13, 2017",0.466394,0.530707,0.430406,0.469004,"6,992","768,192"
"Dec 12, 2017",0.466560,0.499123,0.388188,0.465313,"9,244","764,825"
"Dec 11, 2017",0.576929,0.626020,0.442712,0.465326,"9,774","941,226"
"Dec 10, 2017",0.599260,0.615073,0.466252,0.568405,"7,680","972,922"
"Dec 09, 2017",0.610552,0.690049,0.526116,0.596951,"9,203","986,404"
"Dec 08, 2017",0.721892,0.732700,0.581495,0.591452,"9,022","1,160,570"
"Dec 07, 2017",0.602991,0.742558,0.572122,0.720476,"14,748","964,638"
"Dec 06, 2017",0.531066,0.621321,0.506198,0.598804,"9,447","845,605"
"Dec 05, 2017",0.585934,0.633091,0.527615,0.527615,"8,065","928,498"
"Dec 04, 2017",0.544551,0.785421,0.544551,0.584795,"11,254","858,708"
"Dec 03, 2017",0.528641,0.589986,0.507253,0.558254,"10,484","829,265"
"Dec 02, 2017",0.527237,0.556874,0.514316,0.531614,"8,945","822,696"
"Dec 01, 2017",0.493388,0.545611,0.473763,0.530069,"6,384","765,755"
"Nov 30, 2017",0.502517,0.541825,0.435319,0.502765,"11,465","775,705"
"Nov 29, 2017",0.493811,0.635331,0.455224,0.501811,"9,516","758,144"
"Nov 28, 2017",0.562030,0.578186,0.505455,0.514164,"9,802","858,205"
"Nov 27, 2017",0.494119,0.598192,0.492393,0.556993,"11,759","750,394"
"Nov 26, 2017",0.522691,0.551333,0.418530,0.481509,"13,019","789,381"
"Nov 25, 2017",0.460351,0.650927,0.448858,0.515895,"10,067","691,339"
"Nov 24, 2017",0.385890,0.498587,0.375575,0.478509,"8,890","576,228"
"Nov 23, 2017",0.432064,0.432186,0.367327,0.388156,"4,584","641,526"
"Nov 22, 2017",0.392395,0.554656,0.363208,0.441875,"10,622","579,282"
"Nov 21, 2017",0.426325,0.435248,0.364668,0.409302,"2,865","625,771"
"Nov 20, 2017",0.407093,0.468463,0.388689,0.425661,"7,535","594,116"
"Nov 19, 2017",0.372666,0.413918,0.341909,0.408075,"10,348","540,681"
"Nov 18, 2017",0.422242,0.429927,0.357404,0.380510,"6,132","609,024"
"Nov 17, 2017",0.426809,0.446257,0.397032,0.423749,"7,692","611,978"
"Nov 16, 2017",0.447225,0.477509,0.418567,0.419131,"5,339","637,488"
"Nov 15, 2017",0.434074,0.483932,0.434074,0.444961,"5,298","615,048"
"Nov 14, 2017",0.466830,0.475376,0.360157,0.444241,"9,138","657,552"
"Nov 13, 2017",0.377522,0.640975,0.355247,0.467695,"11,226","528,551"
"Nov 12, 2017",0.411202,0.467438,0.337506,0.377379,"7,644","572,198"
"Nov 11, 2017",0.625250,0.632949,0.390859,0.433551,"7,014","864,698"
"Nov 10, 2017",0.598711,0.769674,0.515560,0.627553,"13,717","822,846"
"Nov 09, 2017",0.658870,0.807796,0.573022,0.596771,"38,230","899,949"
"Nov 08, 2017",0.446486,0.915455,0.445275,0.648314,"20,248","606,053"
"Nov 07, 2017",0.300043,0.474580,0.290611,0.436383,"6,043","404,727"
"Nov 06, 2017",0.330052,0.349345,0.285168,0.307200,"2,624","442,412"
"Nov 05, 2017",0.382325,0.429942,0.300058,0.334603,"4,134","509,191"
"Nov 04, 2017",0.431162,0.463452,0.367410,0.367410,"4,945","570,587"
"Nov 03, 2017",0.450255,0.480159,0.402318,0.402318,"4,674","592,040"
"Nov 02, 2017",0.461480,0.493151,0.383825,0.445256,"4,545","602,924"
"Nov 01, 2017",0.475538,0.487733,0.344397,0.419849,"7,402","617,300"
"Oct 31, 2017",0.645203,0.652580,0.410046,0.479328,"10,080","832,016"
"Oct 30, 2017",0.604333,0.676084,0.485200,0.651760,"7,397","774,299"
"Oct 29, 2017",0.632420,0.652545,0.574555,0.608886,"6,324","804,930"
"Oct 28, 2017",0.594875,0.649893,0.556086,0.634947,"9,578","752,081"
"Oct 27, 2017",0.626063,0.649710,0.546506,0.596198,"10,045","786,190"
"Oct 26, 2017",0.684477,0.711478,0.627157,0.627157,"8,071","853,773"
"Oct 25, 2017",0.692343,0.714117,0.583658,0.684707,"6,931","857,669"
"Oct 24, 2017",0.622761,0.767606,0.539601,0.723904,"11,745","766,228"
"Oct 23, 2017",0.798905,0.827566,0.619181,0.630137,"9,783","976,126"
"Oct 22, 2017",0.894000,0.912961,0.667099,0.795788,"9,205","1,084,650"
"Oct 21, 2017",0.984211,1.04,0.668296,0.874111,"16,396","1,185,720"
"Oct 20, 2017",0.982597,1.10,0.897842,0.956676,"19,052","1,175,410"
"Oct 19, 2017",1.01,1.05,0.914715,0.996054,"21,148","1,202,610"
"Oct 18, 2017",1.09,1.10,0.917559,1.02,"17,231","1,288,060"
"Oct 17, 2017",1.07,1.12,1.01,1.10,"17,783","1,257,100"
"Oct 16, 2017",1.29,1.35,1.00,1.08,"12,665","1,505,040"
"Oct 15, 2017",1.39,1.39,0.935762,1.25,"23,681","1,615,660"
"Oct 14, 2017",1.31,1.54,1.30,1.37,"33,449","1,514,770"
"Oct 13, 2017",1.26,1.45,1.21,1.38,"16,285","1,456,520"
"Oct 12, 2017",1.13,1.32,1.09,1.21,"21,756","1,299,210"
"Oct 11, 2017",1.15,1.22,1.07,1.14,"19,457","1,315,540"
"Oct 10, 2017",1.19,1.35,1.06,1.15,"15,475","1,355,600"
"Oct 09, 2017",1.32,1.38,1.10,1.17,"19,047","1,503,040"
"Oct 08, 2017",1.33,1.46,1.28,1.34,"25,414","1,505,010"
"Oct 07, 2017",1.35,1.42,1.22,1.34,"16,784","1,525,180"
"Oct 06, 2017",1.56,1.56,1.14,1.24,"21,555","1,757,400"
"Oct 05, 2017",1.61,1.71,1.51,1.57,"17,492","1,808,710"
"Oct 04, 2017",1.69,1.94,1.52,1.67,"24,985","1,891,400"
"Oct 03, 2017",2.20,2.24,1.20,1.69,"43,091","2,448,890"
"Oct 02, 2017",1.92,2.23,1.92,2.15,"42,586","2,131,020"
"Oct 01, 2017",1.77,2.15,1.70,1.92,"27,392","1,951,630"
"Sep 30, 2017",1.79,2.05,1.65,1.76,"24,327","1,974,190"
"Sep 29, 2017",1.36,2.05,1.30,1.77,"31,881","1,497,450"
"Sep 28, 2017",1.40,1.45,1.33,1.37,"21,033","1,529,340"
"Sep 27, 2017",1.31,1.41,1.23,1.40,"25,412","1,424,100"
"Sep 26, 2017",1.39,1.41,1.28,1.31,"11,804","1,504,300"
"Sep 25, 2017",1.37,1.49,1.28,1.41,"31,633","1,485,070"
"Sep 24, 2017",1.38,1.51,1.04,1.43,"40,798","1,487,130"
"Sep 23, 2017",1.32,1.49,1.19,1.38,"17,187","1,412,690"
"Sep 22, 2017",1.35,1.51,1.19,1.34,"26,687","1,445,290"
