Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004235,0.004256,0.004182,0.004242,11,-
"Dec 15, 2017",0.003207,0.004338,0.003199,0.004229,11,-
"Dec 14, 2017",0.003111,0.003242,0.003076,0.003193,3,-
"Dec 13, 2017",0.004492,0.004551,0.003028,0.003121,5,-
"Dec 12, 2017",0.004378,0.004617,0.004275,0.004488,1,-
"Dec 11, 2017",0.002946,0.004551,0.002909,0.004364,39,-
"Dec 10, 2017",0.004361,0.004361,0.003839,0.003958,2,-
"Dec 09, 2017",0.003249,0.004520,0.003074,0.004343,7,-
"Dec 08, 2017",0.003471,0.003523,0.002816,0.003208,71,-
"Dec 07, 2017",0.003022,0.003588,0.002983,0.003463,121,-
"Dec 06, 2017",0.003042,0.003385,0.002872,0.003027,124,-
"Dec 05, 2017",0.003031,0.003218,0.002988,0.003049,36,-
"Dec 04, 2017",0.002923,0.003805,0.002831,0.003025,144,-
"Dec 03, 2017",0.003280,0.003542,0.002864,0.002913,3,-
"Dec 02, 2017",0.003156,0.003314,0.002798,0.003276,41,-
"Dec 01, 2017",0.002898,0.003178,0.002744,0.003159,39,-
"Nov 30, 2017",0.002850,0.003100,0.002610,0.002912,6,-
"Nov 29, 2017",0.002978,0.003317,0.002637,0.002807,1,-
"Nov 28, 2017",0.002927,0.002994,0.002898,0.002981,84,-
"Nov 27, 2017",0.002878,0.003016,0.002845,0.002919,78,-
"Nov 26, 2017",0.002624,0.002668,0.002621,0.002647,14,-
"Nov 25, 2017",0.002463,0.002625,0.002459,0.002625,14,-
"Nov 24, 2017",0.002411,0.002502,0.002365,0.002462,19,-
"Nov 23, 2017",0.002887,0.002890,0.002414,0.002414,78,-
"Nov 21, 2017",0.003132,0.003139,0.002963,0.003131,12,-
"Nov 20, 2017",0.002815,0.003148,0.002782,0.003131,16,-
"Nov 19, 2017",0.002952,0.002965,0.002707,0.002816,4,-
"Nov 17, 2017",0.002589,0.002650,0.002497,0.002551,3,-
"Nov 16, 2017",0.002410,0.002641,0.002356,0.002593,8,-
"Nov 15, 2017",0.002380,0.002522,0.002355,0.002397,15,-
"Nov 14, 2017",0.002286,0.002391,0.002249,0.002379,11,-
"Nov 13, 2017",0.002055,0.002354,0.002039,0.002281,4,-
"Nov 12, 2017",0.002290,0.002307,0.001982,0.002052,19,-
"Nov 11, 2017",0.002367,0.002452,0.002243,0.002292,3,-
