Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.140658,0.178579,0.129135,0.173120,"4,068","1,028,250"
"Dec 15, 2017",0.126297,0.160644,0.120786,0.140434,"3,003","923,037"
"Dec 14, 2017",0.139884,0.142399,0.124632,0.126537,"2,276","1,022,070"
"Dec 13, 2017",0.140665,0.149332,0.123127,0.140419,"4,503","1,027,570"
"Dec 12, 2017",0.131977,0.196488,0.117125,0.140263,"5,916","963,860"
"Dec 11, 2017",0.103222,0.169149,0.102779,0.130349,"5,250","753,668"
"Dec 10, 2017",0.100547,0.126097,0.089435,0.103909,"1,304","733,959"
"Dec 09, 2017",0.140630,0.146684,0.091408,0.100697,"3,417","1,026,310"
"Dec 08, 2017",0.131927,0.163462,0.129786,0.147875,"2,055","962,549"
"Dec 07, 2017",0.134034,0.158009,0.112357,0.131991,"4,314","977,666"
"Dec 06, 2017",0.152325,0.167199,0.113128,0.133186,"1,977","1,110,800"
"Dec 05, 2017",0.111569,0.172956,0.103628,0.152940,"3,432","813,397"
"Dec 04, 2017",0.106920,0.111564,0.101703,0.111564,"2,181","779,314"
"Dec 03, 2017",0.105861,0.115083,0.099679,0.105483,"1,088","771,412"
"Dec 02, 2017",0.100299,0.107601,0.098439,0.105529,952,"730,738"
"Dec 01, 2017",0.097431,0.110728,0.085930,0.100384,"4,735","709,681"
"Nov 30, 2017",0.099999,0.107131,0.090672,0.094780,"1,697","728,204"
"Nov 29, 2017",0.095690,0.121823,0.086282,0.097054,"3,665","696,656"
"Nov 28, 2017",0.107573,0.108846,0.091000,0.094458,"2,386","782,985"
"Nov 27, 2017",0.122447,0.128584,0.094436,0.107341,"4,898","891,029"
"Nov 26, 2017",0.121814,0.131066,0.110252,0.124070,"4,161","886,200"
"Nov 25, 2017",0.121375,0.124972,0.111406,0.120871,"2,522","882,775"
"Nov 24, 2017",0.134301,0.138057,0.113533,0.121754,"1,290","976,532"
"Nov 23, 2017",0.127942,0.137356,0.111844,0.135484,"3,307","930,049"
"Nov 22, 2017",0.121966,0.132142,0.117064,0.128273,"2,425","886,373"
"Nov 21, 2017",0.130574,0.132183,0.119228,0.121745,"1,335","948,684"
"Nov 20, 2017",0.126888,0.133275,0.119208,0.131152,"1,508","921,662"
"Nov 19, 2017",0.126878,0.132919,0.120455,0.126649,"1,861","921,347"
"Nov 18, 2017",0.127926,0.129027,0.120732,0.128378,"1,591","928,714"
"Nov 17, 2017",0.129092,0.140765,0.123763,0.128075,"1,684","936,935"
"Nov 16, 2017",0.125725,0.139441,0.120078,0.125717,"1,961","912,275"
"Nov 15, 2017",0.126891,0.133576,0.114805,0.123902,"1,700","920,512"
"Nov 14, 2017",0.126803,0.133557,0.117702,0.125211,"1,806","919,631"
"Nov 13, 2017",0.094547,0.141741,0.092687,0.127239,"5,532","685,522"
"Nov 12, 2017",0.099383,0.110061,0.089532,0.094659,988,"720,400"
"Nov 11, 2017",0.081689,0.113985,0.081098,0.100049,"3,049","591,998"
"Nov 10, 2017",0.090139,0.093463,0.078469,0.082696,"1,076","653,070"
"Nov 09, 2017",0.093014,0.100903,0.084120,0.088156,"2,451","673,726"
"Nov 08, 2017",0.085759,0.099773,0.085240,0.092738,"2,606","621,018"
"Nov 07, 2017",0.088108,0.097292,0.084602,0.086046,"2,154","637,854"
"Nov 06, 2017",0.104066,0.104424,0.087751,0.088559,"2,704","753,186"
"Nov 05, 2017",0.111495,0.143860,0.099838,0.102818,"7,436","806,739"
"Nov 04, 2017",0.105852,0.143809,0.102647,0.111665,"7,870","765,705"
"Nov 03, 2017",0.098412,0.123401,0.097440,0.105468,"1,894","711,694"
"Nov 02, 2017",0.097964,0.111734,0.088746,0.098662,"10,270","708,272"
"Nov 01, 2017",0.080787,0.103424,0.079856,0.098134,"13,598","583,923"
"Oct 31, 2017",0.087058,0.156450,0.079967,0.080862,"22,657","629,082"
"Oct 30, 2017",0.079216,0.097731,0.077505,0.085732,"1,138","572,271"
"Oct 29, 2017",0.082575,0.083833,0.073364,0.079503,844,"596,379"
"Oct 28, 2017",0.079587,0.093944,0.065510,0.081372,942,"574,646"
"Oct 27, 2017",0.080578,0.082938,0.071139,0.077833,980,"581,647"
"Oct 26, 2017",0.063848,0.088129,0.063240,0.079553,"1,123","460,758"
"Oct 25, 2017",0.060409,0.070848,0.059264,0.063932,"1,678","435,826"
"Oct 24, 2017",0.067107,0.070464,0.062163,0.063805,974,"484,027"
"Oct 23, 2017",0.067951,0.071434,0.066134,0.067657,"1,057","489,985"
"Oct 22, 2017",0.081087,0.081328,0.062230,0.067766,"1,691","584,555"
"Oct 21, 2017",0.081455,0.082921,0.066385,0.081241,"1,440","587,054"
"Oct 20, 2017",0.074481,0.083579,0.073427,0.081679,908,"536,649"
"Oct 19, 2017",0.078944,0.088810,0.065377,0.074291,"2,554","568,652"
"Oct 18, 2017",0.084601,0.084804,0.072837,0.077909,"1,278","609,242"
"Oct 17, 2017",0.085159,0.090068,0.078703,0.085483,818,"613,098"
"Oct 16, 2017",0.082861,0.101906,0.078528,0.087670,"1,038","596,394"
"Oct 15, 2017",0.081083,0.083080,0.076393,0.083061,"1,090","583,441"
"Oct 14, 2017",0.094527,0.103636,0.072707,0.084702,"5,715","680,001"
"Oct 13, 2017",0.110335,0.116668,0.077648,0.094309,"1,689","793,513"
"Oct 12, 2017",0.096569,0.109471,0.083953,0.109471,"2,224","694,327"
"Oct 11, 2017",0.114364,0.118265,0.087490,0.096068,"1,251","822,057"
"Oct 10, 2017",0.094984,0.122177,0.094725,0.114516,"1,683","682,570"
"Oct 09, 2017",0.103131,0.104509,0.083991,0.095678,"1,965","740,926"
"Oct 08, 2017",0.101196,0.112311,0.088420,0.101397,"1,783","726,829"
"Oct 07, 2017",0.067281,0.126312,0.064424,0.092131,"1,277","483,112"
"Oct 06, 2017",0.076419,0.078462,0.062014,0.066575,"1,432","548,583"
"Oct 05, 2017",0.071354,0.078249,0.065257,0.076111,"1,035","512,090"
"Oct 04, 2017",0.067121,0.071750,0.064041,0.069237,"1,409","481,586"
"Oct 03, 2017",0.068419,0.069302,0.063502,0.066966,941,"490,764"
