Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.095225,0.104615,0.093717,0.099176,493,"1,601,950"
"Dec 15, 2017",0.099738,0.102859,0.093342,0.095111,"2,029","1,677,870"
"Dec 14, 2017",0.103303,0.107090,0.091765,0.099795,"2,236","1,737,830"
"Dec 13, 2017",0.115691,0.118972,0.095313,0.103434,745,"1,946,250"
"Dec 12, 2017",0.110417,0.126265,0.101608,0.115798,"4,287","1,857,510"
"Dec 11, 2017",0.083861,0.111460,0.083495,0.110493,34,"1,410,780"
"Dec 10, 2017",0.108612,0.110122,0.079060,0.084471,679,"1,827,160"
"Dec 09, 2017",0.105227,0.109638,0.078796,0.108298,567,"1,770,200"
"Dec 08, 2017",0.084526,0.105348,0.069562,0.105333,263,"1,421,950"
"Dec 07, 2017",0.109276,0.134328,0.090908,0.090908,"7,621","1,838,310"
"Dec 06, 2017",0.083206,0.109431,0.083067,0.109431,"4,381","1,399,750"
"Dec 05, 2017",0.081477,0.083652,0.064371,0.083196,"1,061","1,370,670"
"Dec 04, 2017",0.054523,0.081317,0.052808,0.081317,1,"917,219"
"Dec 03, 2017",0.063416,0.068301,0.053032,0.054343,28,"1,066,830"
"Dec 02, 2017",0.060348,0.065724,0.059861,0.063358,420,"1,015,230"
"Dec 01, 2017",0.060605,0.074846,0.059389,0.060186,"4,098","1,019,550"
"Nov 30, 2017",0.046524,0.064543,0.042939,0.060895,"3,497","782,663"
"Nov 29, 2017",0.063591,0.065651,0.044020,0.046244,"1,343","1,069,770"
"Nov 28, 2017",0.060634,0.063381,0.059627,0.063082,779,"1,020,030"
"Nov 27, 2017",0.063418,0.064211,0.058531,0.060619,326,"1,066,870"
"Nov 26, 2017",0.057790,0.064698,0.057421,0.063378,217,"972,189"
"Nov 25, 2017",0.049356,0.057773,0.048344,0.057767,"1,204","830,298"
"Nov 24, 2017",0.045116,0.049766,0.043959,0.049423,852,"758,975"
"Nov 23, 2017",0.045795,0.046209,0.045019,0.045046,14,"770,394"
"Nov 22, 2017",0.045682,0.054100,0.042612,0.045835,694,"768,502"
"Nov 21, 2017",0.047018,0.047117,0.038820,0.045572,"4,610","790,965"
"Nov 20, 2017",0.037447,0.048358,0.037447,0.047022,"2,811","629,964"
"Nov 19, 2017",0.040036,0.040297,0.035970,0.037465,704,"673,507"
"Nov 18, 2017",0.040339,0.047166,0.039291,0.040105,"2,580","678,607"
"Nov 17, 2017",0.044078,0.044366,0.040384,0.040384,43,"741,510"
"Nov 16, 2017",0.042742,0.045370,0.041839,0.043023,"1,918","719,033"
"Nov 15, 2017",0.043307,0.045602,0.040699,0.042701,621,"728,547"
"Nov 14, 2017",0.039581,0.043408,0.038005,0.043278,858,"665,854"
"Nov 13, 2017",0.031790,0.045241,0.030068,0.039507,"1,684","534,803"
"Nov 12, 2017",0.034776,0.035915,0.031259,0.031705,4,"585,031"
"Nov 11, 2017",0.039096,0.040758,0.023244,0.034795,237,"657,706"
"Nov 10, 2017",0.043512,0.044667,0.035835,0.039169,404,"731,994"
"Nov 09, 2017",0.035092,0.046223,0.034894,0.043284,"1,011","590,344"
"Nov 08, 2017",0.030794,0.037160,0.028882,0.035137,"1,612","518,045"
"Nov 07, 2017",0.027928,0.030943,0.027425,0.030943,130,"469,831"
"Nov 06, 2017",0.033344,0.040712,0.027783,0.027967,180,"560,938"
"Nov 05, 2017",0.037706,0.042284,0.032903,0.033270,40,"634,321"
"Nov 04, 2017",0.026535,0.049432,0.025125,0.037781,"3,605","446,385"
"Nov 03, 2017",0.024170,0.033441,0.023262,0.026631,"2,320","406,599"
"Nov 02, 2017",0.025448,0.026919,0.021559,0.023996,620,"428,108"
"Nov 01, 2017",0.027994,0.028047,0.025633,0.025863,500,"470,931"
"Oct 31, 2017",0.034316,0.034392,0.026991,0.028006,538,"577,285"
"Oct 30, 2017",0.025746,0.035288,0.025614,0.034360,357,"433,112"
"Oct 29, 2017",0.025325,0.026560,0.025094,0.025841,"2,921","426,032"
"Oct 28, 2017",0.026276,0.026771,0.025660,0.025779,0,"442,029"
"Oct 27, 2017",0.030217,0.030356,0.023858,0.026214,"1,282","508,335"
"Oct 26, 2017",0.033514,0.033578,0.029004,0.030293,648,"563,793"
"Oct 25, 2017",0.031838,0.033684,0.030437,0.033684,555,"535,609"
"Oct 24, 2017",0.046040,0.054801,0.031443,0.031725,"1,352","774,516"
"Oct 23, 2017",0.037819,0.051296,0.037259,0.046390,"3,705","636,226"
"Oct 22, 2017",0.039061,0.044043,0.036452,0.037879,761,"657,107"
