Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.179584,0.199225,0.176978,0.197663,58,"113,199"
"Dec 15, 2017",0.175251,0.216011,0.169894,0.179332,314,"110,468"
"Dec 14, 2017",0.158889,0.309170,0.157780,0.174988,640,"100,154"
"Dec 13, 2017",0.209010,0.228687,0.158276,0.159400,115,"131,748"
"Dec 12, 2017",0.157302,0.208835,0.155617,0.208835,117,"99,155"
"Dec 11, 2017",0.167326,0.299791,0.151287,0.156799,627,"105,473"
"Dec 10, 2017",0.145418,0.173316,0.128566,0.168543,599,"91,663"
"Dec 09, 2017",0.160307,0.162683,0.114662,0.144831,63,"101,049"
"Dec 08, 2017",0.170203,0.172741,0.134674,0.160469,935,"107,286"
"Dec 07, 2017",0.165175,0.173617,0.112692,0.169804,"1,860","104,117"
"Dec 06, 2017",0.172305,0.189207,0.130413,0.165460,519,"108,611"
"Dec 05, 2017",0.137312,0.173936,0.126423,0.172688,435,"86,554"
"Dec 04, 2017",0.140750,0.144362,0.132037,0.137042,73,"88,721"
"Dec 03, 2017",0.149575,0.156862,0.131950,0.140285,500,"94,284"
"Dec 02, 2017",0.171403,0.173480,0.135237,0.149432,103,"108,042"
"Dec 01, 2017",0.143394,0.171548,0.112692,0.171548,339,"90,387"
"Nov 30, 2017",0.132349,0.435721,0.090888,0.144108,"5,104","83,425"
"Nov 29, 2017",0.126406,0.158399,0.120149,0.130347,64,"79,679"
"Nov 28, 2017",0.127612,0.141452,0.124995,0.126532,34,"80,440"
"Nov 27, 2017",0.131286,0.136694,0.103470,0.127283,182,"82,755"
"Nov 26, 2017",0.110612,0.134074,0.110489,0.131261,5,"69,724"
"Nov 25, 2017",0.114677,0.124621,0.106951,0.110649,305,"72,286"
"Nov 24, 2017",0.100363,0.115836,0.098449,0.114909,415,"63,263"
"Nov 23, 2017",0.102979,0.103482,0.100500,0.100500,74,"64,912"
"Nov 22, 2017",0.101426,0.103913,0.100998,0.103012,52,"63,933"
"Nov 21, 2017",0.099580,0.104030,0.093968,0.101180,37,"62,770"
"Nov 20, 2017",0.090488,0.100105,0.089008,0.099562,15,"57,039"
"Nov 19, 2017",0.097570,0.098079,0.089715,0.090530,29,"61,503"
"Nov 18, 2017",0.096084,0.100185,0.093148,0.097751,38,"60,566"
"Nov 17, 2017",0.099000,0.101595,0.095153,0.096454,165,"62,404"
"Nov 16, 2017",0.092457,0.100994,0.090386,0.099162,29,"58,279"
"Nov 15, 2017",0.083309,0.097119,0.083309,0.091869,105,"52,513"
"Nov 14, 2017",0.094611,0.097918,0.080715,0.083252,70,"59,638"
"Nov 13, 2017",0.070445,0.100663,0.069159,0.094411,89,"44,405"
"Nov 12, 2017",0.081197,0.090637,0.067937,0.070343,76,"51,182"
"Nov 11, 2017",0.119370,0.170251,0.080414,0.081257,125,"75,244"
"Nov 10, 2017",0.076818,0.123301,0.076818,0.119796,1,"48,421"
"Nov 09, 2017",0.084232,0.084232,0.074970,0.076590,31,"53,095"
"Nov 08, 2017",0.073011,0.088467,0.072577,0.084319,4,"46,022"
"Nov 07, 2017",0.071786,0.073264,0.071786,0.073241,1,"45,250"
"Nov 06, 2017",0.075989,0.076325,0.073108,0.074706,226,"47,899"
"Nov 05, 2017",0.074183,0.078221,0.073767,0.075820,232,"46,761"
"Nov 04, 2017",0.093170,0.098145,0.091034,0.096728,18,"58,729"
"Nov 03, 2017",0.081681,0.109291,0.080771,0.093413,33,"51,487"
"Nov 02, 2017",0.102676,0.103856,0.079480,0.081788,2,"64,721"
"Nov 01, 2017",0.102933,0.104352,0.099585,0.102561,10,"64,883"
"Oct 31, 2017",0.070886,0.103008,0.070856,0.103008,15,"44,682"
"Oct 30, 2017",0.110876,0.111325,0.093470,0.094076,1,"69,890"
"Oct 29, 2017",0.106138,0.114690,0.091974,0.111523,19,"66,904"
"Oct 28, 2017",0.111182,0.111333,0.105126,0.106284,11,"70,083"
"Oct 27, 2017",0.090415,0.092096,0.087611,0.088789,13,"56,992"
"Oct 26, 2017",0.088137,0.090696,0.066216,0.090394,42,"55,557"
"Oct 25, 2017",0.083382,0.088305,0.081318,0.088148,4,"52,559"
"Oct 24, 2017",0.086940,0.087004,0.082606,0.083348,49,"54,802"
"Oct 23, 2017",0.087681,0.088871,0.062356,0.087018,68,"55,270"
"Oct 22, 2017",0.087766,0.088537,0.081446,0.087823,90,"55,323"
"Oct 21, 2017",0.073057,0.091930,0.072549,0.087739,779,"46,051"
"Oct 20, 2017",0.098960,0.133048,0.072493,0.073211,298,"62,379"
"Oct 19, 2017",0.102852,0.102852,0.087027,0.098933,3,"64,832"
"Oct 18, 2017",0.135167,0.135171,0.099315,0.102799,7,"85,202"
"Oct 17, 2017",0.138466,0.165341,0.134321,0.135158,43,"87,281"
"Oct 16, 2017",0.102098,0.139168,0.101870,0.138445,126,"64,357"
"Oct 15, 2017",0.121704,0.130060,0.098665,0.102084,2,"76,716"
"Oct 14, 2017",0.135340,0.136696,0.088475,0.121487,16,"85,311"
"Oct 13, 2017",0.129242,0.139607,0.109337,0.135304,1,"81,467"
"Oct 12, 2017",0.115540,0.159849,0.115243,0.128845,31,"72,830"
"Oct 11, 2017",0.138764,0.139342,0.113878,0.115442,1,"87,469"
"Oct 10, 2017",0.132649,0.144702,0.116036,0.138788,27,"83,615"
"Oct 09, 2017",0.131179,0.164088,0.130353,0.132659,107,"82,688"
"Oct 08, 2017",0.126110,0.131452,0.125656,0.131146,30,"79,492"
"Oct 07, 2017",0.129503,0.131369,0.122770,0.126448,1,"81,631"
"Oct 06, 2017",0.147424,0.156080,0.124111,0.129461,3,"92,928"
"Oct 05, 2017",0.114428,0.148881,0.103636,0.147424,240,"72,129"
"Oct 04, 2017",0.141902,0.154944,0.114253,0.114325,11,"89,447"
"Oct 03, 2017",0.144633,0.150227,0.139529,0.141574,7,"91,169"
"Oct 02, 2017",0.180378,0.181768,0.143816,0.144628,4,"113,700"
"Oct 01, 2017",0.303149,0.304524,0.146400,0.180457,123,"191,088"
"Sep 30, 2017",0.162333,0.302985,0.110286,0.302985,"1,077","102,325"
"Sep 29, 2017",0.144136,0.165735,0.134305,0.162312,436,"90,855"
"Sep 28, 2017",0.130272,0.174433,0.125513,0.144248,321,"82,116"
