Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000087,0.000111,0.000076,0.000092,952,-
"Dec 15, 2017",0.000162,0.000340,0.000065,0.000087,983,-
"Dec 14, 2017",0.000322,0.000322,0.000147,0.000162,"6,198",-
"Dec 13, 2017",0.000252,0.000329,0.000232,0.000323,"2,013",-
"Dec 12, 2017",0.000245,0.000272,0.000233,0.000252,361,-
"Dec 11, 2017",0.000198,0.000246,0.000198,0.000238,353,-
"Dec 10, 2017",0.000195,0.000241,0.000140,0.000202,502,-
"Dec 09, 2017",0.000272,0.000286,0.000185,0.000194,358,-
"Dec 08, 2017",0.000169,0.000273,0.000145,0.000272,884,-
"Dec 07, 2017",0.000144,0.000285,0.000142,0.000169,930,-
"Dec 06, 2017",0.000120,0.000253,0.000120,0.000144,716,-
"Dec 05, 2017",0.000118,0.000235,0.000116,0.000120,"2,637",-
"Dec 04, 2017",0.000115,0.000215,0.000112,0.000117,"1,072",-
"Dec 03, 2017",0.000217,0.000234,0.000112,0.000114,251,-
"Dec 02, 2017",0.000200,0.000220,0.000112,0.000217,"2,057",-
"Dec 01, 2017",0.000167,0.000201,0.000093,0.000201,296,-
"Nov 30, 2017",0.000196,0.000214,0.000096,0.000167,"1,579",-
"Nov 29, 2017",0.000198,0.000229,0.000101,0.000193,"1,054",-
"Nov 28, 2017",0.000195,0.000199,0.000098,0.000199,"1,729",-
"Nov 27, 2017",0.000185,0.000195,0.000100,0.000195,"2,111",-
"Nov 26, 2017",0.000088,0.000186,0.000088,0.000185,"3,344",-
"Nov 25, 2017",0.000100,0.000168,0.000086,0.000088,697,-
"Nov 24, 2017",0.000085,0.000153,0.000082,0.000101,395,-
"Nov 23, 2017",0.000164,0.000165,0.000083,0.000085,"1,180",-
"Nov 22, 2017",0.000160,0.000165,0.000085,0.000164,"2,222",-
"Nov 21, 2017",0.000095,0.000179,0.000084,0.000161,"2,144",-
"Nov 20, 2017",0.000164,0.000242,0.000081,0.000095,"9,010",-
"Nov 19, 2017",0.000311,0.000391,0.000158,0.000241,"17,449",-
"Nov 18, 2017",0.000102,0.000392,0.000078,0.000312,"390,696",-
"Nov 17, 2017",0.000157,0.000201,0.000101,0.000102,244,-
"Nov 16, 2017",0.000074,0.000160,0.000072,0.000157,"1,028",-
"Nov 15, 2017",0.000132,0.000138,0.000072,0.000073,48,-
"Nov 14, 2017",0.000065,0.000132,0.000065,0.000132,676,-
"Nov 13, 2017",0.000059,0.000131,0.000059,0.000065,"3,447",-
"Nov 12, 2017",0.000127,0.000129,0.000057,0.000059,"3,627",-
"Nov 11, 2017",0.000131,0.000201,0.000081,0.000128,280,-
"Nov 10, 2017",0.000140,0.000217,0.000129,0.000131,550,-
"Nov 09, 2017",0.000149,0.000211,0.000085,0.000140,514,-
"Nov 08, 2017",0.000083,0.000150,0.000076,0.000150,708,-
"Nov 07, 2017",0.000148,0.000213,0.000081,0.000083,468,-
"Nov 06, 2017",0.000148,0.000153,0.000072,0.000148,462,-
"Nov 05, 2017",0.000126,0.000228,0.000125,0.000148,"1,038",-
"Nov 04, 2017",0.000072,0.000147,0.000070,0.000126,"3,619",-
"Nov 03, 2017",0.000071,0.000142,0.000070,0.000072,"1,039",-
"Nov 02, 2017",0.000134,0.000145,0.000070,0.000071,266,-
"Nov 01, 2017",0.000117,0.000135,0.000068,0.000134,791,-
"Oct 31, 2017",0.000123,0.000192,0.000114,0.000117,"2,632",-
"Oct 30, 2017",0.000161,0.000161,0.000122,0.000123,388,-
"Oct 29, 2017",0.000172,0.000230,0.000148,0.000162,"4,438",-
"Oct 28, 2017",0.000173,0.000176,0.000148,0.000172,774,-
"Oct 27, 2017",0.000187,0.000237,0.000167,0.000173,"2,244",-
"Oct 26, 2017",0.000171,0.000239,0.000155,0.000187,"1,553",-
"Oct 25, 2017",0.000167,0.000214,0.000161,0.000171,"2,202",-
"Oct 24, 2017",0.000164,0.000179,0.000125,0.000166,"1,181",-
"Oct 23, 2017",0.000180,0.000183,0.000116,0.000165,"1,207",-
"Oct 22, 2017",0.000180,0.000213,0.000121,0.000180,"6,123",-
"Oct 21, 2017",0.000184,0.000246,0.000180,0.000180,"1,494",-
"Oct 20, 2017",0.000228,0.000286,0.000179,0.000185,"9,776",-
"Oct 19, 2017",0.000335,0.000335,0.000225,0.000228,"25,856",-
"Oct 18, 2017",0.000280,0.000538,0.000163,0.000279,"275,498",-
"Oct 17, 2017",0.000232,0.000280,0.000222,0.000280,"1,329",-
"Oct 16, 2017",0.000284,0.000286,0.000223,0.000231,"1,367",-
"Oct 15, 2017",0.000234,0.000290,0.000219,0.000284,136,-
"Oct 14, 2017",0.000283,0.000336,0.000228,0.000234,"1,688",-
"Oct 13, 2017",0.000325,0.000350,0.000226,0.000283,"2,447",-
"Oct 12, 2017",0.000244,0.000324,0.000212,0.000324,"2,638",-
"Oct 11, 2017",0.000239,0.000307,0.000237,0.000244,"3,009",-
"Oct 10, 2017",0.000335,0.000340,0.000238,0.000239,"12,900",-
"Oct 09, 2017",0.000414,0.000416,0.000283,0.000335,"5,281",-
"Oct 08, 2017",0.000489,0.000491,0.000357,0.000414,"83,546",-
"Oct 07, 2017",0.000264,0.000608,0.000263,0.000490,"122,848",-
"Oct 06, 2017",0.000390,0.000435,0.000263,0.000263,"49,027",-
"Oct 05, 2017",0.000338,0.001014,0.000337,0.000390,"156,248",-
"Oct 04, 2017",0.000259,0.000464,0.000211,0.000338,"251,091",-
