Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.266094,0.428849,0.207504,0.302505,"45,565","1,474,750"
"Dec 15, 2017",0.496054,0.511369,0.175174,0.265805,"60,399","2,732,640"
"Dec 14, 2017",0.083187,0.496901,0.082607,0.496399,"70,326",-
"Dec 13, 2017",0.086380,0.109189,0.079037,0.083455,"12,937",-
"Dec 12, 2017",0.075765,0.095769,0.074482,0.086308,"3,693",-
"Dec 11, 2017",0.062513,0.108352,0.057995,0.075523,"11,166",-
"Dec 10, 2017",0.060300,0.095997,0.054391,0.062967,"4,784",-
"Dec 09, 2017",0.052207,0.094303,0.050967,0.060057,"7,112",-
"Dec 08, 2017",0.069248,0.072469,0.042246,0.052260,"2,756",-
"Dec 07, 2017",0.054943,0.090399,0.040816,0.069085,"9,394",-
"Dec 06, 2017",0.069349,0.074819,0.054161,0.055038,"10,622",-
