Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002191,0.003143,0.001898,0.002649,"4,081",-
"Dec 15, 2017",0.002070,0.003116,0.002069,0.002188,"4,138",-
"Dec 14, 2017",0.002135,0.002869,0.001735,0.002067,"2,083",-
"Dec 13, 2017",0.001980,0.002493,0.001738,0.002140,"3,548",-
"Dec 12, 2017",0.002404,0.002731,0.001437,0.001978,"6,564",-
"Dec 11, 2017",0.002852,0.003308,0.002114,0.002658,"4,049",-
"Dec 10, 2017",0.002990,0.003248,0.002230,0.002871,"4,235",-
"Dec 09, 2017",0.002562,0.003154,0.002188,0.002979,"8,775",-
"Dec 08, 2017",0.003601,0.003791,0.002368,0.002571,"3,781",-
"Dec 07, 2017",0.003203,0.003584,0.002616,0.003584,"7,386",-
"Dec 06, 2017",0.002601,0.003395,0.002444,0.003224,"10,044",-
"Dec 05, 2017",0.002799,0.002843,0.002352,0.002607,"5,573",-
"Dec 04, 2017",0.002339,0.002872,0.001816,0.002794,"14,273",-
"Dec 03, 2017",0.002171,0.002679,0.002003,0.002334,"6,049",-
"Dec 02, 2017",0.002481,0.002942,0.002169,0.002169,"6,570",-
"Dec 01, 2017",0.001954,0.002686,0.001564,0.002482,"6,944",-
"Nov 30, 2017",0.001871,0.002255,0.001618,0.001961,"2,968",-
"Nov 29, 2017",0.002810,0.002901,0.001592,0.001845,"4,316",-
"Nov 28, 2017",0.002701,0.002867,0.002150,0.002816,"6,165",-
"Nov 27, 2017",0.002464,0.003174,0.002326,0.002711,"10,574",-
"Nov 26, 2017",0.002980,0.003752,0.002387,0.002465,"12,845",-
"Nov 25, 2017",0.002386,0.003497,0.002010,0.002981,"41,811",-
"Nov 24, 2017",0.001016,0.002442,0.000984,0.002389,"14,943",-
"Nov 23, 2017",0.001457,0.001462,0.000784,0.001019,"11,445",-
"Nov 22, 2017",0.001451,0.001591,0.001164,0.001416,"11,130",-
"Nov 21, 2017",0.001896,0.001928,0.001338,0.001507,"19,972",-
"Nov 20, 2017",0.002601,0.002886,0.001602,0.001977,"47,335",-
"Nov 19, 2017",0.003795,0.003832,0.002295,0.002781,"188,732",-
"Nov 18, 2017",0.002798,0.005906,0.002239,0.003947,"536,596",-
"Nov 17, 2017",0.031022,0.036087,0.002449,0.002813,"586,619",-
"Nov 16, 2017",0.046450,0.053108,0.018133,0.030899,"631,014",-
"Nov 15, 2017",0.057252,0.092940,0.030664,0.046320,"801,984",-
"Nov 14, 2017",0.019727,0.061734,0.019365,0.059556,"338,385",-
"Nov 13, 2017",0.009267,0.031149,0.009267,0.019695,"118,674",-
