Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003000,0.003615,0.001784,0.002726,"2,363","117,837"
"Dec 15, 2017",0.002986,0.003424,0.002963,0.002996,649,"116,744"
"Dec 14, 2017",0.003439,0.003489,0.002598,0.002981,745,"134,012"
"Dec 13, 2017",0.002246,0.003483,0.001811,0.003450,"2,500","87,047"
"Dec 12, 2017",0.002357,0.003006,0.002006,0.002244,586,"90,906"
"Dec 11, 2017",0.002897,0.003186,0.002350,0.002350,285,"111,236"
"Dec 10, 2017",0.002857,0.002973,0.002148,0.002918,291,"109,118"
"Dec 09, 2017",0.003741,0.003796,0.002167,0.002846,882,"142,298"
"Dec 08, 2017",0.003992,0.004051,0.002394,0.003744,"1,160","151,241"
"Dec 07, 2017",0.002885,0.004212,0.002712,0.003982,"1,462","109,031"
"Dec 06, 2017",0.002574,0.004916,0.002574,0.003165,"14,543","96,628"
"Dec 05, 2017",0.001865,0.003305,0.001839,0.002580,"2,107","69,771"
"Dec 04, 2017",0.002136,0.002318,0.001845,0.001861,601,"79,554"
"Dec 03, 2017",0.001968,0.002357,0.001839,0.002129,382,"72,994"
"Dec 02, 2017",0.001850,0.002319,0.001502,0.001966,"1,642","68,302"
"Dec 01, 2017",0.001599,0.001863,0.000978,0.001852,224,"58,727"
"Nov 30, 2017",0.000983,0.001614,0.000810,0.001607,357,"35,929"
"Nov 29, 2017",0.001191,0.001848,0.000948,0.000968,159,"43,294"
"Nov 28, 2017",0.001073,0.001397,0.001063,0.001193,128,"38,811"
"Nov 27, 2017",0.001491,0.001557,0.001036,0.001070,51,"53,677"
"Nov 26, 2017",0.001399,0.001522,0.001398,0.001491,553,"50,075"
"Nov 25, 2017",0.001314,0.001400,0.001061,0.001400,376,"46,748"
"Nov 24, 2017",0.000884,0.001326,0.000867,0.001316,112,"31,307"
"Nov 23, 2017",0.001069,0.001475,0.000885,0.000885,110,"37,741"
"Nov 22, 2017",0.001217,0.001245,0.001069,0.001070,366,"42,743"
"Nov 21, 2017",0.001483,0.001640,0.001197,0.001214,224,"51,882"
"Nov 20, 2017",0.001367,0.001491,0.001227,0.001483,124,"47,541"
"Nov 19, 2017",0.001168,0.001691,0.001154,0.001368,600,"40,257"
"Nov 18, 2017",0.001307,0.001639,0.001148,0.001170,282,"44,892"
"Nov 17, 2017",0.001255,0.001342,0.001135,0.001312,40,"42,833"
"Nov 16, 2017",0.001168,0.001718,0.001142,0.001257,590,"39,604"
