Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001936,0.002449,0.001904,0.002173,742,"617,295"
"Dec 15, 2017",0.002131,0.002323,0.001881,0.001933,"2,070","679,702"
"Dec 14, 2017",0.001468,0.002162,0.001456,0.002128,"3,119","468,062"
"Dec 13, 2017",0.001591,0.001712,0.001432,0.001471,357,"507,491"
"Dec 12, 2017",0.001554,0.002591,0.001348,0.001588,412,"495,617"
"Dec 11, 2017",0.001377,0.001723,0.001371,0.001550,288,"439,109"
"Dec 10, 2017",0.001501,0.001527,0.000943,0.001386,350,"478,519"
"Dec 09, 2017",0.001307,0.001576,0.000963,0.001495,"2,842","416,684"
"Dec 08, 2017",0.001390,0.001542,0.001139,0.001308,240,"443,003"
"Dec 07, 2017",0.001373,0.001754,0.001100,0.001387,781,"437,444"
"Dec 06, 2017",0.001084,0.001574,0.001084,0.001372,718,"345,314"
"Dec 05, 2017",0.001150,0.001396,0.001052,0.001088,220,"366,268"
"Dec 04, 2017",0.000679,0.001369,0.000678,0.001148,"1,480","216,206"
"Dec 03, 2017",0.000975,0.000981,0.000640,0.000677,"1,306","310,546"
"Dec 02, 2017",0.000871,0.000985,0.000753,0.000974,145,"277,273"
"Dec 01, 2017",0.000809,0.000956,0.000765,0.000872,140,"257,523"
"Nov 30, 2017",0.000773,0.000917,0.000720,0.000813,53,"245,847"
"Nov 29, 2017",0.000786,0.000909,0.000705,0.000761,"1,244","250,092"
"Nov 28, 2017",0.000773,0.000855,0.000741,0.000785,221,"245,810"
"Nov 27, 2017",0.000745,0.000870,0.000745,0.000771,72,"237,061"
"Nov 26, 2017",0.000756,0.000761,0.000704,0.000745,466,"240,467"
"Nov 25, 2017",0.000759,0.000768,0.000675,0.000757,28,"241,449"
"Nov 24, 2017",0.000681,0.000885,0.000631,0.000761,18,"216,359"
"Nov 23, 2017",0.000740,0.000830,0.000686,0.000686,122,"235,113"
"Nov 22, 2017",0.000732,0.000757,0.000654,0.000742,318,"232,735"
"Nov 21, 2017",0.000742,0.000825,0.000702,0.000731,36,"235,607"
"Nov 20, 2017",0.000724,0.000910,0.000715,0.000741,184,"229,893"
"Nov 19, 2017",0.000771,0.000891,0.000693,0.000724,147,"244,878"
"Nov 18, 2017",0.000769,0.000844,0.000689,0.000771,30,"244,088"
"Nov 17, 2017",0.000772,0.000788,0.000741,0.000772,47,"244,983"
"Nov 16, 2017",0.000729,0.000848,0.000711,0.000773,192,"231,528"
"Nov 15, 2017",0.000986,0.001034,0.000720,0.000725,306,"312,801"
"Nov 14, 2017",0.000565,0.001033,0.000544,0.000985,603,"179,167"
"Nov 13, 2017",0.000528,0.000646,0.000524,0.000564,36,"167,451"
"Nov 12, 2017",0.000510,0.000613,0.000499,0.000527,119,"161,837"
"Nov 11, 2017",0.000504,0.000605,0.000500,0.000511,78,"159,905"
"Nov 10, 2017",0.000578,0.000611,0.000486,0.000506,208,"183,257"
"Nov 09, 2017",0.000753,0.000753,0.000575,0.000576,42,"238,620"
"Nov 08, 2017",0.000573,0.000754,0.000570,0.000754,19,"181,716"
"Nov 07, 2017",0.000557,0.000646,0.000557,0.000575,159,"176,630"
"Nov 06, 2017",0.000593,0.000650,0.000556,0.000558,151,"187,692"
"Nov 05, 2017",0.000656,0.000661,0.000586,0.000591,20,"207,799"
"Nov 04, 2017",0.000558,0.000673,0.000546,0.000657,185,"176,595"
"Nov 03, 2017",0.000561,0.000611,0.000520,0.000558,184,"177,706"
"Nov 02, 2017",0.000537,0.000652,0.000537,0.000562,40,"170,068"
"Nov 01, 2017",0.000515,0.000580,0.000508,0.000537,160,"162,955"
"Oct 31, 2017",0.000471,0.000515,0.000409,0.000515,178,"149,137"
"Oct 30, 2017",0.000449,0.000496,0.000446,0.000473,320,"142,007"
"Oct 29, 2017",0.000454,0.000506,0.000418,0.000451,79,"143,492"
"Oct 28, 2017",0.000490,0.000490,0.000450,0.000455,32,"155,006"
"Oct 27, 2017",0.000523,0.000579,0.000463,0.000489,12,"165,484"
"Oct 26, 2017",0.000444,0.000529,0.000440,0.000529,20,"140,254"
"Oct 25, 2017",0.000440,0.000445,0.000409,0.000444,18,"139,027"
"Oct 24, 2017",0.000484,0.000558,0.000436,0.000438,31,"153,059"
"Oct 23, 2017",0.000520,0.000528,0.000441,0.000486,50,"164,441"
"Oct 22, 2017",0.000473,0.000522,0.000343,0.000521,103,"149,292"
"Oct 21, 2017",0.000385,0.000465,0.000382,0.000449,80,"121,550"
"Oct 20, 2017",0.000452,0.000474,0.000415,0.000460,17,"142,813"
"Oct 19, 2017",0.000442,0.000500,0.000430,0.000452,8,"139,631"
"Oct 18, 2017",0.000448,0.000448,0.000407,0.000442,68,"141,399"
"Oct 17, 2017",0.000426,0.000449,0.000419,0.000448,25,"134,460"
"Oct 16, 2017",0.000441,0.000560,0.000387,0.000426,27,"139,227"
"Oct 15, 2017",0.000474,0.000572,0.000387,0.000441,57,"149,677"
"Oct 14, 2017",0.000543,0.000599,0.000463,0.000474,29,"171,398"
"Oct 13, 2017",0.000446,0.000553,0.000443,0.000543,107,"140,718"
"Oct 12, 2017",0.000473,0.000473,0.000341,0.000445,66,"140,858"
"Oct 11, 2017",0.000372,0.000473,0.000348,0.000472,89,"110,670"
"Oct 10, 2017",0.000381,0.000425,0.000370,0.000372,31,"113,578"
"Oct 09, 2017",0.000333,0.000414,0.000333,0.000381,170,"99,296"
"Oct 08, 2017",0.000334,0.000350,0.000329,0.000343,19,"99,386"
"Oct 07, 2017",0.000347,0.000389,0.000329,0.000356,17,"103,276"
"Oct 06, 2017",0.000641,0.001344,0.000345,0.000347,234,"190,894"
"Oct 05, 2017",0.000326,0.000647,0.000326,0.000641,27,"97,173"
"Oct 04, 2017",0.000332,0.000337,0.000301,0.000326,16,"99,024"
"Oct 03, 2017",0.000311,0.000335,0.000311,0.000331,28,"92,728"
"Oct 02, 2017",0.000352,0.000354,0.000310,0.000311,29,"104,815"
"Oct 01, 2017",0.000314,0.000379,0.000294,0.000352,69,"93,680"
"Sep 30, 2017",0.000353,0.000354,0.000289,0.000314,12,"105,136"
"Sep 29, 2017",0.000334,0.000372,0.000318,0.000353,22,"99,489"
"Sep 28, 2017",0.000377,0.000384,0.000330,0.000334,198,"112,236"
"Sep 27, 2017",0.000360,0.000418,0.000346,0.000377,33,"107,163"
"Sep 26, 2017",0.000400,0.000406,0.000357,0.000360,33,"119,044"
"Sep 25, 2017",0.000366,0.000404,0.000338,0.000396,28,"109,093"
"Sep 24, 2017",0.000341,0.000369,0.000322,0.000367,42,"101,464"
"Sep 23, 2017",0.000334,0.000372,0.000333,0.000341,30,"99,520"
"Sep 22, 2017",0.000352,0.000369,0.000331,0.000335,20,"104,886"
"Sep 21, 2017",0.000389,0.000420,0.000341,0.000352,34,"115,773"
"Sep 20, 2017",0.000420,0.000445,0.000390,0.000391,72,"124,975"
"Sep 19, 2017",0.000357,0.000457,0.000329,0.000420,98,"106,397"
"Sep 18, 2017",0.000374,0.000416,0.000313,0.000356,207,"111,497"
"Sep 17, 2017",0.000330,0.002034,0.000129,0.000375,"5,393","98,447"
"Sep 16, 2017",0.000261,0.000334,0.000250,0.000331,515,"77,730"
"Sep 15, 2017",0.000228,0.000306,0.000227,0.000262,118,"67,781"
"Sep 14, 2017",0.000333,0.000407,0.000226,0.000226,280,"99,317"
"Sep 13, 2017",0.000382,0.000383,0.000327,0.000333,42,"113,701"
"Sep 12, 2017",0.000380,0.000434,0.000376,0.000383,13,"113,176"
"Sep 11, 2017",0.000407,0.000419,0.000359,0.000380,12,"121,346"
"Sep 10, 2017",0.000433,0.000433,0.000397,0.000408,65,"128,979"
"Sep 09, 2017",0.000412,0.000475,0.000398,0.000434,8,"122,773"
"Sep 08, 2017",0.000463,0.000464,0.000389,0.000411,38,"138,001"
"Sep 07, 2017",0.000461,0.000498,0.000450,0.000463,23,"137,288"
"Sep 06, 2017",0.000441,0.000504,0.000436,0.000462,87,"131,367"
"Sep 05, 2017",0.000431,0.000489,0.000406,0.000440,36,"128,243"
"Sep 04, 2017",0.000464,0.000488,0.000416,0.000428,133,"138,142"
"Sep 03, 2017",0.000506,0.000520,0.000443,0.000464,22,"150,676"
"Sep 02, 2017",0.000490,0.000546,0.000447,0.000505,54,"146,104"
"Sep 01, 2017",0.000474,0.000490,0.000468,0.000490,67,"141,121"
"Aug 31, 2017",0.000501,0.000507,0.000460,0.000474,92,"149,277"
"Aug 30, 2017",0.000413,0.000549,0.000412,0.000502,321,"123,050"
"Aug 29, 2017",0.000436,0.000469,0.000385,0.000414,109,"129,808"
"Aug 28, 2017",0.000364,0.000512,0.000361,0.000435,179,"108,527"
"Aug 27, 2017",0.000392,0.000429,0.000365,0.000366,16,"116,696"
"Aug 26, 2017",0.000383,0.000451,0.000378,0.000392,9,"113,969"
"Aug 25, 2017",0.000418,0.000453,0.000378,0.000382,55,"124,390"
"Aug 24, 2017",0.000454,0.000457,0.000384,0.000418,46,"135,382"
"Aug 23, 2017",0.000329,0.000456,0.000328,0.000454,168,"97,953"
"Aug 22, 2017",0.000360,0.000398,0.000293,0.000329,119,"107,288"
"Aug 21, 2017",0.000314,0.000437,0.000310,0.000359,169,"93,547"
"Aug 20, 2017",0.000367,0.000371,0.000298,0.000315,49,"109,436"
"Aug 19, 2017",0.000706,0.000707,0.000315,0.000369,91,"210,193"
"Aug 18, 2017",0.000475,0.000695,0.000366,0.000695,107,"141,445"
"Aug 17, 2017",0.000524,0.000582,0.000376,0.000476,173,"156,057"
"Aug 16, 2017",0.000524,0.000529,0.000438,0.000524,60,"156,006"
"Aug 15, 2017",0.000524,0.000570,0.000430,0.000523,31,"156,235"
"Aug 14, 2017",0.000580,0.000608,0.000339,0.000523,850,"172,836"
"Aug 13, 2017",0.000692,0.000749,0.000426,0.000580,266,"206,175"
"Aug 12, 2017",0.000590,0.000724,0.000559,0.000693,45,"175,757"
"Aug 11, 2017",0.000683,0.000686,0.000462,0.000590,113,"203,536"
"Aug 10, 2017",0.000774,0.000774,0.000445,0.000683,606,"230,543"
"Aug 09, 2017",0.000515,0.000832,0.000393,0.000774,121,"153,360"
"Aug 08, 2017",0.000569,0.000754,0.000485,0.000485,288,"169,498"
"Aug 07, 2017",0.000607,0.000609,0.000485,0.000568,35,"180,915"
"Aug 06, 2017",0.000896,0.000902,0.000491,0.000609,123,"266,805"
"Aug 05, 2017",0.000428,0.001141,0.000428,0.000895,108,"127,585"
"Aug 04, 2017",0.000473,0.000544,0.000424,0.000428,88,"140,927"
"Aug 03, 2017",0.000460,0.000815,0.000459,0.000473,184,"136,963"
"Aug 02, 2017",0.000480,0.000487,0.000429,0.000459,479,"142,957"
