Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.421916,0.496076,0.403973,0.471918,"1,627,990","10,551,800"
"Dec 15, 2017",0.424528,0.437096,0.389279,0.419090,"1,427,550","10,617,100"
"Dec 14, 2017",0.341375,0.464340,0.340697,0.423654,"1,558,350","8,537,530"
"Dec 13, 2017",0.345342,0.371745,0.317033,0.341661,"1,059,990","8,636,750"
"Dec 12, 2017",0.392150,0.398094,0.325607,0.346092,"1,879,010","9,807,370"
"Dec 11, 2017",0.379026,0.393766,0.353414,0.392442,"1,431,820","9,479,160"
"Dec 10, 2017",0.383917,0.400734,0.344533,0.378137,"1,748,910","9,601,470"
"Dec 09, 2017",0.397672,0.421990,0.362043,0.382338,"1,901,020","9,945,470"
"Dec 08, 2017",0.400696,0.418454,0.347701,0.398015,"2,412,080","10,021,100"
"Dec 07, 2017",0.459295,0.479616,0.371319,0.398126,"2,269,750","11,486,600"
"Dec 06, 2017",0.472183,0.567721,0.412475,0.447660,"3,028,650","11,808,900"
"Dec 05, 2017",0.409988,0.605375,0.403210,0.490622,"3,551,080","10,253,500"
"Dec 04, 2017",0.423730,0.425860,0.388521,0.408078,"1,772,540","10,597,200"
"Dec 03, 2017",0.385093,0.432735,0.384666,0.422333,"1,660,910","9,630,900"
"Dec 02, 2017",0.378517,0.396951,0.369278,0.385131,"1,562,420","9,466,420"
"Dec 01, 2017",0.372714,0.392300,0.344664,0.378722,"1,734,810","9,321,290"
"Nov 30, 2017",0.361905,0.408473,0.330401,0.376162,"1,794,140","9,050,970"
"Nov 29, 2017",0.404452,0.449023,0.348316,0.356581,"1,827,680","10,115,000"
"Nov 28, 2017",0.425153,0.450576,0.392556,0.405203,"2,046,380","10,632,700"
"Nov 27, 2017",0.394948,0.425358,0.390583,0.425358,"1,580,380","9,877,360"
"Nov 26, 2017",0.395772,0.398472,0.380763,0.394866,"396,785","9,897,960"
"Nov 25, 2017",0.386349,0.416387,0.377853,0.396521,"373,554","9,662,300"
"Nov 24, 2017",0.345305,0.393648,0.332944,0.385396,"336,635","8,635,810"
"Nov 23, 2017",0.388075,0.399832,0.340761,0.346483,"306,313","9,705,460"
"Nov 22, 2017",0.361107,0.384423,0.354929,0.384423,"271,539","9,031,010"
"Nov 21, 2017",0.347451,0.373374,0.322416,0.364614,"263,344","8,689,480"
"Nov 20, 2017",0.346033,0.354012,0.341522,0.347720,"254,965","8,654,030"
"Nov 19, 2017",0.343162,0.362587,0.340292,0.346311,"232,211","8,582,230"
"Nov 18, 2017",0.354310,0.370079,0.329992,0.343931,"258,101","8,861,040"
"Nov 17, 2017",0.371127,0.374741,0.327458,0.354722,"247,625","9,281,600"
"Nov 16, 2017",0.376269,0.396881,0.368833,0.371304,"277,414","9,410,210"
"Nov 15, 2017",0.389897,0.398905,0.367562,0.378083,"250,880","9,751,020"
"Nov 14, 2017",0.403918,0.406758,0.377679,0.390029,"191,060","10,101,700"
"Nov 13, 2017",0.356714,0.404566,0.356714,0.404043,"185,607","8,921,150"
"Nov 12, 2017",0.423447,0.423447,0.355920,0.356079,"249,628","10,590,100"
"Nov 11, 2017",0.396139,0.434819,0.395426,0.423632,"201,275","9,907,150"
"Nov 10, 2017",0.487015,0.499871,0.394054,0.397266,"256,322","12,179,900"
"Nov 09, 2017",0.461325,0.504131,0.449650,0.486534,"327,902","11,537,400"
"Nov 08, 2017",0.468960,0.517149,0.457910,0.463426,"262,255","11,728,300"
"Nov 07, 2017",0.477146,0.502987,0.433630,0.454047,"236,995","11,933,100"
"Nov 06, 2017",0.434305,0.544748,0.425187,0.477341,"415,924","10,861,600"
"Nov 05, 2017",0.398174,0.447675,0.395725,0.435204,"385,359","9,958,040"
"Nov 04, 2017",0.392477,0.403671,0.381925,0.397992,"249,096","9,815,550"
"Nov 03, 2017",0.369264,0.395368,0.363966,0.389485,"252,158","9,235,000"
"Nov 02, 2017",0.383900,0.393743,0.363435,0.367885,"236,816","9,601,060"
"Nov 01, 2017",0.407185,0.412565,0.371496,0.383380,"244,375","10,183,400"
"Oct 31, 2017",0.422681,0.432325,0.407941,0.413169,"226,686","10,570,900"
"Oct 30, 2017",0.401915,0.446960,0.398055,0.424260,"253,604","10,051,600"
"Oct 29, 2017",0.379708,0.412678,0.378350,0.405592,"227,046","9,496,210"
"Oct 28, 2017",0.389576,0.392772,0.370713,0.380385,"186,877","9,743,000"
"Oct 27, 2017",0.385635,0.405970,0.373962,0.388880,"374,480","9,644,440"
"Oct 26, 2017",0.386749,0.408057,0.384122,0.385723,"203,559","9,672,290"
"Oct 25, 2017",0.409979,0.409979,0.383064,0.387375,"173,513","10,253,300"
"Oct 24, 2017",0.397253,0.429344,0.389417,0.409731,"244,381","9,935,010"
"Oct 23, 2017",0.418067,0.422640,0.393980,0.398039,"228,620","10,455,500"
"Oct 22, 2017",0.401626,0.424896,0.401626,0.413930,"216,763","10,044,400"
"Oct 21, 2017",0.405885,0.412761,0.389102,0.402694,"216,822","10,150,900"
"Oct 20, 2017",0.410157,0.429522,0.398472,0.414203,"219,984","10,257,700"
"Oct 19, 2017",0.415662,0.434507,0.403362,0.410360,"205,924","10,395,400"
"Oct 18, 2017",0.434389,0.434720,0.371503,0.415780,"224,472","10,863,700"
"Oct 17, 2017",0.456323,0.459248,0.430459,0.435234,"239,782","11,412,300"
