Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006200,0.007808,0.006164,0.006944,"1,557","313,956"
"Dec 15, 2017",0.007354,0.008211,0.006014,0.006192,630,"372,366"
"Dec 14, 2017",0.005212,0.007688,0.004847,0.007339,557,"262,794"
"Dec 13, 2017",0.006844,0.006906,0.005174,0.005213,132,"345,052"
"Dec 12, 2017",0.006575,0.007345,0.004780,0.006835,409,"331,523"
"Dec 11, 2017",0.005479,0.007102,0.005456,0.006532,959,"276,250"
"Dec 10, 2017",0.006782,0.006782,0.005149,0.005517,850,"341,959"
"Dec 09, 2017",0.009153,0.012391,0.006727,0.006759,371,"461,508"
"Dec 08, 2017",0.007247,0.010231,0.004866,0.009163,233,"365,390"
"Dec 07, 2017",0.005920,0.011134,0.005845,0.007323,"1,431","298,496"
"Dec 06, 2017",0.005067,0.006803,0.005067,0.005928,241,"255,297"
"Dec 05, 2017",0.004781,0.007373,0.004095,0.005078,"1,177","240,830"
"Dec 04, 2017",0.004601,0.005375,0.004596,0.004772,77,"231,737"
"Dec 03, 2017",0.004499,0.005561,0.004215,0.004586,596,"226,577"
"Dec 02, 2017",0.004536,0.005476,0.004017,0.004491,40,"228,378"
"Dec 01, 2017",0.004860,0.004914,0.003573,0.004540,116,"244,663"
"Nov 30, 2017",0.004192,0.006615,0.003747,0.004884,769,"210,975"
"Nov 29, 2017",0.004010,0.006614,0.003876,0.004129,430,"201,773"
"Nov 28, 2017",0.003733,0.004226,0.003697,0.003985,65,"187,769"
"Nov 27, 2017",0.003651,0.004016,0.003488,0.003724,195,"183,590"
"Nov 26, 2017",0.003085,0.003779,0.003053,0.003648,147,"155,084"
"Nov 25, 2017",0.002997,0.003132,0.002770,0.003083,11,"150,639"
"Nov 24, 2017",0.003644,0.003829,0.002771,0.003014,57,"183,099"
"Nov 23, 2017",0.003288,0.004187,0.002529,0.003660,619,"165,177"
"Nov 22, 2017",0.004743,0.004954,0.003254,0.003292,455,"238,224"
"Nov 21, 2017",0.003281,0.005436,0.003272,0.004738,937,"164,723"
"Nov 20, 2017",0.002241,0.004515,0.002146,0.003280,"2,232","112,503"
"Nov 19, 2017",0.002105,0.002267,0.002081,0.002241,29,"105,644"
"Nov 18, 2017",0.002083,0.002255,0.002036,0.002108,130,"104,525"
"Nov 17, 2017",0.002268,0.002270,0.002065,0.002091,211,"113,704"
"Nov 16, 2017",0.002034,0.002293,0.001992,0.002272,234,"101,932"
"Nov 15, 2017",0.001782,0.002047,0.001782,0.002023,44,"89,276"
