Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.058505,0.177529,0.052986,0.169514,248,"885,998"
"Dec 15, 2017",0.072054,0.075492,0.043595,0.058476,714,"1,091,180"
"Dec 14, 2017",0.114510,0.117946,0.062821,0.071906,217,"1,734,120"
"Dec 13, 2017",0.083061,0.127906,0.061841,0.113118,"1,364","1,257,870"
"Dec 12, 2017",0.235456,0.244961,0.082745,0.082974,781,"3,565,710"
"Dec 11, 2017",0.036416,0.243141,0.036257,0.235036,400,"551,469"
"Dec 10, 2017",0.070455,0.071174,0.034364,0.036678,"2,195","1,066,960"
"Dec 09, 2017",0.089318,0.090641,0.045536,0.070304,277,"1,352,610"
"Dec 08, 2017",0.072730,0.089420,0.051488,0.089408,"3,668","1,101,400"
"Dec 07, 2017",0.059301,0.080209,0.043619,0.072561,"3,152","898,033"
"Dec 06, 2017",0.056626,0.068366,0.056626,0.059403,297,"857,524"
"Dec 05, 2017",0.040730,0.057004,0.034582,0.056752,818,"616,805"
"Dec 04, 2017",0.034477,0.040803,0.034439,0.040605,52,"522,109"
"Dec 03, 2017",0.034248,0.049682,0.032357,0.034363,355,"518,639"
"Dec 02, 2017",0.026633,0.038841,0.025855,0.034215,22,"403,323"
"Dec 01, 2017",0.028249,0.050243,0.026229,0.026656,398,"427,795"
"Nov 30, 2017",0.028269,0.033073,0.021838,0.028390,102,"428,098"
"Nov 29, 2017",0.034955,0.043973,0.025250,0.027842,"1,348","529,338"
"Nov 28, 2017",0.034871,0.035879,0.029412,0.034950,173,"528,073"
"Nov 27, 2017",0.032473,0.040064,0.023170,0.032812,375,"491,747"
"Nov 26, 2017",0.020110,0.046139,0.020085,0.032466,"1,592","304,530"
"Nov 25, 2017",0.031881,0.032493,0.018926,0.020116,101,"482,785"
"Nov 24, 2017",0.018984,0.031816,0.018634,0.031816,95,"287,474"
"Nov 23, 2017",0.018904,0.019146,0.015143,0.019009,128,"286,276"
"Nov 22, 2017",0.017490,0.019866,0.017385,0.018943,196,"264,855"
"Nov 21, 2017",0.017025,0.019931,0.016808,0.017448,357,"257,812"
"Nov 20, 2017",0.020603,0.021022,0.016361,0.017022,127,"312,000"
"Nov 19, 2017",0.018697,0.061732,0.018645,0.020594,554,"283,130"
"Nov 18, 2017",0.014278,0.020909,0.013841,0.018726,12,"216,209"
"Nov 17, 2017",0.018549,0.019207,0.014139,0.014332,269,"280,886"
"Nov 16, 2017",0.021943,0.021943,0.017073,0.018579,33,"332,291"
"Nov 15, 2017",0.013407,0.024956,0.013407,0.021829,247,"203,020"
"Nov 14, 2017",0.014943,0.015312,0.013300,0.013397,28,"226,288"
"Nov 13, 2017",0.011976,0.015470,0.011976,0.014912,40,"181,360"
"Nov 12, 2017",0.012807,0.012807,0.011069,0.011959,5,"193,944"
"Nov 11, 2017",0.012164,0.014585,0.011752,0.012817,10,"184,192"
"Nov 10, 2017",0.014472,0.014889,0.012120,0.012207,19,"219,140"
"Nov 09, 2017",0.016470,0.026237,0.014381,0.014429,14,"249,403"
