Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.023372,0.029640,0.022375,0.022479,"33,141","700,542"
"Dec 15, 2017",0.035224,0.040527,0.023366,0.023366,"23,768","1,055,770"
"Dec 14, 2017",0.045372,0.051863,0.033720,0.035020,"11,560","1,359,940"
"Dec 13, 2017",0.039721,0.050538,0.032762,0.045396,"15,347","1,190,560"
"Dec 12, 2017",0.038726,0.044599,0.024984,0.039694,"31,710","1,160,740"
"Dec 11, 2017",0.037223,0.043854,0.036833,0.038976,"24,312","1,115,680"
"Dec 10, 2017",0.019611,0.040423,0.017829,0.037181,"27,368","587,809"
"Dec 09, 2017",0.024889,0.025793,0.018546,0.019548,"2,098","745,992"
"Dec 08, 2017",0.018191,0.026327,0.014108,0.024889,"6,402","545,229"
"Dec 07, 2017",0.012223,0.017132,0.012036,0.015817,"1,938","366,370"
"Dec 06, 2017",0.012279,0.013343,0.012186,0.012266,"3,645","368,046"
"Dec 05, 2017",0.013059,0.014537,0.011829,0.012301,493,"391,413"
"Dec 04, 2017",0.012067,0.015497,0.010974,0.013052,"10,512","361,685"
"Dec 03, 2017",0.015787,0.020433,0.011664,0.011876,"5,259","473,197"
"Dec 02, 2017",0.007159,0.015825,0.006968,0.015782,"11,785","205,257"
"Dec 01, 2017",0.007168,0.008029,0.006075,0.007159,"4,264","152,550"
"Nov 30, 2017",0.005526,0.008270,0.005077,0.007186,"4,448","117,612"
"Nov 29, 2017",0.009230,0.009511,0.005156,0.005456,"5,631","196,440"
"Nov 28, 2017",0.009158,0.009556,0.006042,0.009223,"11,576","194,913"
"Nov 27, 2017",0.009410,0.009949,0.006734,0.009171,"5,423","200,280"
"Nov 26, 2017",0.011539,0.011853,0.004404,0.009413,"9,647","245,589"
"Nov 25, 2017",0.009085,0.012284,0.005815,0.011539,"4,705","193,363"
"Nov 24, 2017",0.004737,0.009230,0.003424,0.009087,"14,589",-
"Nov 23, 2017",0.016724,0.016853,0.002270,0.004761,"15,829",-
"Nov 22, 2017",0.017246,0.018464,0.010259,0.016685,"4,172",-
"Nov 21, 2017",0.026593,0.032505,0.015563,0.017224,"6,166",-
"Nov 20, 2017",0.032784,0.037045,0.026635,0.026635,"5,964",-
