Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000001,0.000002,0.000001,0.000002,"30,616","3,387,410"
"Dec 15, 2017",9.9e-07,0.000001,8.6e-07,0.000001,"18,005","3,216,250"
"Dec 14, 2017",8.6e-07,0.000001,8.3e-07,9.9e-07,"15,793","2,799,470"
"Dec 13, 2017",9.6e-07,0.000001,8.1e-07,8.3e-07,"13,400","3,114,430"
"Dec 12, 2017",8.8e-07,0.000001,6.6e-07,9.5e-07,"24,024","2,845,450"
"Dec 11, 2017",7.6e-07,9e-07,7.5e-07,8.6e-07,"7,789","2,444,240"
"Dec 10, 2017",7.5e-07,8.2e-07,6.7e-07,7.7e-07,"3,969","2,421,170"
"Dec 09, 2017",9.2e-07,9.2e-07,7.1e-07,7.4e-07,"7,956","2,973,420"
"Dec 08, 2017",9.2e-07,9.6e-07,7.8e-07,9.2e-07,"5,280","2,951,390"
"Dec 07, 2017",9.5e-07,9.8e-07,8e-07,9.2e-07,"8,816","3,047,860"
"Dec 06, 2017",9.3e-07,9.7e-07,8.4e-07,8.8e-07,"12,898","2,988,550"
"Dec 05, 2017",8.5e-07,0.000001,8.4e-07,9.5e-07,"13,203","2,726,740"
"Dec 04, 2017",8.8e-07,9.2e-07,7.9e-07,8.5e-07,"16,279","2,807,080"
"Dec 03, 2017",9e-07,9.6e-07,8.3e-07,8.7e-07,"9,022","2,875,300"
"Dec 02, 2017",9.1e-07,9.4e-07,8.4e-07,8.7e-07,"9,594","2,897,560"
"Dec 01, 2017",8.6e-07,9.5e-07,8.1e-07,9.1e-07,"9,355","2,729,600"
"Nov 30, 2017",8.8e-07,9.7e-07,7.8e-07,8.6e-07,"15,835","2,779,340"
"Nov 29, 2017",9.5e-07,0.000001,8.4e-07,8.8e-07,"11,803","2,998,040"
"Nov 28, 2017",8e-07,9.4e-07,7.7e-07,9.1e-07,"10,735","2,536,520"
"Nov 27, 2017",8.1e-07,8.3e-07,7.4e-07,8.1e-07,"6,855","2,579,610"
"Nov 26, 2017",8.5e-07,8.7e-07,7.4e-07,8e-07,"12,536","2,696,280"
"Nov 25, 2017",7.6e-07,0.000001,6.5e-07,8.2e-07,"21,014","2,394,290"
"Nov 24, 2017",6e-07,8.1e-07,5.7e-07,7e-07,"13,276","1,878,970"
"Nov 23, 2017",6.4e-07,7.9e-07,6.1e-07,6.1e-07,"13,230","2,015,450"
"Nov 22, 2017",5.1e-07,6.9e-07,4.4e-07,6.2e-07,"8,193","1,595,450"
"Nov 21, 2017",4.3e-07,5.5e-07,4.1e-07,5.1e-07,"8,058",-
"Nov 20, 2017",4.4e-07,4.6e-07,4.1e-07,4.3e-07,"5,184",-
"Nov 19, 2017",4.2e-07,4.8e-07,3.8e-07,4.5e-07,"2,818",-
"Nov 18, 2017",4.3e-07,4.5e-07,3.5e-07,4.1e-07,"1,465",-
"Nov 17, 2017",4.9e-07,5.2e-07,3.6e-07,4.3e-07,"4,240",-
"Nov 16, 2017",4.9e-07,5.6e-07,3.9e-07,5e-07,"7,915",-
"Nov 15, 2017",3.7e-07,5.3e-07,3.5e-07,4.8e-07,"4,692",-
"Nov 14, 2017",3.3e-07,5.2e-07,2.6e-07,3.6e-07,"7,751",-
"Nov 13, 2017",2.6e-07,3.7e-07,2.2e-07,3.3e-07,"7,823",-
"Nov 12, 2017",3.1e-07,3.2e-07,2.3e-07,2.4e-07,"2,544",-
"Nov 11, 2017",3e-07,3.4e-07,2.9e-07,3.1e-07,647,-
"Nov 10, 2017",3.5e-07,3.6e-07,2.6e-07,3.1e-07,"1,001",-
"Nov 09, 2017",3.4e-07,3.7e-07,2.8e-07,3.4e-07,"2,792",-
"Nov 08, 2017",3.5e-07,3.8e-07,2.9e-07,3.4e-07,"2,362",-
"Nov 07, 2017",2.8e-07,3.6e-07,2.6e-07,3.5e-07,"3,915",-
"Nov 06, 2017",2.9e-07,3.1e-07,1.8e-07,2.8e-07,"9,371",-
"Nov 05, 2017",3.2e-07,3.3e-07,2.7e-07,2.9e-07,"1,803",-
"Nov 04, 2017",3.2e-07,3.5e-07,2.7e-07,3.1e-07,"1,453",-
"Nov 03, 2017",3.4e-07,3.8e-07,3e-07,3.1e-07,"4,010",-
"Nov 02, 2017",3.4e-07,4.2e-07,3e-07,3.4e-07,"1,144",-
"Nov 01, 2017",3.1e-07,3.5e-07,2.9e-07,3.2e-07,"1,362",-
"Oct 31, 2017",4.3e-07,4.5e-07,2.6e-07,3.1e-07,"2,811",-
"Oct 30, 2017",5.2e-07,5.7e-07,2.5e-07,4.4e-07,"9,806",-
"Oct 29, 2017",4e-07,5.7e-07,3.9e-07,5.6e-07,"9,339",-
