Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.012358,0.014160,0.012316,0.013508,"2,033","556,929"
"Dec 15, 2017",0.011744,0.013117,0.011736,0.012341,"1,195","528,676"
"Dec 14, 2017",0.011068,0.013286,0.010737,0.011719,"1,100","497,572"
"Dec 13, 2017",0.012600,0.012771,0.010538,0.011085,"1,683","565,638"
"Dec 12, 2017",0.013178,0.013853,0.011967,0.012589,744,"591,181"
"Dec 11, 2017",0.012565,0.013503,0.011911,0.013137,"2,813","563,576"
"Dec 10, 2017",0.012471,0.012882,0.010443,0.012653,939,"558,864"
"Dec 09, 2017",0.013478,0.014231,0.011070,0.012430,"1,455","603,616"
"Dec 08, 2017",0.015973,0.015973,0.011748,0.013490,"1,415","714,965"
"Dec 07, 2017",0.012175,0.015937,0.012059,0.015937,"9,395","544,576"
"Dec 06, 2017",0.012890,0.015426,0.011407,0.012190,"7,738","576,387"
"Dec 05, 2017",0.008801,0.016791,0.008562,0.012920,"8,802","393,056"
"Dec 04, 2017",0.008318,0.009060,0.008105,0.008784,"2,467","371,040"
"Dec 03, 2017",0.008067,0.009157,0.007726,0.008292,839,"359,530"
"Dec 02, 2017",0.008350,0.008608,0.007449,0.008057,876,"371,726"
"Dec 01, 2017",0.007665,0.008357,0.007083,0.008357,"1,668","340,721"
"Nov 30, 2017",0.008002,0.008642,0.007050,0.007702,"1,346","355,197"
"Nov 29, 2017",0.008153,0.009304,0.007501,0.007900,"1,522","361,363"
"Nov 28, 2017",0.008368,0.008869,0.008144,0.008159,"1,624","370,312"
"Nov 27, 2017",0.009845,0.010614,0.008138,0.008347,"4,029","435,177"
"Nov 26, 2017",0.010102,0.010306,0.009641,0.009843,828,"446,055"
"Nov 25, 2017",0.009978,0.010252,0.009418,0.010028,"1,880","440,168"
"Nov 24, 2017",0.009930,0.010251,0.009517,0.010007,952,"437,562"
"Nov 23, 2017",0.010514,0.010569,0.009593,0.009945,"1,482","462,764"
"Nov 22, 2017",0.011355,0.011549,0.009921,0.010460,"4,079","499,222"
"Nov 21, 2017",0.011702,0.011866,0.010228,0.011275,"4,622","513,767"
"Nov 20, 2017",0.009997,0.012379,0.009317,0.011700,"5,545","438,598"
"Nov 19, 2017",0.010139,0.010710,0.009472,0.010002,"1,824","444,489"
"Nov 18, 2017",0.008443,0.011977,0.008217,0.009905,"4,531","369,871"
"Nov 17, 2017",0.008988,0.009142,0.008390,0.008471,783,"393,479"
"Nov 16, 2017",0.008629,0.009163,0.008293,0.009003,819,"377,606"
"Nov 15, 2017",0.007927,0.008628,0.007682,0.008583,814,"346,678"
"Nov 14, 2017",0.006893,0.009576,0.006866,0.007918,"3,559","301,166"
"Nov 13, 2017",0.006457,0.007221,0.006361,0.006879,455,"281,844"
"Nov 12, 2017",0.007001,0.007050,0.006253,0.006449,"1,491","305,163"
"Nov 11, 2017",0.007603,0.007773,0.006953,0.007004,772,"330,977"
"Nov 10, 2017",0.008066,0.008519,0.007163,0.007625,"1,771","350,793"
"Nov 09, 2017",0.008259,0.008506,0.007585,0.008007,"1,599","358,771"
"Nov 08, 2017",0.008060,0.008373,0.007256,0.008267,"1,992","349,699"
"Nov 07, 2017",0.007729,0.008100,0.006627,0.008085,761,"334,808"
"Nov 06, 2017",0.007916,0.009096,0.007714,0.007741,"2,479","342,451"
"Nov 05, 2017",0.008729,0.009348,0.007813,0.007899,"1,585","377,305"
"Nov 04, 2017",0.008314,0.009599,0.007887,0.008743,"1,389","359,084"
"Nov 03, 2017",0.008469,0.009219,0.008279,0.008335,590,"365,277"
"Nov 02, 2017",0.008876,0.009490,0.008328,0.008480,"1,179","382,309"
"Nov 01, 2017",0.007812,0.009603,0.007167,0.008868,"6,802","336,020"
"Oct 31, 2017",0.007666,0.007956,0.007324,0.007815,"1,453","329,363"
