Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.020463,0.023524,0.019497,0.022572,498,"242,069"
"Dec 15, 2017",0.018046,0.021313,0.018042,0.020434,511,"213,462"
"Dec 14, 2017",0.018154,0.021029,0.017456,0.018019,854,"214,737"
"Dec 13, 2017",0.014588,0.018623,0.013080,0.018212,"1,351","172,546"
"Dec 12, 2017",0.009311,0.015805,0.009264,0.014575,504,"110,134"
"Dec 11, 2017",0.012490,0.013738,0.010636,0.010719,7,"147,726"
"Dec 10, 2017",0.013260,0.013836,0.010372,0.012581,90,"156,829"
"Dec 09, 2017",0.014729,0.014947,0.008018,0.013207,"2,192","174,190"
"Dec 08, 2017",0.011226,0.014745,0.007800,0.014744,"1,655","132,756"
"Dec 07, 2017",0.013472,0.013944,0.010350,0.011199,152,"159,316"
"Dec 06, 2017",0.015830,0.016399,0.010963,0.013495,483,"187,196"
"Dec 05, 2017",0.012749,0.017125,0.009184,0.015865,209,"150,760"
"Dec 04, 2017",0.010481,0.013057,0.010432,0.012724,71,"123,940"
"Dec 03, 2017",0.014987,0.018010,0.009872,0.010446,405,"177,215"
"Dec 02, 2017",0.011622,0.019354,0.010542,0.014972,513,"137,428"
"Dec 01, 2017",0.009146,0.017566,0.008014,0.011632,147,"108,146"
"Nov 30, 2017",0.008799,0.013626,0.007192,0.009192,122,"104,039"
"Nov 29, 2017",0.013691,0.017277,0.008073,0.008666,245,"161,874"
"Nov 28, 2017",0.017170,0.017468,0.012858,0.013705,96,"202,997"
"Nov 27, 2017",0.016859,0.017954,0.016851,0.017125,1,"199,324"
"Nov 26, 2017",0.014671,0.016991,0.014655,0.016856,386,"173,453"
"Nov 25, 2017",0.017024,0.017506,0.014289,0.014676,122,"201,266"
"Nov 24, 2017",0.016292,0.017779,0.016118,0.017008,985,"192,603"
"Nov 23, 2017",0.017718,0.017782,0.015981,0.016314,200,"209,456"
"Nov 22, 2017",0.018417,0.024768,0.017520,0.017724,147,"217,707"
"Nov 21, 2017",0.015079,0.019032,0.014961,0.018372,66,"178,245"
"Nov 20, 2017",0.014478,0.016442,0.014305,0.015076,174,"171,139"
"Nov 19, 2017",0.014056,0.015849,0.013893,0.014485,3,"166,148"
"Nov 18, 2017",0.020677,0.020767,0.010935,0.014082,16,"244,402"
"Nov 17, 2017",0.016002,0.021008,0.015480,0.020757,18,"189,138"
"Nov 16, 2017",0.018258,0.018472,0.014489,0.016029,216,"215,791"
"Nov 15, 2017",0.010015,0.018201,0.010015,0.018163,49,"118,365"
"Nov 14, 2017",0.021552,0.022179,0.007607,0.010008,63,"254,708"
"Nov 13, 2017",0.018932,0.021631,0.010982,0.021506,29,"223,738"
"Nov 12, 2017",0.014561,0.021108,0.011843,0.018904,172,"172,075"
"Nov 11, 2017",0.014019,0.025327,0.013964,0.014571,137,"165,666"
"Nov 10, 2017",0.026228,0.028523,0.013756,0.014069,321,"309,940"
"Nov 09, 2017",0.014384,0.026859,0.013802,0.026151,121,"169,977"
"Nov 08, 2017",0.011265,0.021087,0.011199,0.014399,66,"133,116"
"Nov 07, 2017",0.008413,0.016641,0.008413,0.011301,93,"99,410"
"Nov 06, 2017",0.020362,0.020965,0.008396,0.008427,93,"240,595"
"Nov 05, 2017",0.010991,0.020861,0.010882,0.020317,40,"129,866"
"Nov 04, 2017",0.012183,0.013438,0.007122,0.011012,"1,448","143,945"
"Nov 03, 2017",0.015522,0.016244,0.012091,0.012215,6,"183,378"
"Nov 02, 2017",0.016771,0.017055,0.011758,0.015542,181,"198,125"
"Nov 01, 2017",0.014678,0.019360,0.014510,0.016752,32,"173,400"
"Oct 31, 2017",0.010937,0.014811,0.010699,0.014689,169,"129,197"
"Oct 30, 2017",0.012314,0.012346,0.007122,0.010974,95,"145,464"
"Oct 29, 2017",0.015515,0.015515,0.009507,0.012386,18,"183,272"
"Oct 28, 2017",0.006628,0.025806,0.006628,0.015536,18,"78,294"
"Oct 27, 2017",0.006638,0.006658,0.006554,0.006610,16,"78,414"
"Oct 26, 2017",0.017318,0.018073,0.017205,0.017677,35,"204,562"
"Oct 25, 2017",0.014068,0.024667,0.010600,0.017320,236,"166,178"
"Oct 24, 2017",0.015602,0.024187,0.008481,0.014063,"3,524","184,292"
"Oct 23, 2017",0.015845,0.016139,0.014953,0.015637,7,"187,154"
"Oct 22, 2017",0.017861,0.018018,0.015502,0.015871,12,"210,954"
"Oct 21, 2017",0.010975,0.018161,0.010899,0.017855,18,"129,630"
"Oct 20, 2017",0.017513,0.018656,0.010886,0.010999,12,"206,836"
"Oct 19, 2017",0.017153,0.017625,0.016996,0.017508,12,"202,573"
"Oct 18, 2017",0.017306,0.017307,0.015763,0.017144,297,"204,378"
"Oct 17, 2017",0.023463,0.023530,0.017198,0.017305,2,"277,072"
"Oct 16, 2017",0.015661,0.027406,0.015196,0.023459,61,"184,933"
"Oct 15, 2017",0.005851,0.027069,0.005817,0.015658,28,"69,094"
"Oct 14, 2017",0.019471,0.028539,0.005692,0.005841,21,"229,915"
"Oct 13, 2017",0.016866,0.022803,0.016758,0.019466,282,"199,150"
"Oct 12, 2017",0.017719,0.019744,0.016270,0.016814,26,"209,210"
"Oct 11, 2017",0.014717,0.017899,0.014600,0.017704,23,"173,762"
"Oct 10, 2017",0.020245,0.020560,0.014612,0.014719,95,"239,031"
"Oct 09, 2017",0.016616,0.020774,0.015205,0.020247,9,"196,173"
"Oct 08, 2017",0.020723,0.020820,0.016410,0.016612,17,"244,657"
"Oct 07, 2017",0.015775,0.027183,0.015735,0.020779,102,"186,232"
"Oct 06, 2017",0.017198,0.022155,0.015645,0.015770,36,"203,029"
"Oct 05, 2017",0.022977,0.023117,0.014467,0.017198,282,"271,235"
"Oct 04, 2017",0.014920,0.025375,0.014812,0.022956,360,"176,117"
"Oct 03, 2017",0.017611,0.017677,0.013275,0.014885,89,"207,888"
"Oct 02, 2017",0.017475,0.017818,0.015423,0.017611,58,"206,269"
"Oct 01, 2017",0.016593,0.017483,0.016333,0.017483,5,"195,859"
"Sep 30, 2017",0.014235,0.014653,0.013508,0.013632,1,"168,024"
"Sep 29, 2017",0.013503,0.014358,0.013035,0.014234,5,"159,379"
"Sep 28, 2017",0.013804,0.015014,0.013328,0.013514,12,"162,925"
"Sep 27, 2017",0.014490,0.014626,0.011721,0.013804,17,"171,018"
"Sep 26, 2017",0.012910,0.014837,0.012910,0.014531,13,"152,363"
"Sep 25, 2017",0.013955,0.015086,0.012584,0.012912,14,"164,688"
"Sep 24, 2017",0.011176,0.014065,0.010985,0.013969,1,"131,890"
"Sep 23, 2017",0.011182,0.011828,0.011029,0.011177,1,"131,962"
"Sep 22, 2017",0.013687,0.015533,0.010961,0.011214,13,"161,509"
"Sep 21, 2017",0.013631,0.014467,0.010562,0.013702,142,"160,846"
"Sep 20, 2017",0.016388,0.017153,0.013250,0.013698,84,"193,375"
"Sep 19, 2017",0.017880,0.023407,0.016410,0.016410,235,"210,977"
"Sep 18, 2017",0.011214,0.018012,0.010258,0.017837,609,"132,315"
"Sep 17, 2017",0.011253,0.015557,0.010599,0.011236,52,"132,766"
"Sep 16, 2017",0.011919,0.016358,0.011092,0.011260,344,"140,632"
"Sep 15, 2017",0.010666,0.012565,0.009961,0.011951,33,"125,840"
"Sep 14, 2017",0.012484,0.012650,0.010584,0.010584,78,"147,281"
"Sep 13, 2017",0.016901,0.016963,0.012469,0.012485,32,"199,390"
"Sep 12, 2017",0.019559,0.020321,0.013701,0.016966,116,"230,739"
"Sep 11, 2017",0.020704,0.021316,0.012717,0.019540,24,"244,232"
"Sep 10, 2017",0.018703,0.021203,0.017479,0.020739,136,"220,625"
"Sep 09, 2017",0.025806,0.025873,0.017194,0.018711,205,"304,407"
"Sep 08, 2017",0.002301,0.036874,0.002287,0.025578,285,"27,139"
"Sep 07, 2017",0.022676,0.022680,0.002266,0.002300,95,"267,468"
"Sep 06, 2017",0.010787,0.022791,0.010787,0.022719,34,"127,238"
"Sep 05, 2017",0.018476,0.021781,0.010775,0.010775,141,"217,921"
"Sep 04, 2017",0.018618,0.021777,0.013941,0.018381,62,"219,589"
"Sep 03, 2017",0.018050,0.018729,0.017892,0.018612,36,"212,881"
"Sep 02, 2017",0.023619,0.023895,0.017586,0.018038,207,"278,548"
"Sep 01, 2017",0.022000,0.030556,0.021929,0.023589,97,"258,359"
"Aug 31, 2017",0.031627,0.031919,0.021978,0.021996,17,"371,392"
"Aug 30, 2017",0.016183,0.031779,0.016128,0.031682,126,"190,035"
"Aug 29, 2017",0.031970,0.034890,0.015128,0.016205,503,"375,403"
"Aug 28, 2017",0.019567,0.032093,0.018921,0.031916,508,"229,755"
"Aug 27, 2017",0.014919,0.026152,0.014916,0.019588,269,"175,163"
"Aug 26, 2017",0.017685,0.026470,0.014922,0.014922,262,"207,631"
"Aug 25, 2017",0.031751,0.032154,0.017005,0.017680,112,"372,751"
"Aug 24, 2017",0.035215,0.035822,0.022643,0.031801,116,"413,401"
"Aug 23, 2017",0.014955,0.036066,0.014904,0.035200,179,"175,553"
"Aug 22, 2017",0.014611,0.015168,0.013259,0.014986,22,"171,507"
"Aug 21, 2017",0.021299,0.021462,0.014550,0.014577,81,"249,994"
"Aug 20, 2017",0.012389,0.021802,0.012103,0.021380,57,"145,411"
"Aug 19, 2017",0.016229,0.023984,0.011322,0.012447,14,"190,476"
"Aug 18, 2017",0.022426,0.022552,0.013950,0.016243,136,"263,195"
"Aug 17, 2017",0.029717,0.029767,0.017494,0.022495,5,"348,748"
"Aug 16, 2017",0.024375,0.029750,0.024375,0.029745,10,"286,037"
"Aug 15, 2017",0.038825,0.039182,0.012317,0.024348,7,"455,592"
"Aug 14, 2017",0.016026,0.038743,0.012903,0.038721,473,"188,042"
"Aug 13, 2017",0.020855,0.023082,0.014890,0.016015,16,"244,698"
"Aug 12, 2017",0.017089,0.021260,0.012447,0.020874,252,"200,505"
"Aug 11, 2017",0.016428,0.021317,0.013493,0.017102,437,"192,741"
"Aug 10, 2017",0.011824,0.020125,0.010821,0.016429,91,"138,713"
"Aug 09, 2017",0.023887,0.026369,0.010150,0.011822,474,"280,224"
"Aug 08, 2017",0.015278,0.026106,0.004305,0.023903,264,"179,221"
"Aug 07, 2017",0.009232,0.027207,0.009232,0.015262,188,"108,296"
"Aug 06, 2017",0.011458,0.011591,0.005641,0.009253,17,"134,402"
"Aug 05, 2017",0.018049,0.026384,0.011222,0.011455,17,"211,710"
"Aug 04, 2017",0.008250,0.018114,0.008215,0.018057,65,"96,760"
"Aug 03, 2017",0.010816,0.011180,0.008247,0.008252,341,"126,858"
"Aug 02, 2017",0.010917,0.013784,0.007561,0.010797,240,"128,044"
"Aug 01, 2017",0.010960,0.011113,0.010631,0.010919,14,"128,541"
"Jul 31, 2017",0.013813,0.014124,0.013621,0.013902,0,"161,991"
"Jul 30, 2017",0.011414,0.013836,0.011043,0.013798,0,"133,863"
"Jul 29, 2017",0.016322,0.018541,0.011248,0.011416,1,"191,416"
"Jul 28, 2017",0.020994,0.022419,0.012228,0.016384,47,"246,192"
"Jul 27, 2017",0.019599,0.021132,0.015490,0.020930,351,"229,831"
"Jul 26, 2017",0.010837,0.020199,0.010363,0.019544,37,"127,075"
"Jul 25, 2017",0.014549,0.018389,0.010373,0.010832,7,"170,598"
"Jul 24, 2017",0.011167,0.015728,0.010970,0.014550,4,"130,939"
"Jul 23, 2017",0.021409,0.021576,0.011046,0.011180,32,"251,018"
"Jul 22, 2017",0.012394,0.024313,0.011535,0.021409,144,"145,315"
"Jul 21, 2017",0.015889,0.015942,0.012220,0.012396,10,"186,291"
"Jul 20, 2017",0.013125,0.016270,0.011026,0.015772,31,"153,882"
"Jul 19, 2017",0.015992,0.015992,0.012971,0.013165,30,"187,487"
"Jul 18, 2017",0.012737,0.017813,0.012493,0.015967,75,"149,322"
"Jul 17, 2017",0.010211,0.012725,0.010211,0.012704,9,"119,700"
"Jul 16, 2017",0.010084,0.010420,0.007534,0.010222,15,"118,216"
