Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.007171,0.007692,0.006158,0.007627,799,"165,231"
"Dec 15, 2017",0.008607,0.009177,0.006141,0.006996,688,"198,332"
"Dec 14, 2017",0.009857,0.009981,0.007004,0.008651,123,"227,121"
"Dec 13, 2017",0.009279,0.010524,0.007524,0.009888,400,"213,818"
"Dec 12, 2017",0.014646,0.016436,0.010384,0.010451,26,"337,474"
"Dec 11, 2017",0.006975,0.016870,0.006756,0.016723,14,"160,712"
"Dec 10, 2017",0.006603,0.010770,0.006388,0.007025,86,"152,142"
"Dec 09, 2017",0.026526,0.026952,0.006415,0.006576,654,"611,236"
"Dec 08, 2017",0.005301,0.056567,0.005260,0.026554,"5,865","122,148"
"Dec 07, 2017",0.004255,0.005331,0.004162,0.005289,229,"98,049"
"Dec 06, 2017",0.003978,0.004259,0.003432,0.004259,110,"91,665"
"Dec 05, 2017",0.005245,0.006051,0.003281,0.003987,606,"120,864"
"Dec 04, 2017",0.004831,0.005235,0.004147,0.005235,"2,227","111,323"
"Dec 03, 2017",0.004505,0.005903,0.004480,0.004815,162,"103,798"
"Dec 02, 2017",0.005985,0.008113,0.004095,0.004499,361,"137,916"
"Dec 01, 2017",0.004197,0.005990,0.003998,0.005990,57,"96,712"
"Nov 30, 2017",0.004826,0.006391,0.003847,0.004218,136,"111,195"
"Nov 29, 2017",0.004706,0.006177,0.003740,0.004753,"2,044","108,442"
"Nov 28, 2017",0.004585,0.005700,0.004563,0.004711,192,"105,655"
"Nov 27, 2017",0.005595,0.005921,0.004516,0.004573,194,"128,925"
"Nov 26, 2017",0.004286,0.005730,0.004281,0.005592,"1,852","98,749"
"Nov 25, 2017",0.003628,0.004287,0.003202,0.004287,"1,047","83,599"
"Nov 24, 2017",0.004087,0.004119,0.003202,0.003635,746,"94,165"
"Nov 23, 2017",0.003502,0.004250,0.003328,0.004106,191,"80,704"
"Nov 22, 2017",0.003953,0.004216,0.003529,0.003547,18,"91,081"
"Nov 21, 2017",0.003547,0.003985,0.003365,0.003952,2,"81,728"
"Nov 20, 2017",0.008341,0.008360,0.003494,0.003549,37,"192,205"
"Nov 19, 2017",0.003347,0.008345,0.003308,0.008345,1,"77,126"
"Nov 18, 2017",0.003916,0.004049,0.003352,0.003353,139,"90,228"
"Nov 17, 2017",0.003844,0.004369,0.003717,0.003931,24,"88,573"
"Nov 16, 2017",0.003567,0.003921,0.003498,0.003850,432,"82,183"
"Nov 15, 2017",0.003306,0.003605,0.003306,0.003547,29,"76,177"
"Nov 14, 2017",0.003282,0.004253,0.003202,0.003303,99,"75,626"
"Nov 13, 2017",0.002877,0.003289,0.002714,0.003276,417,"66,287"
"Nov 12, 2017",0.002863,0.003153,0.002713,0.002873,11,"65,960"
"Nov 11, 2017",0.003557,0.003684,0.002804,0.002865,133,"81,959"
"Nov 10, 2017",0.003394,0.004246,0.003394,0.003570,55,"78,198"
"Nov 09, 2017",0.006613,0.006613,0.003130,0.003361,184,"152,380"
"Nov 08, 2017",0.003210,0.007350,0.003191,0.006921,235,"73,966"
"Nov 07, 2017",0.003132,0.003368,0.002935,0.003220,106,"72,169"
"Nov 06, 2017",0.003890,0.005465,0.003132,0.003139,78,"89,632"
"Nov 05, 2017",0.003307,0.003929,0.003261,0.003881,25,"76,201"
"Nov 04, 2017",0.003826,0.003826,0.003124,0.003284,23,"88,154"
"Nov 03, 2017",0.003083,0.003870,0.003045,0.003831,75,"71,045"
"Nov 02, 2017",0.003230,0.003897,0.003022,0.003087,165,"74,422"
"Nov 01, 2017",0.003159,0.003232,0.003113,0.003226,56,"72,791"
"Oct 31, 2017",0.002997,0.003464,0.002995,0.003162,18,"69,058"
"Oct 30, 2017",0.003509,0.003543,0.002957,0.003007,6,"80,867"
"Oct 29, 2017",0.003036,0.003547,0.002768,0.003530,223,"69,953"
"Oct 28, 2017",0.005702,0.011135,0.002440,0.003040,138,"131,390"
"Oct 27, 2017",0.002889,0.005715,0.002845,0.005687,19,"66,560"
"Oct 26, 2017",0.003036,0.003466,0.002784,0.002889,240,"69,957"
"Oct 25, 2017",0.003145,0.003171,0.002822,0.003036,30,"72,479"
"Oct 24, 2017",0.003946,0.004079,0.002802,0.003144,182,"90,928"
"Oct 23, 2017",0.003882,0.008568,0.003759,0.003955,49,"89,452"
"Oct 22, 2017",0.003363,0.003898,0.003064,0.003888,71,"77,490"
"Oct 21, 2017",0.003344,0.005270,0.003118,0.003362,835,"77,049"
"Oct 20, 2017",0.004164,0.004253,0.003064,0.003350,770,"95,957"
"Oct 19, 2017",0.003748,0.004190,0.003428,0.004163,831,"86,355"
"Oct 18, 2017",0.004269,0.004270,0.003332,0.003748,44,"98,378"
"Oct 17, 2017",0.004955,0.005392,0.004121,0.004269,322,"114,165"
"Oct 16, 2017",0.003187,0.011528,0.003180,0.004954,169,"73,447"
"Oct 15, 2017",0.003686,0.003811,0.003001,0.003187,542,"84,937"
"Oct 14, 2017",0.003563,0.003999,0.003545,0.003680,366,"82,103"
"Oct 13, 2017",0.005206,0.005239,0.003489,0.003562,"1,397","119,952"
"Oct 12, 2017",0.004226,0.006058,0.003840,0.005190,348,"97,386"
"Oct 11, 2017",0.003775,0.004234,0.003654,0.004223,145,"86,982"
"Oct 10, 2017",0.003793,0.003852,0.003541,0.003775,574,"87,408"
"Oct 09, 2017",0.003682,0.008801,0.003647,0.003794,648,"84,854"
"Oct 08, 2017",0.003555,0.003690,0.003555,0.003682,206,"81,914"
"Oct 07, 2017",0.003416,0.003670,0.003342,0.003564,185,"78,724"
"Oct 06, 2017",0.003656,0.004379,0.003397,0.003415,344,"84,234"
"Oct 05, 2017",0.003799,0.003820,0.003357,0.003656,40,"87,545"
"Oct 04, 2017",0.003729,0.004504,0.003360,0.003796,572,"85,916"
"Oct 03, 2017",0.003904,0.004088,0.003485,0.003720,92,"89,949"
"Oct 02, 2017",0.003937,0.004078,0.003603,0.003903,79,"90,724"
"Oct 01, 2017",0.004545,0.004872,0.003466,0.003939,340,"104,726"
"Sep 30, 2017",0.003671,0.004981,0.003668,0.004542,100,"84,598"
"Sep 29, 2017",0.003893,0.004074,0.003671,0.003671,281,"89,698"
"Sep 28, 2017",0.005315,0.005455,0.003881,0.003896,604,"122,460"
"Sep 27, 2017",0.003688,0.005526,0.003574,0.005315,933,"84,987"
"Sep 26, 2017",0.003170,0.003981,0.002970,0.003699,"1,715","73,048"
"Sep 25, 2017",0.002670,0.003490,0.002562,0.003170,685,"61,519"
"Sep 24, 2017",0.002580,0.002727,0.002225,0.002672,174,"59,446"
"Sep 23, 2017",0.002164,0.002604,0.002144,0.002579,20,"49,875"
"Sep 22, 2017",0.002172,0.002256,0.002121,0.002171,57,"50,060"
"Sep 21, 2017",0.002560,0.002578,0.002152,0.002175,37,"58,999"
"Sep 20, 2017",0.002583,0.002628,0.002348,0.002573,57,"59,518"
"Sep 19, 2017",0.002996,0.003963,0.002369,0.002586,127,"69,043"
"Sep 18, 2017",0.002369,0.003015,0.002369,0.002989,59,"54,580"
"Sep 17, 2017",0.002265,0.002474,0.002204,0.002373,6,"52,184"
"Sep 16, 2017",0.002300,0.002366,0.002168,0.002266,273,"52,993"
"Sep 15, 2017",0.002064,0.002907,0.001890,0.002826,19,"47,556"
"Sep 14, 2017",0.005938,0.005969,0.002060,0.002063,44,"136,831"
"Sep 13, 2017",0.004668,0.006018,0.002840,0.005939,32,"107,552"
"Sep 12, 2017",0.002730,0.005084,0.002730,0.004685,76,"62,909"
"Sep 11, 2017",0.002740,0.008366,0.002609,0.002727,479,"63,133"
"Sep 10, 2017",0.007956,0.007956,0.002621,0.002745,148,"183,329"
"Sep 09, 2017",0.003190,0.007993,0.002848,0.007977,6,"73,498"
"Sep 08, 2017",0.003054,0.004127,0.003026,0.003183,161,"70,370"
"Sep 07, 2017",0.002723,0.003065,0.002666,0.003053,367,"62,749"
"Sep 06, 2017",0.002745,0.002897,0.002610,0.002728,348,"63,254"
"Sep 05, 2017",0.002971,0.002992,0.002559,0.002742,749,"68,456"
"Sep 04, 2017",0.003437,0.003660,0.002491,0.002956,"1,742","79,199"
"Sep 03, 2017",0.004016,0.005231,0.003185,0.003436,685,"92,547"
"Sep 02, 2017",0.003265,0.004014,0.003017,0.004014,325,"75,242"
"Sep 01, 2017",0.004961,0.007204,0.003255,0.003262,318,"114,319"
"Aug 31, 2017",0.014515,0.015350,0.004831,0.004960,701,"334,468"
"Aug 30, 2017",0.013598,0.014543,0.005593,0.014540,137,"313,343"
"Aug 29, 2017",0.003250,0.016300,0.003237,0.013618,"1,784","74,885"
"Aug 28, 2017",0.003120,0.003625,0.003023,0.003244,208,"71,901"
"Aug 27, 2017",0.003355,0.003425,0.003104,0.003124,249,"77,307"
"Aug 26, 2017",0.004589,0.004613,0.002690,0.003356,164,"105,737"
"Aug 25, 2017",0.004597,0.004768,0.003216,0.004587,17,"105,921"
"Aug 24, 2017",0.004235,0.005841,0.002858,0.004604,27,"97,590"
"Aug 23, 2017",0.002983,0.005285,0.002609,0.004233,446,"68,732"
"Aug 22, 2017",0.003452,0.003452,0.002773,0.002989,91,"79,538"
"Aug 21, 2017",0.005622,0.006836,0.003437,0.003444,43,"129,536"
"Aug 20, 2017",0.003647,0.010131,0.003578,0.005643,113,"84,027"
"Aug 19, 2017",0.002711,0.005536,0.002617,0.003664,244,"62,480"
"Aug 18, 2017",0.004831,0.005467,0.002572,0.002714,69,"111,320"
"Aug 17, 2017",0.003511,0.007103,0.002848,0.004846,99,"80,904"
"Aug 16, 2017",0.003622,0.003659,0.003205,0.003514,104,"83,454"
