Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.072417,0.084803,0.072222,0.080040,"266,233","9,551,090"
"Dec 15, 2017",0.079271,0.081768,0.071389,0.072055,"216,291","10,453,900"
"Dec 14, 2017",0.081635,0.086315,0.075788,0.078314,"393,259","10,764,600"
"Dec 13, 2017",0.076446,0.082786,0.070992,0.081208,"416,158","10,079,300"
"Dec 12, 2017",0.066915,0.080081,0.065494,0.077818,"252,336","8,821,780"
"Dec 11, 2017",0.060750,0.069684,0.060550,0.065728,"77,716","8,008,190"
"Dec 10, 2017",0.059929,0.062961,0.053167,0.061164,"81,784","7,899,070"
"Dec 09, 2017",0.065048,0.069469,0.056395,0.059719,"67,035","8,572,890"
"Dec 08, 2017",0.068506,0.070910,0.055713,0.064992,"151,798","9,027,770"
"Dec 07, 2017",0.057255,0.068920,0.054469,0.068920,"147,937","7,544,230"
"Dec 06, 2017",0.063489,0.066243,0.054960,0.057342,"271,462","8,364,860"
"Dec 05, 2017",0.058795,0.067804,0.057137,0.063605,"533,774","7,745,590"
"Dec 04, 2017",0.057798,0.058771,0.053648,0.058771,"207,185","7,613,480"
"Dec 03, 2017",0.057924,0.068789,0.053221,0.057603,"406,130","7,629,280"
"Dec 02, 2017",0.047820,0.059557,0.046261,0.057871,"276,676","6,297,870"
"Dec 01, 2017",0.041325,0.049692,0.039203,0.048447,"79,075","5,441,890"
"Nov 30, 2017",0.042830,0.046330,0.037010,0.041544,"77,886","5,639,560"
"Nov 29, 2017",0.064283,0.065143,0.040214,0.042108,"636,923","8,463,520"
"Nov 28, 2017",0.039816,0.066806,0.039512,0.064360,"1,137,880","5,241,630"
"Nov 27, 2017",0.036059,0.041479,0.036059,0.040812,"56,077","4,746,520"
"Nov 26, 2017",0.035603,0.037360,0.035001,0.036203,"90,773","4,686,080"
"Nov 25, 2017",0.034209,0.036741,0.033591,0.035611,"65,050","4,502,100"
"Nov 24, 2017",0.033701,0.035106,0.033147,0.034283,"37,070","4,434,780"
"Nov 23, 2017",0.034077,0.035128,0.032595,0.033760,"32,584","4,483,770"
"Nov 22, 2017",0.033989,0.036475,0.033016,0.034771,"30,443","4,471,840"
"Nov 21, 2017",0.032674,0.035160,0.030888,0.033875,"26,666","4,298,350"
"Nov 20, 2017",0.034487,0.035548,0.032258,0.032670,"39,192","4,536,370"
"Nov 19, 2017",0.033738,0.036620,0.032618,0.034518,"73,271","4,437,340"
"Nov 18, 2017",0.034996,0.037478,0.032991,0.033796,"78,551","4,602,440"
"Nov 17, 2017",0.034311,0.036257,0.032433,0.034539,"45,667","4,511,830"
"Nov 16, 2017",0.035584,0.035761,0.032565,0.034283,"61,225","4,678,730"
"Nov 15, 2017",0.031524,0.035586,0.031524,0.035409,"30,132","4,144,510"
"Nov 14, 2017",0.031386,0.032419,0.030513,0.031478,"12,669","4,125,960"
"Nov 13, 2017",0.029220,0.032685,0.028138,0.031227,"22,264","3,840,780"
"Nov 12, 2017",0.032749,0.032749,0.026363,0.029266,"95,678","4,304,180"
"Nov 11, 2017",0.033035,0.035673,0.031625,0.033204,"51,700","4,341,340"
"Nov 10, 2017",0.035307,0.036745,0.031598,0.033135,"57,181","4,639,510"
"Nov 09, 2017",0.034248,0.037855,0.032704,0.035408,"76,745","4,499,780"
"Nov 08, 2017",0.034059,0.039832,0.032471,0.033703,"173,559","4,474,510"
"Nov 07, 2017",0.032486,0.034416,0.032021,0.034177,"25,133","4,267,420"
"Nov 06, 2017",0.033827,0.035414,0.031319,0.032529,"48,658","4,443,140"
"Nov 05, 2017",0.033925,0.035397,0.032627,0.033290,"17,100","4,455,500"
"Nov 04, 2017",0.034582,0.037254,0.033265,0.034385,"62,404","4,541,350"
"Nov 03, 2017",0.032662,0.037033,0.031672,0.034060,"153,003","4,288,710"
"Nov 02, 2017",0.033861,0.037207,0.030204,0.032700,"170,585","4,445,700"
"Nov 01, 2017",0.031282,0.033910,0.029461,0.033830,"67,567","4,106,740"
"Oct 31, 2017",0.032397,0.033628,0.030854,0.032113,"40,503","4,252,640"
"Oct 30, 2017",0.030667,0.033621,0.029328,0.032680,"93,331","4,025,170"
"Oct 29, 2017",0.028158,0.032085,0.027513,0.030852,"40,236","3,695,410"
"Oct 28, 2017",0.029086,0.034371,0.027808,0.028195,"91,722","3,816,820"
"Oct 27, 2017",0.031066,0.031082,0.027928,0.028554,"12,314","4,076,180"
"Oct 26, 2017",0.030232,0.031577,0.028979,0.031071,"13,156","3,966,330"
"Oct 25, 2017",0.031587,0.031978,0.029298,0.030387,"25,068","4,143,720"
"Oct 24, 2017",0.027738,0.032599,0.025516,0.031572,"35,543","3,638,470"
"Oct 23, 2017",0.031255,0.032183,0.026032,0.027793,"32,766","4,099,320"
"Oct 22, 2017",0.028156,0.032092,0.025801,0.032092,"36,834","3,692,520"
"Oct 21, 2017",0.030534,0.031192,0.026711,0.028123,"21,305","4,003,920"
"Oct 20, 2017",0.031694,0.032445,0.029693,0.030599,"19,893","4,155,590"
"Oct 19, 2017",0.031271,0.035341,0.030536,0.031684,"64,352","4,099,730"
"Oct 18, 2017",0.032410,0.032547,0.028537,0.031739,"51,036","4,248,570"
"Oct 17, 2017",0.032312,0.033200,0.031183,0.032412,"18,050","4,235,240"
"Oct 16, 2017",0.033035,0.038134,0.031987,0.032043,"62,436","4,329,520"
"Oct 15, 2017",0.034893,0.035146,0.030866,0.033028,"19,607","4,572,640"
"Oct 14, 2017",0.033677,0.035566,0.032279,0.034561,"25,149","4,412,790"
"Oct 13, 2017",0.038399,0.038913,0.032985,0.033872,"40,986","5,031,070"
"Oct 12, 2017",0.034163,0.038706,0.032450,0.038281,"111,383","4,475,630"
"Oct 11, 2017",0.031946,0.035155,0.031401,0.034140,"19,959","4,184,650"
