Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.004059,0.006281,0.004047,0.006232,97,-
"Dec 15, 2017",0.003815,0.004338,0.003814,0.004053,18,-
"Dec 14, 2017",0.004126,0.004266,0.003786,0.003809,99,-
"Dec 13, 2017",0.002419,0.003824,0.002305,0.003596,33,-
"Dec 12, 2017",0.002417,0.002417,0.002415,0.002417,35,-
"Dec 11, 2017",0.002287,0.002516,0.002277,0.002464,33,-
"Dec 10, 2017",0.002065,0.002366,0.002014,0.002304,31,-
"Dec 08, 2017",0.002603,0.002642,0.002547,0.002578,34,-
"Dec 07, 2017",0.002712,0.002966,0.002175,0.002597,35,-
"Dec 06, 2017",0.002574,0.002750,0.002574,0.002738,12,-
"Dec 05, 2017",0.002564,0.002599,0.001613,0.002580,35,-
"Dec 04, 2017",0.002248,0.002559,0.001578,0.002559,47,-
"Dec 03, 2017",0.001675,0.002367,0.001627,0.002241,11,-
"Dec 02, 2017",0.002177,0.002195,0.001502,0.001535,22,-
"Dec 01, 2017",0.001999,0.002191,0.001278,0.002179,54,-
"Nov 30, 2017",0.001868,0.002027,0.001800,0.002009,20,-
"Nov 27, 2017",0.000932,0.000973,0.000932,0.000953,10,-
"Nov 26, 2017",0.000951,0.000951,0.000922,0.000932,9,-
"Nov 24, 2017",0.001849,0.001918,0.001813,0.001911,8,-
"Nov 23, 2017",0.001810,0.001891,0.001782,0.001851,16,-
"Nov 22, 2017",0.000568,0.000572,0.000566,0.000571,49,-
"Nov 21, 2017",0.000585,0.000585,0.000559,0.000567,113,-
"Nov 20, 2017",0.001367,0.001370,0.001351,0.001368,8,-
"Nov 19, 2017",0.002098,0.002190,0.001356,0.001368,8,-
"Nov 18, 2017",0.002229,0.002236,0.001217,0.001241,39,-
"Nov 17, 2017",0.002275,0.002328,0.001211,0.002238,39,-
"Nov 16, 2017",0.002257,0.002321,0.002257,0.002279,8,-
"Nov 15, 2017",0.001071,0.001088,0.001071,0.001088,7,-
"Nov 14, 2017",0.001045,0.001075,0.001028,0.001050,7,-
"Nov 13, 2017",0.001023,0.001143,0.001008,0.001043,7,-
"Nov 11, 2017",0.001118,0.001158,0.001059,0.001086,6,-
"Nov 10, 2017",0.001112,0.001144,0.001112,0.001122,7,-
"Nov 08, 2017",0.001281,0.001307,0.001273,0.001305,7,-
"Nov 07, 2017",0.002714,0.002765,0.001275,0.001285,7,-
"Nov 06, 2017",0.001183,0.002794,0.001127,0.002718,14,-
"Nov 05, 2017",0.001427,0.001427,0.001167,0.001180,7,-
"Nov 03, 2017",0.001124,0.001396,0.001111,0.001378,15,-
"Nov 02, 2017",0.001077,0.001419,0.001077,0.001125,42,-
"Nov 01, 2017",0.001547,0.001547,0.001021,0.001075,7,-
"Oct 31, 2017",0.005209,0.005234,0.001512,0.001548,77,-
"Oct 30, 2017",0.004926,0.005284,0.004655,0.005226,25,-
"Oct 29, 2017",0.004641,0.005058,0.004638,0.004954,6,-
"Oct 27, 2017",0.004945,0.005037,0.004787,0.004810,6,-
"Oct 26, 2017",0.003097,0.004963,0.003078,0.004944,6,-
"Oct 25, 2017",0.002931,0.003102,0.002906,0.003097,115,-
"Oct 23, 2017",0.003169,0.003216,0.003002,0.003017,17,-
"Oct 22, 2017",0.004751,0.004793,0.003100,0.003174,18,-
