Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002282,0.002308,0.000908,0.001472,420,"1,112,910"
"Dec 15, 2017",0.000806,0.006757,0.000797,0.002283,"2,314","392,836"
"Dec 14, 2017",0.000554,0.000957,0.000551,0.000800,245,"270,207"
"Dec 13, 2017",0.001208,0.001237,0.000549,0.000553,"1,255","589,075"
"Dec 12, 2017",0.001711,0.002070,0.001199,0.001206,836,"833,972"
"Dec 11, 2017",0.001045,0.002443,0.000858,0.001718,668,"509,575"
"Dec 10, 2017",0.000854,0.001075,0.000754,0.001053,547,"416,200"
"Dec 09, 2017",0.001197,0.001223,0.000802,0.000851,237,"583,561"
"Dec 08, 2017",0.001075,0.001719,0.000979,0.001211,279,"523,909"
"Dec 07, 2017",0.000687,0.001200,0.000618,0.001072,688,"335,169"
"Dec 06, 2017",0.000812,0.000821,0.000581,0.000686,"2,328","395,640"
"Dec 05, 2017",0.000949,0.000953,0.000707,0.000814,"1,438","462,440"
"Dec 04, 2017",0.000787,0.002493,0.000783,0.001042,275,"383,737"
"Dec 03, 2017",0.000656,0.000829,0.000652,0.000785,"1,897","319,764"
"Dec 02, 2017",0.000746,0.000873,0.000645,0.000655,406,"363,897"
"Dec 01, 2017",0.000601,0.000871,0.000533,0.000747,"2,181","293,098"
"Nov 30, 2017",0.000679,0.000698,0.000511,0.000604,293,"331,087"
"Nov 29, 2017",0.002240,0.003178,0.000668,0.000670,797,"1,089,510"
"Nov 28, 2017",0.000784,0.002254,0.000782,0.002238,450,"381,485"
"Nov 27, 2017",0.000637,0.000955,0.000637,0.000783,953,"309,920"
"Nov 26, 2017",0.000698,0.000726,0.000593,0.000637,165,"339,640"
"Nov 25, 2017",0.000812,0.000888,0.000508,0.000699,613,"394,942"
"Nov 24, 2017",0.000769,0.001150,0.000740,0.000819,"4,019","373,963"
"Nov 23, 2017",0.000877,0.000947,0.000648,0.000765,784,"426,657"
"Nov 22, 2017",0.000871,0.001394,0.000648,0.000877,441,"423,464"
"Nov 21, 2017",0.001027,0.001359,0.000560,0.000866,441,"499,455"
"Nov 20, 2017",0.000882,0.001048,0.000642,0.001028,41,"428,769"
"Nov 19, 2017",0.000827,0.001274,0.000746,0.000875,133,"402,064"
"Nov 18, 2017",0.000633,0.000830,0.000529,0.000830,327,"307,778"
"Nov 17, 2017",0.000623,0.000941,0.000575,0.000639,282,"302,797"
"Nov 16, 2017",0.001240,0.003927,0.000490,0.000625,153,"602,914"
"Nov 15, 2017",0.000499,0.001492,0.000470,0.001239,409,"242,617"
"Nov 14, 2017",0.000482,0.000563,0.000442,0.000498,180,"234,271"
"Nov 13, 2017",0.000626,0.000888,0.000473,0.000481,120,"304,368"
"Nov 12, 2017",0.000873,0.001095,0.000481,0.000624,132,"424,395"
"Nov 11, 2017",0.000577,0.001220,0.000492,0.000802,384,"280,408"
"Nov 10, 2017",0.002403,0.002492,0.000499,0.000549,303,"1,168,250"
"Nov 09, 2017",0.000631,0.003984,0.000536,0.002401,203,"306,879"
"Nov 08, 2017",0.000561,0.000632,0.000544,0.000632,115,"272,707"
"Nov 07, 2017",0.000345,0.000564,0.000345,0.000562,287,"167,745"
"Nov 06, 2017",0.000538,0.000658,0.000333,0.000346,281,"261,537"
"Nov 05, 2017",0.000482,0.000836,0.000470,0.000537,286,"234,209"
"Nov 04, 2017",0.000688,0.001108,0.000481,0.000484,36,"334,202"
"Nov 03, 2017",0.000555,0.001019,0.000523,0.000693,39,"269,476"
"Nov 02, 2017",0.000418,0.000559,0.000415,0.000556,617,"202,924"
"Nov 01, 2017",0.000539,0.000757,0.000409,0.000417,500,"261,702"
"Oct 31, 2017",0.000674,0.000727,0.000517,0.000540,"2,241","327,156"
"Oct 30, 2017",0.000532,0.000772,0.000502,0.000668,454,"258,363"
"Oct 29, 2017",0.000690,0.000725,0.000525,0.000528,95,"335,300"
"Oct 28, 2017",0.000648,0.000704,0.000635,0.000692,307,"314,556"
"Oct 27, 2017",0.001040,0.001068,0.000656,0.000683,326,"505,321"
"Oct 26, 2017",0.000642,0.001077,0.000638,0.001049,425,"311,850"
"Oct 25, 2017",0.000631,0.000903,0.000585,0.000644,279,"306,406"
"Oct 24, 2017",0.000795,0.001219,0.000603,0.000630,135,"385,898"
"Oct 23, 2017",0.000683,0.000874,0.000636,0.000796,987,"331,631"
"Oct 22, 2017",0.000679,0.000714,0.000624,0.000683,428,"329,743"
"Oct 21, 2017",0.000725,0.000825,0.000672,0.000679,416,"351,917"
"Oct 20, 2017",0.000995,0.001332,0.000666,0.000726,544,"483,172"
"Oct 19, 2017",0.000684,0.001012,0.000647,0.000990,264,"332,237"
"Oct 18, 2017",0.000764,0.001033,0.000669,0.000688,227,"371,078"
"Oct 17, 2017",0.000750,0.000970,0.000672,0.000691,214,"364,129"
"Oct 16, 2017",0.000638,0.001208,0.000638,0.000752,210,"309,497"
"Oct 15, 2017",0.000672,0.000771,0.000577,0.000638,281,"325,877"
"Oct 14, 2017",0.000725,0.000879,0.000644,0.000670,677,"351,984"
"Oct 13, 2017",0.000624,0.000725,0.000610,0.000725,252,"302,723"
"Oct 12, 2017",0.000587,0.000712,0.000579,0.000618,107,"285,079"
"Oct 11, 2017",0.000831,0.000839,0.000580,0.000587,535,"403,040"
"Oct 10, 2017",0.000616,0.001409,0.000571,0.000820,"1,397","298,825"
"Oct 09, 2017",0.000587,0.000676,0.000518,0.000622,472,"284,884"
"Oct 08, 2017",0.000530,0.000641,0.000427,0.000587,812,"256,961"
"Oct 07, 2017",0.000727,0.002266,0.000439,0.000531,"1,601","352,699"
"Oct 06, 2017",0.000804,0.000820,0.000595,0.000726,161,"390,241"
"Oct 05, 2017",0.000537,0.001611,0.000515,0.000807,648,"260,489"
"Oct 04, 2017",0.000540,0.000629,0.000496,0.000536,111,"261,774"
"Oct 03, 2017",0.000531,0.002856,0.000499,0.000539,46,"257,733"
"Oct 02, 2017",0.000542,0.000609,0.000490,0.000532,140,"262,845"
"Oct 01, 2017",0.000503,0.000615,0.000491,0.000542,357,"244,004"
"Sep 30, 2017",0.000495,0.000627,0.000466,0.000502,205,"240,326"
"Sep 29, 2017",0.000538,0.000539,0.000410,0.000491,836,"260,758"
"Sep 28, 2017",0.000995,0.001972,0.000536,0.000538,86,"482,805"
"Sep 27, 2017",0.000702,0.002013,0.000471,0.001004,259,"340,328"
"Sep 26, 2017",0.000999,0.001210,0.000508,0.000701,493,"484,489"
"Sep 25, 2017",0.000601,0.000998,0.000478,0.000998,385,"291,657"
"Sep 24, 2017",0.000557,0.000688,0.000486,0.000602,226,"270,234"
"Sep 23, 2017",0.000464,0.001360,0.000462,0.000557,209,"225,129"
"Sep 22, 2017",0.000606,0.002852,0.000397,0.000466,326,"294,047"
"Sep 21, 2017",0.000436,0.000689,0.000428,0.000606,845,"211,384"
"Sep 20, 2017",0.000502,0.000736,0.000437,0.000438,167,"243,315"
"Sep 19, 2017",0.000774,0.000776,0.000488,0.000502,245,"375,330"
"Sep 18, 2017",0.000549,0.001082,0.000531,0.000775,217,"266,077"
"Sep 17, 2017",0.000607,0.000627,0.000433,0.000549,757,"294,319"
"Sep 16, 2017",0.000474,0.000934,0.000431,0.000610,553,"229,895"
"Sep 15, 2017",0.001467,0.001467,0.000390,0.000474,"1,383","711,202"
"Sep 14, 2017",0.000547,0.002094,0.000520,0.001489,604,"265,313"
"Sep 13, 2017",0.000627,0.000627,0.000511,0.000541,63,"303,637"
