Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002824,0.003729,0.002634,0.003700,104,"3,891"
"Dec 15, 2017",0.002820,0.003615,0.002789,0.002820,61,"3,886"
"Dec 14, 2017",0.003111,0.003327,0.002482,0.002816,176,"4,287"
"Dec 13, 2017",0.003455,0.003501,0.002295,0.003121,143,"4,761"
"Dec 12, 2017",0.003367,0.003552,0.003288,0.003452,2,"4,640"
"Dec 11, 2017",0.003049,0.003501,0.003036,0.003357,2,"4,202"
"Dec 10, 2017",0.002707,0.003155,0.002383,0.003072,2,"3,730"
"Dec 09, 2017",0.002765,0.002806,0.002438,0.002696,17,"3,810"
"Dec 08, 2017",0.002950,0.003545,0.002564,0.002768,393,"4,065"
"Dec 07, 2017",0.002747,0.003479,0.002576,0.002943,43,"3,785"
"Dec 06, 2017",0.001989,0.002756,0.001989,0.002752,6,"2,741"
"Dec 05, 2017",0.002098,0.002105,0.001494,0.001994,103,"2,891"
"Dec 04, 2017",0.001911,0.002094,0.001899,0.002094,2,"2,633"
"Dec 03, 2017",0.001858,0.003078,0.001846,0.001905,436,"2,561"
"Dec 02, 2017",0.001850,0.002351,0.001652,0.001857,33,"2,550"
"Dec 01, 2017",0.001499,0.001863,0.001318,0.001852,262,"2,065"
"Nov 30, 2017",0.001573,0.001711,0.001350,0.001506,23,"2,167"
"Nov 29, 2017",0.001787,0.001957,0.001388,0.001549,274,"2,462"
"Nov 28, 2017",0.001951,0.001985,0.001787,0.001789,88,"2,688"
"Nov 27, 2017",0.001864,0.001949,0.001864,0.001946,11,"2,568"
"Nov 26, 2017",0.002012,0.002130,0.001844,0.001863,7,"2,772"
"Nov 25, 2017",0.002217,0.002357,0.001996,0.002012,30,"3,054"
"Nov 24, 2017",0.002170,0.002252,0.002129,0.002221,40,"2,990"
"Nov 23, 2017",0.002221,0.002232,0.002173,0.002173,39,"3,060"
"Nov 22, 2017",0.002029,0.002232,0.001792,0.002222,40,"2,795"
"Nov 21, 2017",0.002472,0.002478,0.001995,0.002024,171,"3,407"
"Nov 20, 2017",0.001848,0.002724,0.001840,0.002472,255,"2,547"
"Nov 19, 2017",0.002336,0.002348,0.001833,0.001849,45,"3,219"
"Nov 18, 2017",0.001845,0.002358,0.001750,0.002340,23,"2,542"
"Nov 17, 2017",0.002170,0.002187,0.001827,0.001852,30,"2,990"
"Nov 16, 2017",0.001396,0.002511,0.001386,0.002174,97,"1,923"
"Nov 15, 2017",0.002182,0.002395,0.001388,0.001388,44,"3,006"
"Nov 14, 2017",0.001259,0.002189,0.000989,0.002180,132,"1,735"
"Nov 13, 2017",0.000975,0.001263,0.000903,0.001256,25,"1,343"
"Nov 12, 2017",0.001408,0.001654,0.000940,0.000973,80,"1,940"
"Nov 11, 2017",0.001249,0.001453,0.000997,0.001409,3,"1,721"
"Nov 10, 2017",0.001066,0.001463,0.001066,0.001254,82,"1,468"
"Nov 09, 2017",0.001792,0.001792,0.000887,0.001062,22,"2,469"
"Nov 08, 2017",0.001580,0.001794,0.001348,0.001794,13,"2,177"
"Nov 07, 2017",0.001392,0.002382,0.001392,0.001585,66,"1,918"
"Nov 06, 2017",0.001507,0.001782,0.001356,0.001394,46,"2,077"
"Nov 05, 2017",0.001328,0.001873,0.001315,0.001504,"1,367","1,830"
"Nov 04, 2017",0.001433,0.001433,0.001260,0.001330,117,"1,975"
"Nov 03, 2017",0.001407,0.001493,0.001392,0.001437,11,"1,939"
"Nov 02, 2017",0.001413,0.001466,0.001305,0.001409,65,"1,947"
"Nov 01, 2017",0.001675,0.001676,0.001352,0.001411,80,"2,309"
"Oct 31, 2017",0.001900,0.001915,0.001585,0.001677,41,"2,618"
"Oct 30, 2017",0.002340,0.002465,0.001891,0.001906,510,"3,224"
"Oct 29, 2017",0.001387,0.002403,0.001383,0.002353,"66,578","1,911"
"Oct 28, 2017",0.001498,0.001526,0.001139,0.001389,61,"2,065"
"Oct 27, 2017",0.003923,0.004816,0.001318,0.001494,10,"5,406"
"Oct 26, 2017",0.001548,0.004008,0.001481,0.003922,42,"2,133"
"Oct 25, 2017",0.001740,0.002052,0.001148,0.001548,"5,953","2,397"
"Oct 24, 2017",0.006511,0.006511,0.001689,0.001739,66,"8,971"
"Oct 23, 2017",0.001495,0.006593,0.001448,0.006525,3,"2,060"
"Oct 22, 2017",0.001479,0.001501,0.001468,0.001497,57,"2,038"
"Oct 21, 2017",0.001681,0.001722,0.001670,0.001711,2,"2,317"
"Oct 20, 2017",0.002271,0.002279,0.001577,0.001685,2,"3,130"
"Oct 19, 2017",0.005643,0.005778,0.002271,0.002271,88,"7,776"
"Oct 18, 2017",0.001624,0.007000,0.001585,0.005640,7,"2,238"
"Oct 17, 2017",0.001503,0.001698,0.001458,0.001624,54,"2,070"
"Oct 16, 2017",0.001484,0.001510,0.001483,0.001502,46,"2,045"
"Oct 14, 2017",0.002375,0.002399,0.002238,0.002296,14,"3,273"
"Oct 13, 2017",0.002285,0.002468,0.002270,0.002375,4,"3,149"
"Oct 12, 2017",0.002027,0.002278,0.002022,0.002278,4,"2,793"
"Oct 11, 2017",0.002000,0.002048,0.001984,0.002025,12,"2,756"
"Oct 10, 2017",0.002010,0.002119,0.001986,0.002001,116,"2,770"
"Oct 09, 2017",0.002071,0.002222,0.001823,0.002010,98,"2,854"
"Oct 08, 2017",0.001777,0.002075,0.001771,0.002071,97,"2,449"
"Oct 07, 2017",0.001750,0.001786,0.001737,0.001782,2,"2,411"
"Oct 06, 2017",0.002032,0.002032,0.001728,0.001749,50,"2,800"
"Oct 05, 2017",0.001646,0.002052,0.001622,0.002032,12,"2,269"
"Oct 04, 2017",0.002073,0.002075,0.001637,0.001645,409,"2,857"
"Oct 03, 2017",0.001761,0.002071,0.001699,0.002069,10,"2,427"
"Oct 02, 2017",0.001714,0.002317,0.001703,0.001761,662,"2,361"
"Oct 01, 2017",0.001868,0.001877,0.001663,0.001714,83,"2,574"
"Sep 30, 2017",0.001752,0.001961,0.001683,0.001867,205,"2,414"
"Sep 29, 2017",0.001966,0.002542,0.001956,0.002504,6,"2,709"
"Sep 28, 2017",0.001683,0.002000,0.001664,0.001997,20,"2,319"
"Sep 27, 2017",0.001555,0.001852,0.001555,0.001683,13,"2,143"
"Sep 26, 2017",0.001570,0.001737,0.001544,0.001560,76,"2,163"
"Sep 25, 2017",0.001469,0.001705,0.001468,0.001570,149,"2,024"
"Sep 24, 2017",0.001515,0.001662,0.001419,0.001470,381,"2,088"
"Sep 23, 2017",0.001479,0.001580,0.001465,0.001516,28,"2,038"
"Sep 22, 2017",0.001521,0.001555,0.001450,0.001483,34,"2,095"
"Sep 21, 2017",0.002056,0.002070,0.001432,0.001522,"2,772","2,833"
"Sep 20, 2017",0.001526,0.001824,0.001487,0.001520,122,"2,103"
"Sep 19, 2017",0.001698,0.001943,0.001353,0.001528,5,"2,340"
"Sep 18, 2017",0.001441,0.001893,0.001441,0.001777,"6,051","1,986"
"Sep 17, 2017",0.001523,0.002447,0.001387,0.001444,"1,332","2,098"
"Sep 16, 2017",0.001818,0.001850,0.001144,0.001524,"8,854","2,504"
"Sep 15, 2017",0.001038,0.001822,0.000747,0.001822,"1,970","1,431"
"Sep 14, 2017",0.001279,0.001296,0.000821,0.001030,230,"1,763"
"Sep 13, 2017",0.002282,0.002291,0.001279,0.001280,81,"3,145"
"Sep 12, 2017",0.001210,0.003381,0.001124,0.002291,"1,798","1,668"
"Sep 11, 2017",0.002553,0.003816,0.000893,0.001207,730,"3,518"
"Sep 10, 2017",0.001407,0.005819,0.000739,0.002558,"44,830","1,938"
"Sep 09, 2017",0.000996,0.001549,0.000887,0.001409,404,"1,372"
"Sep 08, 2017",0.001540,0.001611,0.000947,0.000994,167,"2,121"
"Sep 07, 2017",0.000924,0.001553,0.000828,0.001539,124,"1,274"
"Sep 06, 2017",0.001503,0.001530,0.000921,0.000926,309,"2,071"
"Sep 05, 2017",0.002110,0.002110,0.001501,0.001501,75,"2,907"
"Sep 04, 2017",0.002217,0.002219,0.001680,0.002099,13,"3,055"
"Sep 03, 2017",0.001709,0.002517,0.001703,0.002216,46,"2,355"
"Sep 02, 2017",0.001526,0.001808,0.001524,0.001708,34,"2,103"
"Sep 01, 2017",0.002606,0.002674,0.001523,0.001525,269,"3,591"
"Aug 31, 2017",0.002480,0.003239,0.002479,0.002606,180,"3,417"
"Aug 30, 2017",0.002481,0.002511,0.002426,0.002477,273,"3,418"
"Aug 29, 2017",0.001712,0.003529,0.001701,0.002484,274,"2,359"
"Aug 28, 2017",0.001839,0.002297,0.001690,0.001709,55,"2,534"
"Aug 27, 2017",0.001485,0.002356,0.001477,0.001841,10,"2,046"
"Aug 26, 2017",0.001616,0.001620,0.001438,0.001485,24,"2,227"
"Aug 25, 2017",0.001645,0.001666,0.001509,0.001616,38,"2,267"
"Aug 24, 2017",0.002900,0.002950,0.001604,0.001648,399,"3,996"
"Aug 23, 2017",0.001804,0.003470,0.001146,0.002899,382,"2,485"
"Aug 22, 2017",0.001640,0.002689,0.001485,0.001807,610,"2,260"
"Aug 21, 2017",0.001014,0.002221,0.001014,0.001637,126,"1,398"
"Aug 20, 2017",0.001202,0.001766,0.000978,0.001018,50,"1,656"
"Aug 19, 2017",0.001479,0.001506,0.001150,0.001208,114,"2,038"
"Aug 18, 2017",0.001612,0.001646,0.001434,0.001480,3,"2,221"
"Aug 17, 2017",0.002134,0.002307,0.001580,0.001617,151,"2,940"
"Aug 16, 2017",0.001080,0.002136,0.001049,0.002136,12,"1,488"
"Aug 15, 2017",0.000995,0.001638,0.000995,0.001079,21,"1,371"
"Aug 14, 2017",0.002039,0.002055,0.000980,0.000994,20,"2,809"
"Aug 13, 2017",0.005659,0.005755,0.001043,0.002037,93,"7,798"
"Aug 12, 2017",0.002415,0.005674,0.001339,0.005664,90,"3,328"
"Aug 11, 2017",0.001082,0.002955,0.001077,0.002417,34,"1,491"
"Aug 10, 2017",0.001939,0.002006,0.001082,0.001082,15,"2,672"
"Aug 09, 2017",0.002049,0.002054,0.001883,0.001939,2,"2,824"
"Aug 08, 2017",0.002100,0.002113,0.000710,0.002051,124,"2,894"
"Aug 07, 2017",0.001708,0.002482,0.001693,0.002098,24,"2,353"
"Aug 06, 2017",0.002018,0.002219,0.001706,0.001712,862,"2,781"
"Aug 05, 2017",0.001798,0.002060,0.001797,0.002018,36,"2,478"
"Aug 04, 2017",0.001812,0.002098,0.001744,0.001799,5,"2,496"
"Aug 03, 2017",0.001676,0.001821,0.001675,0.001812,1,"2,310"
"Aug 02, 2017",0.002538,0.002560,0.001648,0.001673,38,"3,498"
"Aug 01, 2017",0.001803,0.002544,0.001674,0.002539,16,"2,485"
"Jul 31, 2017",0.002412,0.002591,0.001736,0.001802,744,"3,323"
"Jul 30, 2017",0.001576,0.002411,0.001509,0.002409,265,"2,172"
"Jul 29, 2017",0.001752,0.002454,0.001553,0.001576,30,"2,414"
"Jul 28, 2017",0.002321,0.002706,0.001749,0.001759,59,"3,198"
"Jul 27, 2017",0.001995,0.002592,0.001987,0.002324,26,"2,748"
"Jul 26, 2017",0.001843,0.002429,0.001843,0.001989,60,"2,540"
"Jul 25, 2017",0.002648,0.002805,0.001544,0.001843,305,"3,648"
"Jul 24, 2017",0.002663,0.002685,0.002602,0.002648,6,"3,669"
