Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.001941,0.003726,0.001936,0.003116,182,"33,174"
"Dec 15, 2017",0.002156,0.002350,0.001917,0.001938,132,"36,852"
"Dec 14, 2017",0.001965,0.002367,0.001943,0.002153,155,"33,582"
"Dec 13, 2017",0.002071,0.002078,0.001912,0.001971,12,"35,394"
"Dec 12, 2017",0.001852,0.001914,0.001809,0.001894,24,"31,651"
"Dec 11, 2017",0.001816,0.001925,0.001813,0.001846,25,"31,040"
"Dec 10, 2017",0.001955,0.002033,0.001721,0.002004,6,"33,408"
"Dec 09, 2017",0.002114,0.002146,0.001624,0.001947,154,"36,133"
"Dec 08, 2017",0.002430,0.002466,0.001961,0.002116,44,"41,524"
"Dec 07, 2017",0.002335,0.002528,0.001885,0.002424,28,"39,906"
"Dec 06, 2017",0.001287,0.002339,0.001287,0.002339,1,"21,996"
"Dec 05, 2017",0.001389,0.001395,0.001264,0.001290,82,"23,738"
"Dec 02, 2017",0.001306,0.001343,0.001287,0.001311,1,"22,321"
"Dec 01, 2017",0.001370,0.001408,0.001189,0.001307,49,"23,405"
"Nov 30, 2017",0.001376,0.001497,0.001260,0.001385,2,"23,516"
"Nov 29, 2017",0.001886,0.002065,0.001273,0.001355,35,"32,236"
"Nov 28, 2017",0.001854,0.001985,0.001087,0.001888,195,"31,676"
"Nov 27, 2017",0.002236,0.002335,0.001318,0.001849,272,"38,217"
"Nov 26, 2017",0.001924,0.002254,0.001841,0.002236,133,"32,884"
"Nov 25, 2017",0.001806,0.001925,0.001796,0.001925,1,"30,867"
"Nov 24, 2017",0.001768,0.002072,0.001734,0.001810,4,"30,217"
"Nov 23, 2017",0.001645,0.001805,0.001620,0.001771,1,"28,113"
"Nov 22, 2017",0.001785,0.002490,0.001644,0.001646,143,"30,507"
"Nov 21, 2017",0.002060,0.002065,0.001688,0.001781,39,"35,211"
"Nov 20, 2017",0.001770,0.002071,0.001765,0.002060,860,"30,241"
"Nov 19, 2017",0.001947,0.002012,0.001705,0.001770,8,"33,269"
"Nov 18, 2017",0.001922,0.001965,0.001863,0.001950,1,"32,841"
"Nov 17, 2017",0.001961,0.002007,0.001718,0.001929,26,"33,516"
"Nov 16, 2017",0.001461,0.002001,0.001428,0.001964,9,"24,961"
"Nov 15, 2017",0.001587,0.001662,0.001378,0.001453,24,"27,118"
"Nov 14, 2017",0.001739,0.001747,0.001542,0.001586,32,"29,719"
"Nov 12, 2017",0.001590,0.001609,0.001384,0.001479,148,"27,178"
"Nov 11, 2017",0.001621,0.001621,0.001575,0.001591,169,"27,706"
"Nov 10, 2017",0.002139,0.002200,0.001935,0.002007,2,"36,549"
"Nov 09, 2017",0.001875,0.002159,0.001622,0.002132,101,"32,050"
"Nov 08, 2017",0.001708,0.001785,0.001698,0.001771,8,"29,187"
"Nov 07, 2017",0.002505,0.002592,0.001677,0.001713,7,"42,813"
