Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.014561,0.022005,0.013649,0.021231,"9,148,000","31,691,300"
"Dec 15, 2017",0.014626,0.017598,0.011369,0.014681,"5,605,540","31,833,600"
"Dec 14, 2017",0.011223,0.017633,0.009001,0.014413,"7,772,400","24,426,100"
"Dec 13, 2017",0.009279,0.011972,0.008400,0.011301,"1,715,630","20,195,000"
"Dec 12, 2017",0.008979,0.009489,0.008428,0.009279,"906,068","19,542,600"
"Dec 11, 2017",0.009026,0.009587,0.008517,0.009240,"582,241","19,645,900"
"Dec 10, 2017",0.008455,0.009773,0.007489,0.009038,"625,103","18,401,200"
"Dec 09, 2017",0.008991,0.009131,0.007802,0.008426,"382,293","19,568,900"
"Dec 08, 2017",0.009522,0.009556,0.007730,0.008786,"826,302","20,724,800"
"Dec 07, 2017",0.008629,0.012863,0.008629,0.009338,"2,065,900","18,781,300"
"Dec 06, 2017",0.007836,0.009795,0.007772,0.008988,"1,087,550","17,054,500"
"Dec 05, 2017",0.007445,0.008194,0.007124,0.008179,"481,862","16,204,400"
"Dec 04, 2017",0.007502,0.007930,0.006851,0.007565,"322,515","16,328,800"
"Dec 03, 2017",0.008146,0.008286,0.007239,0.007481,"343,912","17,729,300"
"Dec 02, 2017",0.009160,0.009191,0.007501,0.008139,"259,989","19,935,800"
"Dec 01, 2017",0.008148,0.009358,0.007516,0.009152,"315,082","17,570,300"
"Nov 30, 2017",0.006041,0.009767,0.006018,0.008182,"977,170","13,026,300"
"Nov 29, 2017",0.007841,0.008240,0.005391,0.005966,"572,222","16,908,600"
"Nov 28, 2017",0.008394,0.009455,0.007567,0.007890,"585,765","18,100,900"
"Nov 27, 2017",0.007596,0.010007,0.007017,0.008326,"977,590","16,379,100"
"Nov 26, 2017",0.007721,0.007776,0.006467,0.007622,"235,274","16,649,800"
"Nov 25, 2017",0.007722,0.007867,0.006912,0.007575,"170,209","16,652,600"
"Nov 24, 2017",0.007453,0.007862,0.006346,0.007734,"357,997","16,072,000"
"Nov 23, 2017",0.006914,0.008694,0.006914,0.007351,"296,102","14,909,600"
"Nov 22, 2017",0.006822,0.008269,0.006807,0.006908,"445,876","14,710,100"
"Nov 21, 2017",0.007845,0.008268,0.006213,0.006808,"584,332","16,915,800"
"Nov 20, 2017",0.006463,0.010360,0.006383,0.008042,"2,043,530","13,937,600"
"Nov 19, 2017",0.007054,0.007245,0.006176,0.006469,"15,736","15,210,300"
"Nov 18, 2017",0.006208,0.007100,0.005905,0.007071,"21,061","13,386,300"
"Nov 17, 2017",0.005810,0.006663,0.005651,0.006220,"34,883","12,528,600"
"Nov 16, 2017",0.005696,0.006531,0.005591,0.005815,"22,487","12,282,300"
"Nov 15, 2017",0.005774,0.006041,0.005650,0.005686,"10,607","12,451,800"
"Nov 14, 2017",0.005591,0.006365,0.005401,0.005771,"22,453","12,057,300"
"Nov 13, 2017",0.005374,0.006154,0.005040,0.005590,"9,023","11,588,700"
"Nov 12, 2017",0.006497,0.006497,0.004325,0.005365,"11,869","14,009,100"
"Nov 11, 2017",0.006646,0.006687,0.005607,0.006498,"5,904","14,330,300"
"Nov 10, 2017",0.006581,0.006909,0.005766,0.006664,"15,536","14,191,000"
"Nov 09, 2017",0.007362,0.007939,0.006534,0.006577,"33,332","15,874,300"
"Nov 08, 2017",0.006365,0.007840,0.006211,0.007393,"42,132","13,724,400"
"Nov 07, 2017",0.005289,0.006421,0.005289,0.006384,"17,604","11,405,900"
"Nov 06, 2017",0.005331,0.005739,0.005283,0.005283,"9,382","11,495,600"
"Nov 05, 2017",0.005074,0.005577,0.004971,0.005325,"19,658","10,941,100"
"Nov 04, 2017",0.004636,0.005142,0.004480,0.005069,"8,073","9,997,300"
"Nov 03, 2017",0.004340,0.005368,0.004340,0.004642,"10,708","9,357,740"
"Nov 02, 2017",0.005194,0.005233,0.004323,0.004333,"7,596","11,199,400"
"Nov 01, 2017",0.005459,0.005528,0.004551,0.005180,"32,638","11,661,800"
"Oct 31, 2017",0.004936,0.005649,0.004651,0.004872,"26,859","10,545,400"
"Oct 30, 2017",0.004756,0.005194,0.004638,0.004936,"12,570","10,159,100"
"Oct 29, 2017",0.004939,0.005256,0.004756,0.004770,"18,647","10,551,400"
"Oct 28, 2017",0.005020,0.005299,0.004867,0.004943,"8,988","10,723,400"
"Oct 27, 2017",0.004635,0.005692,0.004252,0.004891,"127,870","9,900,920"
"Oct 26, 2017",0.004822,0.005399,0.004384,0.004635,"46,198","10,300,400"
"Oct 25, 2017",0.005041,0.005386,0.004630,0.004828,"30,322","10,768,100"
"Oct 24, 2017",0.006020,0.006412,0.004799,0.005038,"93,244","12,860,000"
"Oct 23, 2017",0.006109,0.006197,0.004445,0.006027,"104,142","13,050,800"
"Oct 22, 2017",0.006241,0.006444,0.005409,0.006113,"26,316","13,332,700"
"Oct 21, 2017",0.006007,0.007163,0.005195,0.005806,"125,123","12,832,000"
"Oct 20, 2017",0.006498,0.006736,0.005302,0.006114,"54,175","13,882,200"
"Oct 19, 2017",0.005957,0.007311,0.005294,0.006502,"42,798","12,726,900"
"Oct 18, 2017",0.005698,0.005971,0.005171,0.005971,"127,474","12,172,300"
"Oct 17, 2017",0.006714,0.006714,0.005360,0.005702,"30,453","14,343,300"
"Oct 16, 2017",0.006714,0.007221,0.006488,0.006702,"165,139","14,343,000"
"Oct 15, 2017",0.007505,0.007829,0.005911,0.006699,"37,256","16,031,900"
"Oct 14, 2017",0.006476,0.008208,0.005614,0.007483,"102,872","13,834,000"
"Oct 13, 2017",0.007359,0.007914,0.003953,0.006469,"213,735","15,720,800"
"Oct 12, 2017",0.008403,0.008620,0.007153,0.007369,"45,654","17,950,800"
"Oct 11, 2017",0.008040,0.008617,0.007027,0.008403,"133,859","17,175,600"
"Oct 10, 2017",0.008414,0.009275,0.007853,0.008040,"91,298","17,975,500"
"Oct 09, 2017",0.009553,0.010289,0.007867,0.008399,"43,083","20,408,700"
"Oct 08, 2017",0.011086,0.011093,0.009285,0.009556,"27,163","23,683,300"
"Oct 07, 2017",0.010138,0.011107,0.009239,0.011105,"90,786","21,658,100"
"Oct 06, 2017",0.009103,0.014760,0.008898,0.010177,"63,153","19,446,200"
"Oct 05, 2017",0.008847,0.009455,0.008434,0.009100,"21,259","18,900,000"
"Oct 04, 2017",0.008588,0.009154,0.008396,0.008847,"44,430","18,347,200"
"Oct 03, 2017",0.009822,0.009826,0.008565,0.008569,"46,145","20,983,300"
"Oct 02, 2017",0.009262,0.010074,0.008752,0.009817,"66,992","19,785,700"
"Oct 01, 2017",0.008749,0.009798,0.008193,0.009151,"46,509","18,690,800"
"Sep 30, 2017",0.008197,0.009172,0.007970,0.008745,"24,732","17,511,800"
"Sep 29, 2017",0.008628,0.008653,0.007492,0.008195,"37,634","18,432,400"
"Sep 28, 2017",0.008377,0.008683,0.007804,0.008683,"26,190","17,895,700"
"Sep 27, 2017",0.008053,0.014940,0.007737,0.008385,"68,893","17,203,600"
"Sep 26, 2017",0.010962,0.010962,0.007240,0.008063,"91,471","23,416,800"
"Sep 25, 2017",0.006671,0.012748,0.005861,0.011249,"144,352","14,250,100"
"Sep 24, 2017",0.007982,0.008859,0.006695,0.006695,"32,659","17,052,000"
"Sep 23, 2017",0.008141,0.008766,0.007308,0.007983,"17,068","17,390,500"
