Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",18.09,19.45,15.93,19.32,"3,433,180",-
"Dec 15, 2017",17.16,18.28,15.93,18.03,"3,965,010",-
"Dec 14, 2017",17.13,18.86,16.71,17.17,"5,440,200",-
"Dec 13, 2017",21.10,21.36,14.14,17.14,"2,676,120",-
"Dec 12, 2017",20.21,21.61,19.74,21.09,"3,151,430",-
"Dec 11, 2017",18.88,21.03,18.80,20.15,"3,554,690",-
"Dec 10, 2017",18.04,20.36,15.56,19.02,"3,327,680",-
"Dec 09, 2017",18.69,18.86,15.66,17.97,"2,117,710",-
"Dec 08, 2017",21.70,21.76,15.31,18.72,"3,374,850",-
"Dec 07, 2017",14.59,21.65,14.39,21.65,"4,786,740",-
"Dec 06, 2017",16.39,17.87,14.07,14.57,"4,006,120",-
"Dec 05, 2017",15.38,17.53,15.23,16.43,"5,140,480",-
"Dec 04, 2017",14.90,16.97,14.05,15.35,"5,193,430",-
"Dec 03, 2017",15.88,17.93,14.85,15.19,"4,891,070",-
"Dec 02, 2017",16.86,17.41,15.60,15.73,"5,431,280",-
"Dec 01, 2017",17.28,17.97,14.25,16.83,"4,856,100",-
"Nov 30, 2017",15.60,17.84,13.49,17.48,"4,574,760",-
"Nov 29, 2017",17.56,19.90,14.10,15.02,"4,501,020",-
"Nov 28, 2017",16.54,19.41,15.01,17.58,"2,841,600",-
"Nov 27, 2017",15.01,21.08,15.01,16.69,"4,611,240",-
"Nov 26, 2017",18.69,21.35,14.13,15.00,"6,662,350",-
"Nov 25, 2017",17.23,21.42,15.99,19.76,"1,275,030",-
"Nov 24, 2017",17.38,17.39,14.16,17.26,"1,131,220",-
