Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",6.06,6.20,5.22,5.93,"1,058,630","23,166,200"
"Dec 15, 2017",5.96,6.49,5.49,6.05,"809,983","22,762,200"
"Dec 14, 2017",5.31,6.23,5.27,5.95,"342,394","20,284,600"
"Dec 13, 2017",5.41,6.41,5.12,5.44,"557,016","20,667,600"
"Dec 12, 2017",6.50,6.64,5.39,5.97,"436,589","24,847,400"
"Dec 11, 2017",6.12,6.69,6.09,6.49,"184,601","23,377,900"
"Dec 10, 2017",6.05,6.37,5.37,6.17,"139,790","23,129,700"
"Dec 09, 2017",6.50,6.60,5.32,6.03,"95,640","24,841,600"
"Dec 08, 2017",7.10,7.55,6.09,6.52,"134,148","27,131,000"
"Dec 07, 2017",5.69,7.24,5.58,7.11,"1,022,100","21,749,800"
"Dec 06, 2017",4.57,5.76,4.57,5.69,"798,677","17,470,300"
"Dec 05, 2017",4.71,4.90,4.34,4.58,"323,674","17,988,300"
"Dec 04, 2017",4.34,4.99,4.10,4.69,"413,738","16,594,300"
"Dec 03, 2017",4.39,4.86,4.22,4.26,"315,358","16,761,400"
"Dec 02, 2017",4.36,4.61,4.28,4.38,"273,822","16,661,000"
"Dec 01, 2017",4.13,4.51,3.72,4.35,"544,778","15,782,100"
"Nov 30, 2017",3.68,4.20,3.33,4.10,"624,788","14,069,900"
"Nov 29, 2017",4.19,4.48,3.46,3.63,"204,395","16,020,500"
"Nov 28, 2017",4.05,4.43,3.93,4.20,"326,573","15,460,300"
"Nov 27, 2017",3.81,4.16,3.68,3.92,"287,217","14,539,500"
"Nov 26, 2017",3.76,4.00,3.59,3.82,"163,506","14,369,500"
"Nov 25, 2017",3.50,3.96,3.36,3.70,"203,239","13,386,800"
"Nov 24, 2017",3.30,3.66,3.30,3.52,"115,931","12,622,500"
"Nov 23, 2017",3.18,3.51,3.11,3.31,"76,848","12,146,200"
"Nov 22, 2017",3.17,3.53,3.12,3.18,"32,814","12,126,300"
"Nov 21, 2017",3.12,3.76,2.94,3.17,"163,893","11,911,000"
"Nov 20, 2017",3.16,3.48,2.99,3.12,"129,934","12,088,900"
"Nov 19, 2017",2.76,3.45,2.75,3.17,"123,222","10,542,600"
"Nov 18, 2017",3.06,3.34,2.76,2.76,"147,557","11,699,400"
"Nov 17, 2017",3.12,3.18,2.94,2.98,"29,370","11,914,300"
"Nov 16, 2017",3.13,3.20,2.83,3.12,"31,480","11,960,000"
"Nov 15, 2017",2.78,3.13,2.78,3.11,"19,095","10,628,900"
"Nov 14, 2017",2.80,3.07,2.76,2.78,"21,036","10,693,900"
"Nov 13, 2017",2.64,3.03,2.53,2.79,"37,452","10,106,200"
"Nov 12, 2017",3.41,3.41,2.51,2.64,"39,774","13,015,500"
"Nov 11, 2017",2.85,3.54,2.64,3.41,"20,908","10,894,500"
"Nov 10, 2017",3.05,3.10,2.73,2.86,"27,284","11,635,200"
"Nov 09, 2017",3.24,3.40,2.87,3.04,"53,701","12,384,500"
"Nov 08, 2017",3.11,3.42,2.92,3.24,"33,374","11,893,700"
"Nov 07, 2017",2.62,3.20,2.56,3.12,"69,434","10,027,200"
"Nov 06, 2017",2.63,3.05,2.53,2.63,"23,769","10,012,900"
"Nov 05, 2017",2.98,3.14,2.34,2.62,"37,389","11,368,200"
"Nov 04, 2017",2.99,3.29,2.90,2.99,"19,571","11,387,900"
"Nov 03, 2017",2.91,3.08,2.88,3.00,"21,239","11,067,100"
"Nov 02, 2017",2.82,3.10,2.52,2.91,"36,465","10,734,800"
"Nov 01, 2017",2.86,3.00,2.57,2.79,"46,879","10,881,700"
"Oct 31, 2017",2.77,3.01,2.69,2.86,"12,641","10,562,700"
"Oct 30, 2017",3.05,3.11,2.77,2.78,"24,068","11,614,100"
"Oct 29, 2017",2.94,3.19,2.82,3.06,"31,131","11,195,900"
"Oct 28, 2017",3.15,3.20,2.82,2.94,"25,038","11,999,200"
"Oct 27, 2017",3.03,3.19,2.95,3.14,"21,809","11,544,000"
"Oct 26, 2017",3.54,3.54,3.02,3.03,"55,816","13,497,700"
"Oct 25, 2017",3.25,3.55,3.11,3.54,"44,823","12,394,900"
"Oct 24, 2017",3.45,3.54,3.11,3.25,"23,257","13,130,500"
"Oct 23, 2017",3.64,3.70,3.33,3.45,"19,920","13,861,900"
"Oct 22, 2017",3.65,4.03,3.36,3.65,"24,837","13,918,500"
"Oct 21, 2017",4.40,4.53,3.91,3.91,"36,913","16,752,100"
"Oct 20, 2017",4.00,6.38,3.82,4.40,"133,330","15,231,400"
"Oct 19, 2017",3.80,4.23,3.71,3.98,"30,270","14,464,700"
"Oct 18, 2017",3.94,4.10,3.55,3.82,"30,368","15,020,600"
"Oct 17, 2017",3.95,4.54,3.25,3.94,"15,435","15,045,700"
