Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002471,0.002537,0.002091,0.002532,5,-
"Dec 15, 2017",0.001991,0.002505,0.001990,0.002467,32,-
"Dec 14, 2017",0.001801,0.002011,0.001781,0.001988,4,-
"Dec 13, 2017",0.001900,0.002649,0.001784,0.001807,55,-
"Dec 12, 2017",0.002020,0.002088,0.001895,0.001899,32,-
"Dec 11, 2017",0.001677,0.002100,0.001670,0.002014,2,-
"Dec 10, 2017",0.001654,0.001735,0.001456,0.001689,9,-
"Dec 09, 2017",0.002114,0.002146,0.001490,0.001647,340,-
"Dec 08, 2017",0.002603,0.002642,0.001831,0.002116,55,-
"Dec 07, 2017",0.002060,0.002597,0.002034,0.002597,52,-
"Dec 06, 2017",0.001521,0.002067,0.001521,0.002064,37,-
"Dec 05, 2017",0.001399,0.001549,0.001389,0.001524,2,-
"Dec 04, 2017",0.001461,0.001586,0.001198,0.001396,604,-
"Dec 03, 2017",0.001312,0.001539,0.001303,0.001457,89,-
"Dec 02, 2017",0.001197,0.001343,0.001180,0.001311,63,-
"Dec 01, 2017",0.001199,0.001486,0.001135,0.001198,47,-
"Nov 30, 2017",0.001179,0.001278,0.001080,0.001205,154,-
"Nov 29, 2017",0.001191,0.001373,0.001091,0.001162,66,-
"Nov 28, 2017",0.001366,0.002084,0.001188,0.001193,460,-
"Nov 27, 2017",0.001398,0.002511,0.001215,0.001362,"4,817",-
"Nov 26, 2017",0.001050,0.003106,0.000988,0.001397,"19,530",-
"Nov 25, 2017",0.000985,0.001050,0.000980,0.001050,98,-
"Nov 24, 2017",0.000963,0.001001,0.000961,0.000987,7,-
"Nov 22, 2017",0.000893,0.000913,0.000889,0.000906,1,-
"Nov 21, 2017",0.000907,0.001004,0.000858,0.000890,6,-
"Nov 20, 2017",0.001046,0.001048,0.000876,0.000906,21,-
"Nov 19, 2017",0.001012,0.001055,0.001001,0.001046,1,-
"Nov 18, 2017",0.000846,0.001022,0.000820,0.001014,1,-
"Nov 17, 2017",0.001020,0.001044,0.000837,0.000849,129,-
"Nov 16, 2017",0.000876,0.001023,0.000857,0.001021,4,-
"Nov 15, 2017",0.000860,0.000879,0.000856,0.000872,11,-
"Nov 12, 2017",0.000763,0.000772,0.000664,0.000742,8,-
"Nov 11, 2017",0.000789,0.000817,0.000748,0.000764,14,-
"Nov 10, 2017",0.000927,0.000953,0.000774,0.000792,10,-
"Nov 09, 2017",0.000940,0.000941,0.000921,0.000924,2,-
"Nov 05, 2017",0.000885,0.000909,0.000876,0.000903,20,-
"Nov 04, 2017",0.000860,0.000906,0.000840,0.000887,20,-
"Nov 03, 2017",0.000843,0.000896,0.000833,0.000862,67,-
"Nov 02, 2017",0.000875,0.000898,0.000811,0.000844,65,-
"Nov 01, 2017",0.000856,0.000875,0.000855,0.000874,75,-
"Oct 31, 2017",0.000735,0.000770,0.000731,0.000762,1,-
"Oct 30, 2017",0.000862,0.000864,0.000724,0.000738,23,-
"Oct 29, 2017",0.000694,0.000885,0.000694,0.000867,2,-
"Oct 28, 2017",0.000576,0.000587,0.000573,0.000578,1,-
"Oct 27, 2017",0.000584,0.000592,0.000570,0.000575,1,-
