Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.141175,0.159817,0.134687,0.151314,"127,801","7,058,740"
"Dec 15, 2017",0.137014,0.149805,0.133059,0.140977,"79,889","6,850,690"
"Dec 14, 2017",0.139683,0.144691,0.134465,0.136808,"79,807","6,984,140"
"Dec 13, 2017",0.167577,0.170000,0.133919,0.138161,"257,483","8,378,860"
"Dec 12, 2017",0.118698,0.176521,0.110832,0.162259,"784,961","5,934,920"
"Dec 11, 2017",0.100783,0.152190,0.100342,0.115633,"267,043","5,039,130"
"Dec 10, 2017",0.113383,0.113383,0.087770,0.101515,"64,607","5,669,140"
"Dec 09, 2017",0.109293,0.114722,0.095604,0.112925,"44,181","5,464,650"
"Dec 08, 2017",0.114546,0.118457,0.095194,0.109729,"141,297","5,727,280"
"Dec 07, 2017",0.132276,0.147262,0.103368,0.114277,"227,558","6,613,820"
"Dec 06, 2017",0.131400,0.155410,0.119693,0.136632,"301,411","6,569,980"
"Dec 05, 2017",0.118428,0.160526,0.112358,0.130636,"814,200","5,921,380"
"Dec 04, 2017",0.115565,0.122543,0.110081,0.118195,"90,338","5,778,270"
"Dec 03, 2017",0.100900,0.124863,0.099361,0.115184,"237,045","5,044,980"
"Dec 02, 2017",0.102095,0.104372,0.093080,0.099820,"70,889","5,104,760"
"Dec 01, 2017",0.090337,0.102182,0.087192,0.102182,"84,106","4,516,870"
"Nov 30, 2017",0.090915,0.102473,0.082609,0.090787,"62,267","4,545,760"
"Nov 29, 2017",0.103549,0.117219,0.087327,0.089637,"148,883","5,177,430"
"Nov 28, 2017",0.110919,0.110919,0.089705,0.101962,"317,234","5,545,930"
"Nov 27, 2017",0.115446,0.124881,0.104713,0.110632,"214,960","5,772,310"
"Nov 26, 2017",0.123323,0.127124,0.110451,0.114586,"85,965","6,166,130"
"Nov 25, 2017",0.118470,0.123364,0.112297,0.123364,"54,413","5,923,490"
"Nov 24, 2017",0.118788,0.124370,0.114788,0.118710,"65,720","5,939,380"
"Nov 23, 2017",0.121239,0.126208,0.117468,0.118950,"25,803","6,061,960"
"Nov 22, 2017",0.119115,0.126904,0.114383,0.121278,"55,285","5,955,740"
"Nov 21, 2017",0.119831,0.122444,0.112265,0.118826,"16,970","5,991,530"
"Nov 20, 2017",0.119364,0.125375,0.115713,0.119973,"31,930","5,968,200"
