Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006176,0.006674,0.005655,0.006621,23,"88,316"
"Dec 15, 2017",0.003649,0.006259,0.003471,0.006168,155,"52,181"
"Dec 14, 2017",0.003603,0.003659,0.003086,0.003644,43,"51,514"
"Dec 13, 2017",0.003801,0.003840,0.003129,0.003614,11,"54,346"
"Dec 12, 2017",0.003703,0.003907,0.003617,0.003798,19,"52,943"
"Dec 11, 2017",0.003049,0.003101,0.003036,0.003081,2,"43,603"
"Dec 10, 2017",0.002707,0.003155,0.002619,0.003072,2,"38,704"
"Dec 09, 2017",0.004391,0.004456,0.002438,0.002696,211,"62,790"
"Dec 08, 2017",0.005380,0.005695,0.004325,0.004396,83,"76,931"
"Dec 07, 2017",0.006181,0.006634,0.004128,0.005368,475,"88,384"
"Dec 06, 2017",0.002808,0.012539,0.002808,0.011008,"3,014","40,154"
"Dec 05, 2017",0.003730,0.003743,0.002319,0.002814,888,"53,335"
"Dec 04, 2017",0.003485,0.003723,0.003481,0.003723,1,"49,831"
"Dec 03, 2017",0.003439,0.003669,0.003282,0.003473,4,"49,176"
"Dec 02, 2017",0.003048,0.003102,0.003013,0.003036,91,"43,578"
"Dec 01, 2017",0.002798,0.003068,0.002649,0.003050,91,"40,009"
"Nov 30, 2017",0.002752,0.002994,0.002520,0.002812,6,"39,351"
"Nov 29, 2017",0.002780,0.003203,0.002546,0.002710,383,"39,749"
"Nov 28, 2017",0.002731,0.002894,0.002705,0.002882,25,"39,058"
"Nov 27, 2017",0.003003,0.003016,0.002690,0.002724,66,"42,939"
"Nov 26, 2017",0.002536,0.002760,0.002534,0.002700,8,"36,268"
"Nov 25, 2017",0.002494,0.002537,0.002478,0.002537,12,"35,668"
"Nov 23, 2017",0.002550,0.002562,0.002512,0.002531,3,"36,460"
"Nov 22, 2017",0.002272,0.002563,0.002262,0.002551,12,"32,487"
"Nov 21, 2017",0.002472,0.002478,0.002227,0.002266,39,"35,353"
"Nov 20, 2017",0.002172,0.002485,0.002166,0.002472,12,"31,053"
"Nov 19, 2017",0.002102,0.002257,0.002078,0.002173,17,"30,063"
"Nov 18, 2017",0.002238,0.002259,0.002082,0.002106,2,"32,005"
"Nov 16, 2017",0.001972,0.001972,0.001928,0.001951,2,"28,195"
"Nov 15, 2017",0.001455,0.001977,0.001455,0.001962,2,"20,799"
"Nov 14, 2017",0.001894,0.001949,0.001430,0.001454,55,"27,082"
"Nov 13, 2017",0.001703,0.001950,0.001689,0.001890,7,"24,345"
"Nov 12, 2017",0.001908,0.002081,0.001606,0.001700,32,"27,288"
"Nov 11, 2017",0.001907,0.001975,0.001826,0.001910,2,"27,264"
"Nov 10, 2017",0.002424,0.002494,0.001871,0.001914,33,"34,658"
"Nov 09, 2017",0.002464,0.002464,0.002157,0.002417,72,"35,236"
"Nov 08, 2017",0.003384,0.003444,0.002366,0.002467,68,"48,381"
"Nov 07, 2017",0.002296,0.002376,0.002296,0.002366,3,"32,837"
"Nov 06, 2017",0.002421,0.002450,0.002292,0.002300,3,"34,615"
"Nov 05, 2017",0.002434,0.002440,0.002410,0.002440,28,"34,809"
"Nov 04, 2017",0.002341,0.002491,0.002311,0.002439,28,"33,473"
"Nov 03, 2017",0.003231,0.003435,0.003195,0.003358,3,"46,196"
"Nov 02, 2017",0.001815,0.003370,0.001055,0.003235,343,"25,948"
"Nov 01, 2017",0.001268,0.001924,0.000957,0.001813,6,"18,128"
"Oct 31, 2017",0.002819,0.002832,0.001248,0.001269,128,"40,306"
"Oct 30, 2017",0.000985,0.002828,0.000975,0.002828,33,"14,086"
"Oct 29, 2017",0.002227,0.002254,0.000928,0.000991,6,"31,843"
"Oct 28, 2017",0.001042,0.002370,0.001040,0.002230,19,"14,906"
"Oct 26, 2017",0.002187,0.002208,0.002010,0.002015,16,"31,269"
"Oct 25, 2017",0.002207,0.002364,0.002078,0.002187,29,"31,562"
"Oct 24, 2017",0.002754,0.002754,0.000833,0.002206,162,"39,375"
"Oct 23, 2017",0.002595,0.002831,0.002525,0.002760,12,"37,109"
"Oct 22, 2017",0.003803,0.004631,0.002477,0.002599,28,"54,379"
"Oct 21, 2017",0.003154,0.004245,0.002936,0.003802,210,"45,092"
"Oct 20, 2017",0.005987,0.006040,0.003107,0.003160,349,"85,611"
"Oct 19, 2017",0.002738,0.006064,0.001599,0.005986,"2,358","39,147"
"Oct 18, 2017",0.002370,0.002752,0.002263,0.002736,47,"33,886"
