Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003855,0.003859,0.002816,0.003392,"2,237","482,984"
"Dec 15, 2017",0.002535,0.003960,0.002461,0.003850,190,"317,579"
"Dec 14, 2017",0.002335,0.002858,0.002309,0.002531,189,"292,528"
"Dec 13, 2017",0.002608,0.002812,0.002301,0.002342,235,"326,702"
"Dec 12, 2017",0.004552,0.004657,0.002602,0.002606,850,"570,273"
"Dec 11, 2017",0.003269,0.004866,0.003146,0.004462,195,"409,578"
"Dec 10, 2017",0.002598,0.010789,0.002345,0.003303,192,"325,471"
"Dec 09, 2017",0.002839,0.002885,0.001877,0.002619,159,"355,720"
"Dec 08, 2017",0.003025,0.003094,0.002421,0.002849,12,"379,011"
"Dec 07, 2017",0.002832,0.003374,0.002654,0.003018,587,"354,804"
"Dec 06, 2017",0.002601,0.003003,0.002536,0.002834,513,"325,816"
"Dec 05, 2017",0.002448,0.002865,0.002428,0.002615,26,"306,659"
"Dec 04, 2017",0.002354,0.002590,0.002287,0.002443,374,"294,917"
"Dec 03, 2017",0.002335,0.002473,0.002134,0.002346,250,"292,559"
"Dec 02, 2017",0.002089,0.002465,0.002054,0.002333,30,"261,680"
"Dec 01, 2017",0.001894,0.002091,0.001751,0.002091,15,"237,287"
"Nov 30, 2017",0.002251,0.002345,0.001747,0.001903,100,"282,060"
"Nov 29, 2017",0.002289,0.002760,0.002076,0.002217,32,"286,734"
"Nov 28, 2017",0.002044,0.002388,0.001980,0.002290,201,"256,042"
"Nov 27, 2017",0.001960,0.002125,0.001925,0.002039,65,"245,488"
"Nov 26, 2017",0.002158,0.002261,0.001906,0.001959,314,"270,360"
"Nov 25, 2017",0.002159,0.002205,0.001862,0.002159,136,"270,526"
"Nov 24, 2017",0.001912,0.002279,0.001860,0.002164,58,"239,588"
"Nov 23, 2017",0.002019,0.002074,0.001826,0.001928,21,"252,887"
"Nov 22, 2017",0.001719,0.002040,0.001713,0.002023,76,"215,418"
"Nov 21, 2017",0.001861,0.001866,0.001637,0.001715,53,"233,182"
"Nov 20, 2017",0.001870,0.002118,0.001826,0.001861,48,"234,302"
"Nov 19, 2017",0.002376,0.002376,0.001708,0.001871,115,"297,645"
"Nov 18, 2017",0.001636,0.002396,0.001588,0.002380,15,"205,016"
"Nov 17, 2017",0.001935,0.002100,0.001553,0.001643,70,"242,471"
"Nov 16, 2017",0.002053,0.002053,0.001641,0.001939,46,"257,194"
"Nov 15, 2017",0.001482,0.002165,0.001482,0.002042,299,"185,706"
"Nov 14, 2017",0.001615,0.003244,0.001464,0.001481,208,"202,297"
"Nov 13, 2017",0.001318,0.003369,0.001196,0.001611,688,"165,169"
"Nov 12, 2017",0.001426,0.001533,0.001182,0.001316,146,"178,676"
"Nov 11, 2017",0.001530,0.001576,0.001283,0.001427,171,"191,645"
"Nov 10, 2017",0.002567,0.002641,0.001455,0.001545,166,"321,577"
"Nov 09, 2017",0.001885,0.002591,0.001811,0.002559,17,"236,166"
"Nov 08, 2017",0.001765,0.001947,0.001754,0.001889,9,"221,066"
"Nov 07, 2017",0.001674,0.001785,0.001674,0.001770,23,"209,742"
"Nov 06, 2017",0.001794,0.001799,0.001671,0.001677,35,"224,721"
"Nov 05, 2017",0.001920,0.001935,0.001715,0.001737,169,"240,482"
"Nov 04, 2017",0.001818,0.002015,0.001779,0.001923,86,"227,758"
"Nov 03, 2017",0.001319,0.001828,0.001305,0.001822,12,"165,275"
"Nov 02, 2017",0.001655,0.001807,0.001316,0.001321,8,"207,340"
"Nov 01, 2017",0.001515,0.001821,0.001498,0.001653,36,"189,834"
"Oct 31, 2017",0.001302,0.002399,0.001293,0.001517,15,"163,168"
"Oct 30, 2017",0.001674,0.001715,0.000994,0.001310,10,"209,675"
"Oct 29, 2017",0.001775,0.001813,0.001626,0.001683,7,"222,342"
"Oct 28, 2017",0.001588,0.002027,0.001538,0.001777,9,"198,936"
"Oct 27, 2017",0.001588,0.001617,0.001540,0.001584,28,"198,955"
"Oct 26, 2017",0.001453,0.002205,0.001424,0.001588,5,"181,968"
"Oct 25, 2017",0.001384,0.001463,0.001297,0.001453,16,"173,426"
"Oct 24, 2017",0.001512,0.001521,0.001361,0.001383,150,"189,391"
"Oct 23, 2017",0.001752,0.001764,0.001394,0.001515,422,"219,471"
"Oct 22, 2017",0.000811,0.002000,0.000768,0.001755,150,"101,638"
"Oct 21, 2017",0.001557,0.001947,0.000697,0.000811,41,"195,007"
"Oct 20, 2017",0.001563,0.002114,0.001545,0.001560,222,"195,779"
"Oct 19, 2017",0.002201,0.002246,0.001528,0.001562,197,"275,734"
"Oct 18, 2017",0.002193,0.002211,0.001419,0.002200,83,"274,681"
"Oct 17, 2017",0.005123,0.005123,0.002026,0.002194,"1,335","641,853"
"Oct 16, 2017",0.001844,0.006695,0.001706,0.005123,"1,642","230,955"
"Oct 15, 2017",0.001768,0.002712,0.001565,0.001843,713,"221,504"
"Oct 14, 2017",0.001581,0.002241,0.001564,0.001765,173,"198,047"
"Oct 13, 2017",0.001523,0.015568,0.001461,0.001580,"1,082","190,851"
"Oct 12, 2017",0.001486,0.001656,0.001479,0.001519,4,"186,203"
"Oct 11, 2017",0.001278,0.004391,0.001268,0.001482,176,"160,121"
"Oct 10, 2017",0.001347,0.001368,0.001242,0.001274,22,"168,787"
"Oct 09, 2017",0.001195,0.001459,0.001190,0.001347,275,"149,741"
"Oct 08, 2017",0.001379,0.002330,0.001188,0.001195,240,"172,806"
"Oct 07, 2017",0.001356,0.001735,0.001348,0.001383,161,"169,866"
"Oct 06, 2017",0.001383,0.001414,0.001342,0.001355,26,"173,235"
"Oct 05, 2017",0.001182,0.001384,0.001162,0.001383,37,"148,080"
"Oct 04, 2017",0.001389,0.001391,0.001181,0.001181,24,"174,034"
"Oct 03, 2017",0.001438,0.001582,0.001335,0.001386,62,"180,110"
"Oct 02, 2017",0.001659,0.001686,0.001425,0.001438,83,"207,778"
"Oct 01, 2017",0.001641,0.001686,0.001493,0.001659,27,"205,544"
"Sep 30, 2017",0.001460,0.001806,0.001307,0.001640,124,"182,936"
"Sep 29, 2017",0.001376,0.001585,0.001328,0.001460,57,"172,431"
"Sep 28, 2017",0.001433,0.002436,0.001170,0.001377,346,"179,496"
"Sep 27, 2017",0.001251,0.001515,0.001251,0.001433,1,"156,669"
"Sep 26, 2017",0.001269,0.001284,0.001095,0.001252,49,"159,037"
"Sep 25, 2017",0.001196,0.001296,0.001196,0.001278,24,"149,877"
"Sep 24, 2017",0.001193,0.001340,0.001129,0.001198,153,"149,398"
"Sep 23, 2017",0.001161,0.001423,0.001151,0.001193,128,"145,501"
"Sep 22, 2017",0.001083,0.001228,0.001082,0.001165,33,"135,667"
"Sep 21, 2017",0.001120,0.001156,0.001069,0.001084,53,"140,321"
"Sep 20, 2017",0.001178,0.001307,0.001123,0.001126,22,"147,578"
"Sep 19, 2017",0.001230,0.001248,0.000960,0.001180,165,"154,077"
"Sep 18, 2017",0.001162,0.001368,0.001162,0.001227,252,"145,588"
