Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.022833,0.032143,0.022535,0.030897,"44,531","7,219,460"
"Dec 15, 2017",0.023581,0.026771,0.021765,0.022803,"7,467","7,456,200"
"Dec 14, 2017",0.018893,0.023574,0.018172,0.023535,"5,891","5,973,880"
"Dec 13, 2017",0.024816,0.025087,0.017892,0.019293,"6,570","7,846,450"
"Dec 12, 2017",0.019514,0.024988,0.018691,0.024788,"3,579","6,170,050"
"Dec 11, 2017",0.021166,0.022717,0.019432,0.019457,"7,476","6,692,370"
"Dec 10, 2017",0.021799,0.023516,0.019342,0.021262,"1,982","6,892,560"
"Dec 09, 2017",0.026210,0.026625,0.018735,0.021726,"4,389","8,287,490"
"Dec 08, 2017",0.023648,0.026234,0.020014,0.026231,"7,523","7,477,430"
"Dec 07, 2017",0.022141,0.071464,0.020645,0.023596,"7,236","7,000,900"
"Dec 06, 2017",0.017179,0.022993,0.016888,0.022176,"9,659","5,431,960"
"Dec 05, 2017",0.019849,0.020437,0.017117,0.017224,"4,113","6,275,920"
"Dec 04, 2017",0.019852,0.020554,0.017792,0.019814,"12,627","6,277,170"
"Dec 03, 2017",0.023999,0.023999,0.018956,0.019787,"9,384","7,588,300"
"Dec 02, 2017",0.018838,0.034414,0.018838,0.024018,"18,949","5,956,470"
"Dec 01, 2017",0.021076,0.021551,0.017375,0.018853,"9,253","6,664,010"
"Nov 30, 2017",0.025116,0.029109,0.018275,0.021187,"19,597","7,941,350"
"Nov 29, 2017",0.012312,0.192818,0.011758,0.024700,"105,456","3,892,900"
"Nov 28, 2017",0.012811,0.016948,0.011379,0.012324,"4,982","4,050,840"
"Nov 27, 2017",0.011918,0.014691,0.011918,0.012779,"3,012","3,768,250"
"Nov 26, 2017",0.011489,0.012074,0.010936,0.011915,394,"3,632,830"
"Nov 25, 2017",0.010654,0.011754,0.010548,0.011466,"1,297","3,368,600"
"Nov 24, 2017",0.011416,0.011869,0.010663,0.010672,"2,783","3,609,640"
"Nov 23, 2017",0.013461,0.017977,0.011178,0.011432,"5,105","4,256,350"
"Nov 22, 2017",0.011062,0.013555,0.010568,0.013461,"3,719","3,497,820"
"Nov 21, 2017",0.012156,0.012343,0.009905,0.010866,"3,277","2,440,290"
"Nov 20, 2017",0.011983,0.012453,0.010277,0.012154,"5,358","2,405,540"
"Nov 19, 2017",0.010319,0.012424,0.009810,0.011990,"5,533","2,071,430"
"Nov 18, 2017",0.011081,0.013327,0.009870,0.010336,"1,929","2,224,410"
"Nov 17, 2017",0.011265,0.012940,0.010984,0.011122,"2,909","2,261,370"
"Nov 16, 2017",0.012153,0.013064,0.010398,0.011283,"3,617","2,439,670"
"Nov 15, 2017",0.009997,0.013155,0.009997,0.012094,"5,935","2,006,880"
"Nov 14, 2017",0.009580,0.010081,0.009053,0.009990,"2,120","1,923,160"
"Nov 13, 2017",0.008809,0.009835,0.008612,0.009563,606,"1,768,260"
"Nov 12, 2017",0.008949,0.009934,0.008290,0.008798,"2,639","1,796,440"
"Nov 11, 2017",0.010068,0.010545,0.008853,0.008955,"1,434","2,021,010"
"Nov 10, 2017",0.010032,0.012637,0.009186,0.010103,"8,716","2,013,940"
"Nov 09, 2017",0.012247,0.013740,0.010091,0.010370,"6,574","2,458,530"
"Nov 08, 2017",0.014929,0.015784,0.008734,0.012261,"18,054","2,996,910"
"Nov 07, 2017",0.015006,0.016170,0.014620,0.014843,"2,126","3,012,400"
"Nov 06, 2017",0.015395,0.016837,0.014944,0.015075,"2,114","3,090,500"
"Nov 05, 2017",0.017376,0.018209,0.015197,0.015362,"8,226","3,488,240"
"Nov 04, 2017",0.016366,0.017808,0.016081,0.017399,"3,089","3,285,500"
"Nov 03, 2017",0.020111,0.025769,0.016094,0.016400,"4,160","4,037,200"
"Nov 02, 2017",0.023585,0.049594,0.013025,0.020125,"20,612","4,734,460"
"Nov 01, 2017",0.014153,0.031711,0.012791,0.023525,"5,616","2,841,030"
"Oct 31, 2017",0.012082,0.017639,0.011844,0.014163,"2,627","2,425,260"
"Oct 30, 2017",0.015699,0.015702,0.012217,0.012245,683,"3,151,410"
"Oct 29, 2017",0.015143,0.016248,0.014942,0.015801,"3,181","3,039,720"
"Oct 28, 2017",0.014912,0.015521,0.014429,0.015164,"2,217","2,993,370"
"Oct 27, 2017",0.015539,0.017410,0.014419,0.014872,"1,247","3,119,140"
"Oct 26, 2017",0.016461,0.018380,0.015219,0.015539,"2,060","3,304,270"
"Oct 25, 2017",0.016189,0.020081,0.015765,0.016164,"2,402","3,249,650"
"Oct 24, 2017",0.014244,0.021970,0.013136,0.016179,"2,203","2,859,170"
