Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002294,0.002944,0.002265,0.002921,9,"221,428"
"Dec 15, 2017",0.001991,0.002350,0.001990,0.002291,2,"191,947"
"Dec 14, 2017",0.001965,0.001998,0.001943,0.001988,15,"189,287"
"Dec 13, 2017",0.002073,0.002101,0.001912,0.001971,4,"199,473"
"Dec 12, 2017",0.002051,0.002131,0.002048,0.002071,2,"197,336"
"Dec 10, 2017",0.001504,0.001504,0.001324,0.001387,156,"144,211"
"Dec 09, 2017",0.002114,0.002146,0.001354,0.001498,168,"202,678"
"Dec 08, 2017",0.002083,0.002117,0.001690,0.002116,17,"199,563"
"Dec 07, 2017",0.002041,0.002078,0.002005,0.002078,6,"195,558"
"Dec 06, 2017",0.001521,0.001670,0.001521,0.001655,9,"145,601"
"Dec 05, 2017",0.001515,0.001549,0.001494,0.001524,8,"144,985"
"Dec 04, 2017",0.002024,0.002086,0.001492,0.001512,61,"193,088"
"Dec 03, 2017",0.001421,0.002131,0.001412,0.002017,177,"135,566"
"Dec 02, 2017",0.001449,0.001455,0.001398,0.001420,24,"138,235"
"Dec 01, 2017",0.001599,0.001753,0.001514,0.001728,108,"152,437"
"Nov 30, 2017",0.001081,0.001622,0.000999,0.001607,116,"103,055"
"Nov 29, 2017",0.001291,0.001487,0.001000,0.001065,381,"122,985"
"Nov 28, 2017",0.001268,0.001296,0.001256,0.001292,2,"120,820"
"Nov 27, 2017",0.001235,0.001267,0.001233,0.001265,1,"117,614"
"Nov 26, 2017",0.001137,0.001150,0.001136,0.001148,1,"108,262"
"Nov 25, 2017",0.001067,0.001137,0.001061,0.001137,1,"101,598"
"Nov 24, 2017",0.001045,0.001489,0.001045,0.001069,52,"99,432"
"Nov 23, 2017",0.001379,0.001383,0.000905,0.001046,99,"131,242"
"Nov 22, 2017",0.000154,0.001415,0.000152,0.001377,111,"14,670"
"Nov 21, 2017",0.000165,0.000167,0.000152,0.000154,21,"15,673"
"Nov 20, 2017",0.001126,0.001157,0.000165,0.000165,2,"107,045"
"Nov 19, 2017",0.000156,0.001136,0.000155,0.001127,46,"14,800"
"Nov 18, 2017",0.001137,0.001137,0.000156,0.000156,2,"108,052"
"Nov 17, 2017",0.000579,0.001271,0.000482,0.001142,9,"54,967"
"Nov 16, 2017",0.000335,0.001185,0.000327,0.000580,117,"31,713"
"Nov 15, 2017",0.000066,0.000334,0.000066,0.000333,24,"6,260"
"Nov 14, 2017",0.000389,0.000392,0.000065,0.000066,20,"36,831"
"Nov 13, 2017",0.000939,0.000970,0.000932,0.000970,2,"88,880"
"Nov 12, 2017",0.000894,0.001017,0.000536,0.000938,3,"84,522"
"Nov 11, 2017",0.001194,0.001420,0.000875,0.000894,31,"112,647"
"Nov 10, 2017",0.000927,0.001390,0.000927,0.001199,8,"87,327"
"Nov 09, 2017",0.000712,0.001343,0.000695,0.000924,76,"67,043"
"Nov 08, 2017",0.000994,0.001309,0.000683,0.000713,9,"93,527"
"Nov 07, 2017",0.001740,0.001772,0.000976,0.000997,122,"163,712"
"Nov 06, 2017",0.000524,0.001749,0.000522,0.001743,1,"49,191"
"Nov 05, 2017",0.000074,0.000536,0.000073,0.000522,5,"6,901"
"Nov 04, 2017",0.001433,0.001484,0.000073,0.000074,2,"133,949"
"Nov 03, 2017",0.001846,0.001867,0.001422,0.001437,1,"172,456"
"Nov 02, 2017",0.001613,0.001655,0.000407,0.000423,0,"150,582"
"Nov 01, 2017",0.001547,0.001614,0.001528,0.001611,264,"144,127"
"Oct 31, 2017",0.000858,0.001548,0.000858,0.001548,192,"79,861"
"Oct 30, 2017",0.001108,0.001119,0.000845,0.000861,4,"103,068"
"Oct 29, 2017",0.000458,0.001138,0.000458,0.001115,17,"42,579"
"Oct 28, 2017",0.000518,0.000528,0.000454,0.000459,21,"48,138"
"Oct 27, 2017",0.000824,0.000839,0.000181,0.000517,894,"76,502"
"Oct 26, 2017",0.000860,0.000898,0.000812,0.000824,20,"79,740"
"Oct 25, 2017",0.000828,0.000862,0.000807,0.000860,1,"76,695"
"Oct 24, 2017",0.001056,0.001056,0.000823,0.000827,1,"97,718"
"Oct 23, 2017",0.000900,0.001079,0.000852,0.001058,6,"83,183"
"Oct 22, 2017",0.000748,0.001115,0.000741,0.000901,47,"69,038"
"Oct 21, 2017",0.000919,0.001127,0.000747,0.000747,426,"84,671"
"Oct 20, 2017",0.001140,0.001143,0.000533,0.000921,66,"105,007"
"Oct 18, 2017",0.000662,0.001259,0.000607,0.001259,2,"60,884"
"Oct 17, 2017",0.001618,0.001623,0.000658,0.000662,5,"148,610"
"Oct 16, 2017",0.001594,0.001626,0.001559,0.001618,9,"146,031"
"Oct 15, 2017",0.000309,0.001742,0.000306,0.001594,21,"28,236"
"Oct 14, 2017",0.001527,0.001542,0.000295,0.000308,18,"139,547"
"Oct 13, 2017",0.000773,0.001527,0.000747,0.001527,1,"70,623"
"Oct 12, 2017",0.000691,0.000773,0.000467,0.000771,22,"63,069"
"Oct 11, 2017",0.001297,0.001316,0.000687,0.000690,1,"118,339"
"Oct 10, 2017",0.001340,0.001361,0.001336,0.001354,5,"122,152"
"Oct 09, 2017",0.001300,0.001364,0.001299,0.001340,5,"118,422"
"Oct 08, 2017",0.001244,0.001256,0.001240,0.001256,1,"113,005"
"Oct 07, 2017",0.000792,0.001250,0.000495,0.001248,1,"71,866"
"Oct 06, 2017",0.000533,0.001149,0.000532,0.000792,79,"48,292"
"Oct 05, 2017",0.000295,0.000565,0.000295,0.000523,19,"26,743"
"Oct 04, 2017",0.001080,0.001087,0.000168,0.000295,18,"97,633"
"Oct 03, 2017",0.000453,0.001079,0.000348,0.001077,0,"40,945"
"Oct 02, 2017",0.001071,0.001153,0.000452,0.000453,9,"96,619"
"Oct 01, 2017",0.001130,0.001135,0.001024,0.001071,6,"101,837"
"Sep 30, 2017",0.000501,0.001133,0.000500,0.001129,70,"45,115"
"Sep 29, 2017",0.001090,0.001100,0.000498,0.000501,49,"98,141"
"Sep 28, 2017",0.001047,0.001095,0.001035,0.001091,3,"94,013"
"Sep 27, 2017",0.000754,0.001051,0.000312,0.001047,3,"67,731"
"Sep 26, 2017",0.000472,0.000774,0.000472,0.000757,3,"42,360"
"Sep 25, 2017",0.000338,0.000529,0.000310,0.000472,34,"30,332"
