Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.275391,0.352520,0.207345,0.349756,"1,122",-
"Dec 15, 2017",0.197392,0.350119,0.197354,0.275004,802,-
"Dec 14, 2017",0.194868,0.340032,0.192766,0.197096,740,-
"Dec 13, 2017",0.190036,0.346130,0.181125,0.195496,224,-
"Dec 12, 2017",0.235713,0.248621,0.189770,0.189877,455,-
"Dec 11, 2017",0.213458,0.245059,0.212525,0.234959,23,-
"Dec 10, 2017",0.268660,0.268660,0.193400,0.215010,229,-
"Dec 09, 2017",0.290569,0.294874,0.241979,0.267575,0,-
"Dec 08, 2017",0.315653,0.320360,0.251587,0.290862,2,-
"Dec 07, 2017",0.270734,0.316269,0.267271,0.314912,32,-
"Dec 06, 2017",0.192547,0.271582,0.192547,0.271200,704,-
"Dec 05, 2017",0.231592,0.232390,0.192974,0.192974,182,-
"Dec 04, 2017",0.208971,0.231138,0.208740,0.231138,111,-
"Dec 03, 2017",0.203207,0.220035,0.196822,0.208280,44,-
"Dec 02, 2017",0.202776,0.208562,0.199844,0.203013,43,-
"Dec 01, 2017",0.184144,0.255009,0.172436,0.202948,117,-
"Nov 30, 2017",0.178299,0.186778,0.169400,0.185061,291,-
"Nov 23, 2017",0.164069,0.185358,0.079080,0.079614,2,-
"Nov 22, 2017",0.129038,0.192401,0.124259,0.164122,509,-
"Nov 21, 2017",0.122863,0.132477,0.090728,0.128852,215,-
"Nov 20, 2017",0.153991,0.180143,0.122787,0.122787,"1,533",-
"Nov 19, 2017",0.134966,0.153878,0.134966,0.153878,76,-
"Nov 18, 2017",0.092379,0.136134,0.092149,0.135125,0,-
"Nov 17, 2017",0.138026,0.141895,0.082808,0.092237,0,-
"Nov 16, 2017",0.152184,0.183659,0.083111,0.141987,165,-
"Nov 15, 2017",0.164648,0.177123,0.146667,0.151538,0,-
"Nov 14, 2017",0.155677,0.167343,0.144017,0.165579,306,-
"Nov 13, 2017",0.155188,0.159169,0.147970,0.155650,31,-
"Nov 11, 2017",0.116528,0.121548,0.113100,0.116166,37,-
"Nov 10, 2017",0.124618,0.128213,0.114001,0.116906,37,-
"Nov 09, 2017",0.133319,0.133319,0.123834,0.124249,18,-
"Nov 08, 2017",0.127018,0.140021,0.126265,0.133457,34,-
"Nov 07, 2017",0.124566,0.129031,0.115284,0.127418,118,-
"Nov 06, 2017",0.125951,0.132023,0.121132,0.124746,32,-
"Nov 05, 2017",0.125399,0.127682,0.121147,0.125832,87,-
"Nov 04, 2017",0.124754,0.128337,0.124097,0.125637,1,-
"Nov 03, 2017",0.141267,0.146853,0.129428,0.138896,95,-
"Nov 02, 2017",0.214122,0.215974,0.109395,0.140919,102,-
"Nov 01, 2017",0.114057,0.237589,0.112671,0.212841,2,-
"Oct 31, 2017",0.109275,0.114141,0.109070,0.114141,12,-
"Oct 29, 2017",0.165675,0.182872,0.165234,0.179612,0,-
"Oct 28, 2017",0.104420,0.166526,0.101330,0.165901,0,-
"Oct 27, 2017",0.100286,0.107572,0.092008,0.104381,40,-
"Oct 26, 2017",0.105739,0.106482,0.094388,0.100307,49,-
"Oct 25, 2017",0.104212,0.107085,0.101247,0.105858,34,-
"Oct 21, 2017",0.177498,0.182070,0.176264,0.180890,36,-
"Oct 20, 2017",0.154594,0.180633,0.114469,0.177872,104,-
"Oct 19, 2017",0.151397,0.172920,0.145224,0.154550,4,-
"Oct 18, 2017",0.114003,0.152193,0.112171,0.151439,150,-
"Oct 17, 2017",0.175020,0.175499,0.112683,0.113995,19,-
"Oct 16, 2017",0.155373,0.175869,0.118419,0.174994,17,-
"Oct 15, 2017",0.123506,0.190866,0.123506,0.155355,10,-
"Oct 14, 2017",0.113207,0.123500,0.111908,0.123482,0,-
"Oct 13, 2017",0.115484,0.119633,0.095918,0.113178,24,-
"Oct 12, 2017",0.125530,0.167265,0.099623,0.115376,89,-
"Oct 11, 2017",0.152224,0.152539,0.123923,0.125424,164,-
"Oct 10, 2017",0.121246,0.155946,0.109174,0.152243,537,-
"Oct 09, 2017",0.119673,0.126826,0.118006,0.121251,668,-
"Oct 08, 2017",0.120095,0.120095,0.115139,0.119642,82,-
"Oct 07, 2017",0.118203,0.120700,0.116914,0.120417,18,-
"Oct 06, 2017",0.112413,0.118979,0.112187,0.118165,0,-
"Oct 05, 2017",0.105136,0.115251,0.100576,0.112414,44,-
"Oct 04, 2017",0.111433,0.127079,0.104076,0.105083,339,-
"Oct 03, 2017",0.125844,0.126201,0.109672,0.111306,414,-
"Oct 02, 2017",0.158598,0.161364,0.124041,0.125842,195,-
"Oct 01, 2017",0.155221,0.159303,0.131458,0.158635,121,-
"Sep 30, 2017",0.108514,0.155689,0.108412,0.155137,28,-
"Sep 29, 2017",0.153400,0.155170,0.108007,0.108500,57,-
"Sep 28, 2017",0.149343,0.161954,0.147812,0.153424,192,-
"Sep 27, 2017",0.131993,0.149578,0.131993,0.149341,65,-
"Sep 26, 2017",0.130415,0.137750,0.129640,0.131994,72,-
"Sep 25, 2017",0.123773,0.130415,0.115467,0.130415,20,-
"Sep 24, 2017",0.124658,0.124658,0.123525,0.123801,308,-
"Sep 23, 2017",0.123295,0.124869,0.123046,0.124661,310,-
"Sep 22, 2017",0.123394,0.124442,0.122785,0.123370,307,-
"Sep 21, 2017",0.126445,0.126445,0.123225,0.123424,307,-
"Sep 17, 2017",0.114883,0.114883,0.104443,0.104443,182,-
"Sep 16, 2017",0.136094,0.145342,0.106790,0.114562,199,-
"Sep 15, 2017",0.139096,0.141618,0.083219,0.135284,337,-
"Sep 13, 2017",0.134861,0.134861,0.120715,0.120715,9,-
"Sep 12, 2017",0.134496,0.156103,0.134071,0.147240,11,-
"Sep 11, 2017",0.119365,0.138481,0.119098,0.134390,10,-
"Sep 10, 2017",0.139969,0.162449,0.117116,0.118926,9,-
"Sep 09, 2017",0.133709,0.144251,0.128643,0.140046,42,-
"Sep 08, 2017",0.164384,0.173383,0.131701,0.133634,54,-
"Sep 07, 2017",0.211966,0.211966,0.161550,0.164388,75,-
"Sep 06, 2017",0.160199,0.210439,0.129469,0.210439,400,-
"Sep 05, 2017",0.112265,0.163034,0.104174,0.160016,1,-
"Sep 04, 2017",0.194487,0.194487,0.108083,0.111795,698,-
"Sep 02, 2017",0.180690,0.194614,0.157128,0.162322,7,-
"Sep 01, 2017",0.220519,0.223590,0.168685,0.180690,9,-
"Aug 31, 2017",0.204249,0.221694,0.198176,0.220479,38,-
"Aug 30, 2017",0.189522,0.208007,0.178868,0.204249,2,-
"Aug 29, 2017",0.171188,0.202916,0.163211,0.189598,98,-
"Aug 28, 2017",0.185767,0.185787,0.158316,0.171188,281,-
"Aug 27, 2017",0.212536,0.215350,0.182385,0.185895,77,-
"Aug 26, 2017",0.178899,0.213047,0.106781,0.212584,6,-
"Aug 25, 2017",0.181472,0.186608,0.176393,0.178859,40,-
"Aug 24, 2017",0.178260,0.202303,0.178260,0.181742,71,-
"Aug 23, 2017",0.181522,0.182567,0.175626,0.178183,3,-
"Aug 22, 2017",0.160362,0.164773,0.149025,0.157334,51,-
"Aug 21, 2017",0.186241,0.198333,0.159039,0.160348,53,-
"Aug 20, 2017",0.172827,0.195626,0.162877,0.186497,127,-
"Aug 19, 2017",0.170564,0.173191,0.144633,0.172829,58,-
"Aug 18, 2017",0.114391,0.194958,0.112505,0.170659,80,-
"Aug 17, 2017",0.173209,0.178854,0.107150,0.114670,"1,357",-
"Aug 16, 2017",0.170426,0.211465,0.170426,0.173224,7,-
"Aug 15, 2017",0.186756,0.226967,0.164144,0.170302,503,-
"Aug 14, 2017",0.196461,0.226501,0.181406,0.186406,152,-
"Aug 13, 2017",0.185552,0.199492,0.174273,0.196405,530,-
"Aug 12, 2017",0.214777,0.225545,0.179380,0.185724,43,-
"Aug 11, 2017",0.204785,0.217903,0.200634,0.214841,41,-
"Aug 10, 2017",0.174740,0.211308,0.173117,0.204793,414,-
"Aug 09, 2017",0.193192,0.193239,0.173437,0.174736,118,-
"Aug 08, 2017",0.181604,0.203432,0.181593,0.193212,51,-
"Aug 07, 2017",0.172546,0.205503,0.164588,0.181560,386,-
"Aug 06, 2017",0.196617,0.201527,0.167361,0.172745,141,-
"Aug 05, 2017",0.186700,0.202168,0.177484,0.196604,86,-
"Aug 04, 2017",0.170614,0.187231,0.159490,0.187231,486,-
"Aug 03, 2017",0.159883,0.163879,0.159004,0.163064,249,-
"Aug 02, 2017",0.158458,0.166008,0.150710,0.160349,245,-
"Aug 01, 2017",0.150012,0.158458,0.148300,0.158458,5,-
"Jul 31, 2017",0.150144,0.150144,0.148037,0.149202,159,-
"Jul 30, 2017",0.184636,0.186205,0.143217,0.150019,160,-
"Jul 29, 2017",0.173780,0.185289,0.145208,0.184653,222,-
"Jul 28, 2017",0.185208,0.188067,0.169995,0.174015,85,-
"Jul 27, 2017",0.177706,0.185947,0.176268,0.184838,37,-
"Jul 26, 2017",0.184610,0.199553,0.168804,0.177203,5,-
"Jul 25, 2017",0.233910,0.237388,0.170800,0.184899,56,-
"Jul 24, 2017",0.219796,0.238408,0.210102,0.233912,266,-
"Jul 23, 2017",0.236828,0.248072,0.207278,0.219876,61,-
"Jul 22, 2017",0.203581,0.240943,0.203409,0.236828,168,-
"Jul 21, 2017",0.269542,0.275461,0.144718,0.203603,204,-
"Jul 20, 2017",0.173817,0.269542,0.173817,0.269542,0,-
"Jul 19, 2017",0.152727,0.211993,0.143163,0.173817,74,-
"Jul 18, 2017",0.154955,0.158998,0.127596,0.152727,11,-
"Jul 17, 2017",0.208904,0.209317,0.145228,0.154602,30,-
"Jul 16, 2017",0.209044,0.209212,0.208741,0.208908,778,-
"Jul 15, 2017",0.209726,0.209740,0.209054,0.209058,780,-
"Jul 14, 2017",0.210183,0.210227,0.209525,0.209740,786,-
"Jul 13, 2017",0.210369,0.241663,0.210131,0.210190,789,-
"Jul 12, 2017",0.210046,0.210447,0.209826,0.210361,790,-
"Jul 11, 2017",0.242641,0.242641,0.185159,0.210091,788,-
"Jul 10, 2017",0.311171,0.311171,0.242613,0.242644,25,-
"Jul 09, 2017",0.179309,0.370853,0.179309,0.310836,"2,288",-
