Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.032156,0.042169,0.032008,0.038244,395,"248,211"
"Dec 15, 2017",0.033075,0.035867,0.031904,0.032140,194,"255,300"
"Dec 14, 2017",0.032446,0.035819,0.032089,0.033023,89,"250,446"
"Dec 13, 2017",0.034221,0.038034,0.032318,0.032551,"1,049","264,151"
"Dec 12, 2017",0.030181,0.039044,0.029855,0.034191,791,"232,963"
"Dec 11, 2017",0.014778,0.048341,0.014727,0.030083,"1,322","114,072"
"Dec 10, 2017",0.022889,0.022889,0.011666,0.014908,96,"176,680"
"Dec 09, 2017",0.019937,0.029388,0.012012,0.022799,277,"153,890"
"Dec 08, 2017",0.014742,0.019957,0.011959,0.019957,205,"113,793"
"Dec 07, 2017",0.011816,0.019073,0.011667,0.014709,152,"91,203"
"Dec 06, 2017",0.011702,0.015775,0.010741,0.011828,435,"90,327"
"Dec 05, 2017",0.014336,0.014657,0.011728,0.011728,120,"110,658"
"Dec 04, 2017",0.011162,0.014308,0.010719,0.014308,7,"86,155"
"Dec 03, 2017",0.011150,0.014888,0.011019,0.011137,11,"86,068"
"Dec 02, 2017",0.014479,0.014896,0.011125,0.011140,104,"111,759"
"Dec 01, 2017",0.012828,0.014945,0.011318,0.014491,87,"99,016"
"Nov 30, 2017",0.010217,0.014026,0.007750,0.012892,105,"78,867"
"Nov 29, 2017",0.011800,0.012681,0.009338,0.010072,587,"91,080"
"Nov 28, 2017",0.012779,0.013564,0.011799,0.011810,62,"98,644"
"Nov 27, 2017",0.013381,0.014483,0.012586,0.012746,"1,005","103,288"
"Nov 26, 2017",0.012805,0.015003,0.012784,0.013379,47,"98,841"
"Nov 25, 2017",0.011182,0.012809,0.011122,0.012809,31,"86,317"
"Nov 24, 2017",0.010565,0.012842,0.010407,0.011206,12,"81,548"
"Nov 23, 2017",0.011592,0.011649,0.010648,0.010648,23,"89,478"
"Nov 22, 2017",0.012380,0.015561,0.009940,0.011596,245,"95,563"
"Nov 21, 2017",0.022087,0.022102,0.011614,0.012354,125,"170,487"
"Nov 20, 2017",0.011580,0.022204,0.011441,0.022083,324,"89,381"
"Nov 19, 2017",0.014204,0.015723,0.011503,0.011585,16,"109,635"
"Nov 18, 2017",0.010970,0.014571,0.010634,0.014233,70,"84,673"
"Nov 17, 2017",0.011296,0.011562,0.010865,0.011012,30,"87,195"
"Nov 16, 2017",0.011317,0.012179,0.010653,0.011315,100,"87,355"
"Nov 15, 2017",0.010513,0.012198,0.010513,0.011258,10,"81,145"
"Nov 14, 2017",0.010438,0.017287,0.009257,0.010505,103,"80,572"
"Nov 13, 2017",0.008450,0.017148,0.008384,0.010416,495,"65,224"
"Nov 12, 2017",0.006568,0.009600,0.006146,0.008438,225,"50,699"
"Nov 11, 2017",0.006378,0.008310,0.005922,0.006572,74,"49,228"
"Nov 10, 2017",0.006845,0.007315,0.006258,0.006400,16,"52,834"
"Nov 09, 2017",0.007035,0.007543,0.006220,0.006824,60,"54,299"
"Nov 08, 2017",0.006623,0.007291,0.006584,0.007044,15,"51,123"
"Nov 07, 2017",0.006750,0.007561,0.006508,0.006644,98,"52,105"
"Nov 06, 2017",0.007319,0.008537,0.006761,0.006761,71,"56,493"
"Nov 05, 2017",0.008108,0.008832,0.007222,0.007303,83,"62,586"
"Nov 04, 2017",0.006661,0.008984,0.005984,0.008122,34,"51,416"
"Nov 03, 2017",0.007654,0.008507,0.006654,0.006678,64,"59,077"
"Nov 02, 2017",0.006863,0.007701,0.006863,0.007664,38,"52,974"
"Nov 01, 2017",0.005735,0.007331,0.005669,0.006855,134,"44,269"
"Oct 31, 2017",0.003812,0.005739,0.003792,0.005739,44,"29,427"
"Oct 30, 2017",0.007157,0.007176,0.003675,0.003825,69,"55,241"
"Oct 29, 2017",0.006350,0.007218,0.006262,0.007199,12,"48,994"
"Oct 28, 2017",0.006398,0.006517,0.006089,0.006481,10,"49,353"
"Oct 27, 2017",0.007043,0.007130,0.006269,0.006380,63,"54,324"
"Oct 26, 2017",0.007030,0.007288,0.006805,0.007041,12,"54,216"
"Oct 25, 2017",0.005904,0.007933,0.005730,0.007031,103,"45,521"
