Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.006706,0.009421,0.006679,0.009348,35,-
"Dec 15, 2017",0.006303,0.006868,0.005340,0.006696,31,-
"Dec 14, 2017",0.006386,0.006477,0.005117,0.006294,200,-
"Dec 13, 2017",0.006738,0.006827,0.006215,0.006407,12,-
"Dec 12, 2017",0.007745,0.007855,0.002219,0.006732,"2,170",-
"Dec 11, 2017",0.005336,0.007927,0.004418,0.007720,220,-
"Dec 10, 2017",0.008571,0.008804,0.005122,0.005375,466,-
"Dec 09, 2017",0.006831,0.009149,0.006633,0.008537,"3,957",-
"Dec 08, 2017",0.007116,0.007222,0.005774,0.006838,36,-
"Dec 07, 2017",0.006319,0.007099,0.006089,0.007099,157,-
"Dec 06, 2017",0.005967,0.006432,0.005019,0.006329,324,-
"Dec 05, 2017",0.006178,0.006289,0.004412,0.005981,125,-
"Dec 04, 2017",0.004722,0.006166,0.004716,0.006166,1,-
"Dec 03, 2017",0.005029,0.005400,0.004415,0.004706,49,-
"Dec 02, 2017",0.004354,0.005082,0.004291,0.005024,71,-
"Dec 01, 2017",0.005096,0.005153,0.003500,0.004357,33,-
"Nov 30, 2017",0.004914,0.005765,0.003600,0.005122,294,-
"Nov 29, 2017",0.005659,0.006322,0.004824,0.004840,"1,033",-
"Nov 28, 2017",0.005073,0.005681,0.005024,0.005665,3,-
"Nov 27, 2017",0.004845,0.005068,0.004845,0.005060,258,-
"Nov 26, 2017",0.004723,0.004883,0.004718,0.004844,10,-
"Nov 25, 2017",0.004515,0.004725,0.004490,0.004725,19,-
"Nov 24, 2017",0.004260,0.005170,0.004178,0.004525,2,-
"Nov 23, 2017",0.005593,0.005620,0.004265,0.004265,712,-
"Nov 22, 2017",0.005923,0.007661,0.005591,0.005595,42,-
"Nov 21, 2017",0.006428,0.006529,0.005825,0.005909,66,-
"Nov 20, 2017",0.007159,0.007175,0.004334,0.006427,629,-
"Nov 19, 2017",0.006930,0.007768,0.006401,0.007162,247,-
"Nov 18, 2017",0.005381,0.006980,0.005216,0.006943,"3,270",-
"Nov 17, 2017",0.004864,0.006315,0.004692,0.005401,64,-
"Nov 16, 2017",0.006865,0.006865,0.004613,0.004872,218,-
"Nov 15, 2017",0.003901,0.007280,0.003901,0.006829,606,-
"Nov 14, 2017",0.004245,0.004369,0.003789,0.003898,17,-
"Nov 13, 2017",0.003816,0.004261,0.003786,0.004236,6,-
"Nov 12, 2017",0.004135,0.004318,0.003433,0.003810,45,-
"Nov 11, 2017",0.005063,0.005372,0.003906,0.004138,140,-
"Nov 10, 2017",0.005703,0.005868,0.004860,0.005081,4,-
"Nov 09, 2017",0.006571,0.006571,0.004130,0.005686,325,-
"Nov 08, 2017",0.006974,0.007287,0.005007,0.006578,6,-
"Nov 07, 2017",0.009047,0.009361,0.002141,0.006996,"1,860",-
"Nov 06, 2017",0.007467,0.009315,0.006045,0.009061,245,-
"Nov 05, 2017",0.006565,0.009895,0.006500,0.007451,264,-
"Nov 04, 2017",0.008600,0.009591,0.006577,0.006578,215,-
"Nov 03, 2017",0.005338,0.011143,0.005278,0.008623,"1,001",-
"Nov 02, 2017",0.006661,0.006836,0.005207,0.005345,358,-
"Nov 01, 2017",0.005026,0.006666,0.004969,0.006654,239,-
"Oct 31, 2017",0.005944,0.006736,0.004745,0.004901,878,-
"Oct 30, 2017",0.008312,0.008319,0.005809,0.005964,759,-
"Oct 29, 2017",0.005499,0.008411,0.005484,0.008360,284,-
"Oct 28, 2017",0.007781,0.007925,0.005506,0.005506,193,-
"Oct 27, 2017",0.008124,0.009356,0.006615,0.007759,444,-
"Oct 26, 2017",0.007741,0.008934,0.006623,0.008122,50,-
"Oct 25, 2017",0.008388,0.009457,0.006142,0.007742,905,-
"Oct 24, 2017",0.007215,0.008384,0.005772,0.008384,"3,094",-
"Oct 23, 2017",0.007414,0.007417,0.005506,0.007231,48,-
