Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.185341,0.204654,0.179803,0.197861,"254,409","7,901,460"
"Dec 15, 2017",0.182829,0.197350,0.173728,0.187712,"308,395","7,794,370"
"Dec 14, 2017",0.180006,0.194384,0.173939,0.182225,"227,610","7,674,030"
"Dec 13, 2017",0.189816,0.195916,0.175848,0.180586,"273,104","8,092,230"
"Dec 12, 2017",0.182681,0.200537,0.173438,0.189657,"582,224","7,788,060"
"Dec 11, 2017",0.146012,0.203736,0.142222,0.181933,"410,137","6,194,830"
"Dec 10, 2017",0.160861,0.161478,0.133986,0.141888,"177,683","6,824,790"
"Dec 09, 2017",0.164301,0.200578,0.150823,0.160212,"135,870","6,893,640"
"Dec 08, 2017",0.171870,0.171870,0.139922,0.166580,"101,453","7,211,220"
"Dec 07, 2017",0.183679,0.197893,0.147241,0.171125,"290,538","7,706,690"
"Dec 06, 2017",0.186748,0.197277,0.176283,0.186490,"193,091","7,835,440"
"Dec 05, 2017",0.193086,0.199738,0.183440,0.187163,"201,415","8,098,810"
"Dec 04, 2017",0.167387,0.191960,0.167203,0.189925,"287,910","7,020,870"
"Dec 03, 2017",0.162843,0.176044,0.159862,0.169296,"112,539","6,830,270"
"Dec 02, 2017",0.166173,0.167599,0.154571,0.162685,"97,048","6,920,430"
"Dec 01, 2017",0.154693,0.167927,0.142046,0.160879,"115,604","6,442,340"
"Nov 30, 2017",0.162078,0.175392,0.140256,0.157067,"170,956","6,749,890"
"Nov 29, 2017",0.164604,0.194603,0.157279,0.159626,"363,950","6,855,080"
"Nov 28, 2017",0.162380,0.170105,0.157902,0.163576,"177,742","6,705,740"
"Nov 27, 2017",0.151410,0.169362,0.151410,0.161960,"195,589","6,252,740"
"Nov 26, 2017",0.150029,0.161041,0.139704,0.151846,"241,854","6,195,690"
"Nov 25, 2017",0.129150,0.160195,0.124629,0.150079,"416,248","5,327,600"
"Nov 24, 2017",0.131172,0.135271,0.124597,0.128754,"55,076","5,393,640"
"Nov 23, 2017",0.134562,0.138467,0.131353,0.131353,"73,411","5,533,060"
"Nov 22, 2017",0.133965,0.138824,0.132429,0.134606,"24,996","5,502,850"
"Nov 21, 2017",0.137379,0.142252,0.128249,0.131943,"49,174","5,643,090"
"Nov 20, 2017",0.136388,0.142624,0.132031,0.137354,"44,252","5,602,360"
"Nov 19, 2017",0.140779,0.141028,0.134115,0.136451,"49,935","5,782,720"
"Nov 18, 2017",0.132212,0.141025,0.125804,0.139247,"56,826","5,409,630"
"Nov 17, 2017",0.131316,0.149390,0.121832,0.132721,"67,385","5,372,980"
"Nov 16, 2017",0.135905,0.136833,0.124429,0.131767,"94,062","5,483,000"
"Nov 15, 2017",0.127868,0.139196,0.127325,0.136708,"31,228","5,158,740"
"Nov 14, 2017",0.126439,0.129635,0.121789,0.127780,"61,810","5,101,090"
"Nov 13, 2017",0.113217,0.129368,0.111842,0.126171,"57,732","4,567,670"
"Nov 12, 2017",0.131441,0.131441,0.107940,0.111487,"71,830","5,302,890"
"Nov 11, 2017",0.137279,0.141761,0.126967,0.131537,"68,965","5,538,430"
"Nov 10, 2017",0.146926,0.159448,0.132679,0.137572,"134,480","5,791,330"
"Nov 09, 2017",0.150481,0.162486,0.144543,0.147697,"309,738","5,931,470"
"Nov 08, 2017",0.148086,0.155576,0.135579,0.150636,"203,432","5,837,070"
"Nov 07, 2017",0.138698,0.149314,0.131369,0.148553,"237,227","5,467,020"
"Nov 06, 2017",0.156739,0.164934,0.139248,0.141148,"498,727","6,156,640"
"Nov 05, 2017",0.157727,0.231773,0.143611,0.156392,"3,810,940","6,195,430"
"Nov 04, 2017",0.103921,0.185761,0.098400,0.158026,"708,528","4,081,970"
"Nov 03, 2017",0.108856,0.112585,0.100357,0.104048,"58,561","4,260,810"
"Nov 02, 2017",0.123023,0.124170,0.101222,0.108999,"67,559","4,815,330"
"Nov 01, 2017",0.122564,0.129598,0.116986,0.121682,"51,565","4,784,210"
"Oct 31, 2017",0.123887,0.126134,0.114276,0.122653,"106,583","4,835,860"
"Oct 30, 2017",0.123683,0.130684,0.117507,0.128727,"40,072","4,819,380"
"Oct 29, 2017",0.123380,0.137261,0.120352,0.124405,"132,508","4,800,860"
"Oct 28, 2017",0.119418,0.127295,0.116927,0.123549,"80,116","4,625,750"
"Oct 27, 2017",0.121268,0.125831,0.117037,0.119093,"39,765","4,684,210"
"Oct 26, 2017",0.117956,0.125752,0.115709,0.121240,"87,646","4,527,650"
"Oct 25, 2017",0.123235,0.124170,0.111015,0.117970,"43,364","4,730,250"
"Oct 24, 2017",0.103703,0.135985,0.100806,0.123516,"169,433","3,977,300"
"Oct 23, 2017",0.111215,0.125115,0.097705,0.103932,"88,362","4,232,930"
"Oct 22, 2017",0.104338,0.118742,0.103453,0.111394,"42,944","3,971,180"
"Oct 21, 2017",0.114098,0.114514,0.101893,0.104306,"37,752","4,342,660"
"Oct 20, 2017",0.119796,0.130302,0.111939,0.114338,"82,590","4,551,440"
"Oct 19, 2017",0.128619,0.142922,0.119762,0.119762,"113,168","4,856,870"
"Oct 18, 2017",0.123272,0.129818,0.112294,0.128552,"36,957","4,638,440"
"Oct 17, 2017",0.124250,0.126548,0.118765,0.123264,"50,900","4,667,980"
"Oct 16, 2017",0.121067,0.128879,0.115984,0.124230,"55,555","4,540,020"
"Oct 15, 2017",0.127440,0.127852,0.111154,0.121050,"46,992","4,779,040"
"Oct 14, 2017",0.122841,0.138215,0.118355,0.127213,"55,601","4,594,510"
"Oct 13, 2017",0.134657,0.140162,0.113074,0.122808,"86,722","5,027,800"
"Oct 12, 2017",0.144256,0.148332,0.130064,0.131477,"115,899","5,375,660"
"Oct 11, 2017",0.132357,0.146904,0.129609,0.144424,"59,241","4,926,340"
"Oct 10, 2017",0.136119,0.144683,0.128867,0.132379,"72,391","5,036,480"
"Oct 09, 2017",0.128280,0.142348,0.119416,0.136129,"85,953","4,739,380"
"Oct 08, 2017",0.157837,0.158044,0.125072,0.125072,"108,865","5,825,780"
"Oct 07, 2017",0.151553,0.174114,0.141792,0.158260,"205,116","5,586,520"
"Oct 06, 2017",0.152236,0.162331,0.150091,0.151505,"48,611","5,602,600"
"Oct 05, 2017",0.158303,0.160726,0.147077,0.152237,"70,444","5,805,650"
"Oct 04, 2017",0.164148,0.164252,0.152769,0.158160,"54,414","6,012,530"
"Oct 03, 2017",0.167440,0.184035,0.161570,0.163768,"92,568","6,124,800"
"Oct 02, 2017",0.168514,0.176301,0.165291,0.167434,"78,146","6,151,070"
"Oct 01, 2017",0.180310,0.182874,0.164772,0.168544,"118,115","6,568,410"
"Sep 30, 2017",0.173764,0.185335,0.173014,0.180213,"99,007","6,319,660"
"Sep 29, 2017",0.183974,0.184581,0.169510,0.173867,"133,842","6,669,080"
"Sep 28, 2017",0.186771,0.204404,0.174264,0.181976,"331,862","6,760,000"
"Sep 27, 2017",0.162232,0.204945,0.162232,0.190592,"797,460","5,862,130"
"Sep 26, 2017",0.167679,0.169444,0.157855,0.162686,"101,798","5,983,000"
"Sep 25, 2017",0.154974,0.170428,0.154733,0.167695,"64,943","5,516,260"
"Sep 24, 2017",0.164800,0.164800,0.155131,0.155131,"35,044","5,858,600"
"Sep 23, 2017",0.155113,0.168136,0.153166,0.164814,"79,977","5,505,430"
"Sep 22, 2017",0.151425,0.161594,0.146012,0.155551,"86,366","4,567,650"
"Sep 21, 2017",0.171858,0.172679,0.148083,0.151598,"80,224","5,155,370"
"Sep 20, 2017",0.171376,0.181114,0.165095,0.172745,"61,391","5,120,570"
"Sep 19, 2017",0.176432,0.179758,0.167240,0.171605,"70,407","5,265,080"
"Sep 18, 2017",0.166650,0.179250,0.164841,0.176006,"102,659","4,969,850"
"Sep 17, 2017",0.154186,0.175373,0.147685,0.166983,"152,741","4,598,140"
"Sep 16, 2017",0.154567,0.162048,0.145831,0.154291,"117,923","4,609,490"
"Sep 15, 2017",0.133451,0.160130,0.120922,0.154970,"111,559","3,973,950"
"Sep 14, 2017",0.160861,0.167600,0.132419,0.132419,"88,521","4,790,170"
"Sep 13, 2017",0.168256,0.183192,0.153980,0.160870,"88,886","4,997,110"
"Sep 12, 2017",0.170062,0.205559,0.161944,0.168899,"172,850","5,050,740"
"Sep 11, 2017",0.194022,0.195087,0.162801,0.169899,"115,798","5,754,790"
"Sep 10, 2017",0.203527,0.212191,0.174321,0.194351,"144,040","6,028,220"
"Sep 09, 2017",0.197178,0.203841,0.185843,0.201620,"96,095","5,810,240"
"Sep 08, 2017",0.237251,0.242375,0.185321,0.196710,"491,291","6,991,080"
