Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.002773,0.002869,0.002405,0.002848,340,"320,249"
"Dec 15, 2017",0.002335,0.002779,0.002296,0.002769,116,"269,463"
"Dec 14, 2017",0.002293,0.003179,0.001809,0.002331,"1,236","264,324"
"Dec 13, 2017",0.001729,0.002352,0.001729,0.002300,681,"199,161"
"Dec 12, 2017",0.001512,0.001777,0.001323,0.001728,122,"173,939"
"Dec 11, 2017",0.001589,0.001877,0.001492,0.001506,273,"182,693"
"Dec 10, 2017",0.001241,0.001631,0.001027,0.001601,105,"142,628"
"Dec 09, 2017",0.001620,0.001647,0.001061,0.001237,273,"186,162"
"Dec 08, 2017",0.002213,0.002334,0.001003,0.001622,"2,632","254,206"
"Dec 07, 2017",0.001398,0.002208,0.001380,0.002208,411,"160,517"
"Dec 06, 2017",0.001381,0.001715,0.001249,0.001401,90,"158,545"
"Dec 05, 2017",0.001399,0.001456,0.001263,0.001385,91,"160,465"
"Dec 04, 2017",0.001238,0.001396,0.000981,0.001396,17,"142,003"
"Dec 03, 2017",0.001022,0.001351,0.001015,0.001234,205,"117,154"
"Dec 02, 2017",0.001241,0.001343,0.000801,0.001021,"1,139","142,182"
"Dec 01, 2017",0.001199,0.001366,0.000957,0.001242,42,"137,330"
"Nov 30, 2017",0.001394,0.001553,0.000808,0.001205,"2,413","159,570"
"Nov 29, 2017",0.001170,0.001506,0.001107,0.001373,616,"133,933"
"Nov 28, 2017",0.001269,0.001325,0.001094,0.001167,104,"145,182"
"Nov 27, 2017",0.001252,0.001532,0.001252,0.001266,545,"143,145"
"Nov 26, 2017",0.001572,0.001688,0.001232,0.001251,"1,518","179,643"
"Nov 25, 2017",0.001560,0.001578,0.001258,0.001572,60,"178,238"
"Nov 24, 2017",0.001688,0.001751,0.001149,0.001152,"2,131","192,774"
"Nov 23, 2017",0.001769,0.001782,0.001544,0.001690,553,"201,977"
"Nov 22, 2017",0.001639,0.001811,0.001258,0.001773,203,"187,007"
"Nov 21, 2017",0.001729,0.001733,0.001479,0.001635,838,"197,281"
"Nov 20, 2017",0.001515,0.001898,0.001497,0.001729,145,"172,775"
"Nov 19, 2017",0.001445,0.001534,0.001373,0.001516,106,"164,542"
"Nov 18, 2017",0.001460,0.001783,0.001416,0.001444,45,"166,273"
"Nov 17, 2017",0.001574,0.001604,0.001466,0.001466,66,"179,183"
"Nov 16, 2017",0.001285,0.001871,0.001249,0.001574,278,"146,175"
"Nov 15, 2017",0.001260,0.001317,0.001192,0.001277,8,"143,309"
"Nov 14, 2017",0.001239,0.001275,0.001187,0.001259,35,"140,790"
"Nov 13, 2017",0.001144,0.001311,0.001135,0.001236,50,"129,994"
"Nov 12, 2017",0.001274,0.001350,0.001103,0.001142,53,"144,750"
"Nov 11, 2017",0.001230,0.001341,0.001201,0.001275,123,"139,645"
"Nov 10, 2017",0.001838,0.001857,0.001197,0.001234,7,"208,576"
"Nov 09, 2017",0.001493,0.002033,0.001308,0.001796,72,"169,443"
"Nov 08, 2017",0.001485,0.001545,0.001405,0.001495,91,"168,381"
"Nov 07, 2017",0.001391,0.001492,0.001231,0.001489,30,"157,642"
