Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.024867,0.026145,0.019978,0.025451,784,"17,528"
"Dec 15, 2017",0.021946,0.024949,0.021901,0.024833,469,"15,470"
"Dec 14, 2017",0.024071,0.024898,0.021920,0.021922,940,"16,967"
"Dec 13, 2017",0.026104,0.026468,0.022780,0.024147,"1,158","18,400"
"Dec 12, 2017",0.028639,0.030841,0.025736,0.026083,"1,667","20,187"
"Dec 11, 2017",0.021985,0.034161,0.021898,0.028550,"2,656","15,497"
"Dec 10, 2017",0.026866,0.033257,0.019529,0.022131,873,"18,937"
"Dec 09, 2017",0.026980,0.037708,0.020924,0.024850,"2,111","19,017"
"Dec 08, 2017",0.027085,0.030982,0.024634,0.027006,911,"19,091"
"Dec 07, 2017",0.025705,0.028336,0.023331,0.027035,981,"18,119"
"Dec 06, 2017",0.018154,0.031977,0.017005,0.025729,"1,690","12,796"
"Dec 05, 2017",0.017810,0.022776,0.016828,0.016989,"1,158","12,554"
"Dec 04, 2017",0.021629,0.021629,0.015269,0.017791,"1,111","15,246"
"Dec 03, 2017",0.021715,0.021715,0.017497,0.021583,75,"15,307"
"Dec 02, 2017",0.018346,0.022058,0.015628,0.021704,71,"12,932"
"Dec 01, 2017",0.016166,0.018474,0.014901,0.018357,343,"11,395"
"Nov 30, 2017",0.015912,0.017474,0.014546,0.016231,608,"11,216"
"Nov 29, 2017",0.017019,0.019471,0.015084,0.015683,"1,129","11,997"
"Nov 28, 2017",0.016698,0.017729,0.016625,0.017033,230,"11,770"
"Nov 27, 2017",0.016240,0.017185,0.015992,0.016659,787,"11,447"
"Nov 26, 2017",0.016092,0.016949,0.014571,0.016266,281,"11,343"
"Nov 25, 2017",0.013780,0.018454,0.012729,0.016082,897,"9,713"
"Nov 24, 2017",0.016414,0.017238,0.012518,0.013800,629,"11,570"
"Nov 23, 2017",0.017760,0.025772,0.014487,0.016432,573,"12,518"
"Nov 22, 2017",0.017841,0.018970,0.015583,0.017764,342,"12,576"
"Nov 21, 2017",0.031858,0.040821,0.017722,0.017804,895,"22,456"
"Nov 20, 2017",0.027263,0.080951,0.024663,0.031852,"16,092","19,218"
"Nov 19, 2017",0.020780,0.028262,0.018831,0.023163,"5,092","14,648"
"Nov 18, 2017",0.007678,0.021142,0.005929,0.020820,"3,842","5,412"
"Nov 17, 2017",0.008164,0.009361,0.007705,0.007705,76,"5,755"
"Nov 16, 2017",0.008543,0.009688,0.007835,0.008177,66,"6,022"
"Nov 15, 2017",0.009256,0.009693,0.007728,0.008500,81,"6,525"
"Nov 14, 2017",0.009666,0.009947,0.007198,0.009250,18,"6,813"
"Nov 13, 2017",0.007193,0.009741,0.006729,0.009645,248,"5,070"
"Nov 12, 2017",0.008016,0.008016,0.007024,0.007188,7,"5,650"
"Nov 11, 2017",0.008296,0.009017,0.007422,0.008020,40,"5,847"
"Nov 10, 2017",0.008198,0.009799,0.007165,0.008316,161,"5,779"
"Nov 09, 2017",0.008737,0.009408,0.008147,0.008174,63,"6,158"
"Nov 08, 2017",0.010766,0.010766,0.007748,0.008746,354,"7,588"
"Nov 07, 2017",0.011069,0.011271,0.010119,0.010797,190,"7,802"
"Nov 06, 2017",0.010499,0.011289,0.010029,0.011082,64,"7,400"
"Nov 05, 2017",0.009147,0.010736,0.009057,0.010475,276,"6,448"
"Nov 04, 2017",0.010609,0.011249,0.009163,0.009165,65,"7,478"
"Nov 03, 2017",0.009305,0.010787,0.009206,0.010623,15,"6,559"
"Nov 02, 2017",0.008557,0.012725,0.008557,0.009317,273,"6,032"
"Nov 01, 2017",0.008005,0.012309,0.007930,0.008551,92,"5,643"
"Oct 31, 2017",0.007820,0.010279,0.007784,0.008010,203,"5,512"
"Oct 30, 2017",0.008006,0.009523,0.007584,0.007836,73,"5,643"
"Oct 29, 2017",0.008263,0.008368,0.006900,0.008051,331,"5,824"
"Oct 28, 2017",0.008043,0.008278,0.007998,0.008267,10,"5,670"
"Oct 27, 2017",0.010891,0.011093,0.008014,0.008026,37,"7,677"
"Oct 26, 2017",0.010364,0.010937,0.010337,0.010888,81,"7,305"
"Oct 25, 2017",0.010176,0.010372,0.010011,0.010364,2,"7,173"
"Oct 24, 2017",0.010670,0.010670,0.010131,0.010173,4,"7,521"
"Oct 23, 2017",0.010754,0.011131,0.010299,0.010693,126,"7,581"
"Oct 22, 2017",0.011065,0.011162,0.010576,0.010771,37,"7,800"
"Oct 21, 2017",0.010989,0.012106,0.010860,0.011062,230,"7,746"
"Oct 20, 2017",0.010570,0.013091,0.010436,0.011013,79,"7,450"
"Oct 19, 2017",0.010537,0.011602,0.010461,0.010567,162,"7,427"
"Oct 18, 2017",0.014318,0.014318,0.009509,0.010532,64,"10,092"
"Oct 17, 2017",0.008831,0.016574,0.007752,0.014317,380,"6,225"
"Oct 16, 2017",0.009679,0.010273,0.008638,0.008830,90,"6,823"
"Oct 15, 2017",0.009722,0.009775,0.009069,0.009678,127,"6,853"
"Oct 14, 2017",0.009418,0.009719,0.009336,0.009706,28,"6,639"
"Oct 13, 2017",0.011542,0.013175,0.009236,0.009416,24,"8,136"
"Oct 12, 2017",0.008156,0.012669,0.008156,0.011517,193,"5,749"
"Oct 11, 2017",0.008761,0.009156,0.008105,0.008149,7,"6,176"
"Oct 10, 2017",0.008697,0.011192,0.008697,0.008762,49,"6,130"
"Oct 09, 2017",0.011066,0.011425,0.008658,0.008698,266,"7,800"
"Oct 08, 2017",0.009623,0.012665,0.008981,0.011075,80,"6,783"
"Oct 07, 2017",0.008818,0.009983,0.008804,0.009961,47,"6,216"
"Oct 06, 2017",0.008691,0.009663,0.008673,0.008815,229,"6,126"
"Oct 05, 2017",0.009006,0.011132,0.008342,0.008691,164,"6,348"
"Oct 04, 2017",0.009509,0.009752,0.008645,0.009000,115,"6,703"
"Oct 03, 2017",0.008839,0.009660,0.008641,0.009494,67,"6,231"
"Oct 02, 2017",0.009081,0.010824,0.008792,0.008839,268,"6,401"
"Oct 01, 2017",0.011488,0.012655,0.008864,0.009084,393,"8,097"
"Sep 30, 2017",0.009192,0.011919,0.009184,0.011483,198,"6,479"
"Sep 29, 2017",0.010971,0.012363,0.008748,0.009191,183,"7,734"
"Sep 28, 2017",0.009439,0.011022,0.008504,0.010980,109,"6,653"
"Sep 27, 2017",0.010048,0.010315,0.009431,0.009438,46,"7,083"
"Sep 26, 2017",0.010128,0.011503,0.009965,0.010064,32,"7,139"
"Sep 25, 2017",0.009747,0.010582,0.008948,0.010129,41,"6,870"
"Sep 24, 2017",0.011258,0.011494,0.008557,0.009755,64,"7,936"
"Sep 23, 2017",0.008421,0.011971,0.008341,0.011259,298,"5,936"
