Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.308072,0.417427,0.240593,0.408713,"12,437","2,668,140"
"Dec 15, 2017",0.347563,0.347809,0.304592,0.307496,"1,455","3,010,160"
"Dec 14, 2017",0.329822,0.604901,0.327952,0.347238,"2,900","2,856,510"
"Dec 13, 2017",0.396431,0.436861,0.325918,0.329994,"3,388","3,433,390"
"Dec 12, 2017",0.459853,0.508096,0.312894,0.396160,"5,890","3,982,670"
"Dec 11, 2017",0.214579,0.462821,0.214328,0.462821,"17,175","1,858,410"
"Dec 10, 2017",0.142930,0.228785,0.122991,0.214337,"4,092","1,237,880"
"Dec 09, 2017",0.170005,0.203984,0.139325,0.142472,"3,683","1,472,370"
"Dec 08, 2017",0.139441,0.173681,0.138977,0.170009,151,"1,207,660"
"Dec 07, 2017",0.227397,0.233211,0.136094,0.139238,"2,883","1,969,430"
"Dec 06, 2017",0.216016,0.232291,0.187816,0.228190,58,"1,870,860"
"Dec 05, 2017",0.150177,0.219889,0.145370,0.216396,65,"1,300,640"
"Dec 04, 2017",0.162761,0.165784,0.147232,0.150100,15,"1,409,630"
"Dec 03, 2017",0.141903,0.169042,0.141685,0.162461,49,"1,228,990"
"Dec 02, 2017",0.162568,0.165732,0.132096,0.141855,934,"1,407,960"
"Dec 01, 2017",0.138302,0.164264,0.113676,0.162573,"4,690","1,197,800"
"Nov 30, 2017",0.178081,0.183976,0.112571,0.138646,"2,919","1,542,310"
"Nov 29, 2017",0.104907,0.492087,0.104907,0.175829,"2,306","908,571"
"Nov 28, 2017",0.101116,0.157322,0.098686,0.104822,"1,394","875,745"
"Nov 27, 2017",0.117675,0.122500,0.101150,0.101255,733,"1,019,150"
"Nov 26, 2017",0.144159,0.144159,0.112991,0.117704,372,"1,248,530"
"Nov 25, 2017",0.135415,0.150125,0.092325,0.144154,"4,619","1,172,790"
"Nov 24, 2017",0.131267,0.137564,0.084436,0.135437,"3,775","1,136,870"
"Nov 23, 2017",0.133151,0.166289,0.128620,0.131927,"2,017","1,153,190"
"Nov 22, 2017",0.124463,0.152442,0.124363,0.132845,145,"1,077,950"
"Nov 21, 2017",0.125718,0.128172,0.120396,0.124305,62,"1,088,810"
"Nov 20, 2017",0.120632,0.127383,0.120589,0.125916,252,"1,044,760"
"Nov 19, 2017",0.092029,0.143286,0.089591,0.120762,"4,659","797,038"
"Nov 18, 2017",0.113007,0.129902,0.083427,0.092267,"2,021","978,730"
"Nov 17, 2017",0.115540,0.150341,0.112933,0.113178,315,"1,000,670"
"Nov 16, 2017",0.171473,0.173240,0.114391,0.115620,205,"1,485,080"
"Nov 15, 2017",0.137951,0.176966,0.136105,0.171607,284,"1,194,760"
"Nov 14, 2017",0.128579,0.139794,0.128579,0.137876,"1,914","1,113,590"
"Nov 13, 2017",0.122624,0.128649,0.122624,0.128585,"1,841","1,062,020"
"Nov 12, 2017",0.169578,0.169578,0.121154,0.122430,"6,536","1,468,680"
"Nov 11, 2017",0.190319,0.193945,0.101221,0.169559,"6,762","1,648,310"
"Nov 10, 2017",0.130262,0.192956,0.107234,0.190867,652,"1,128,170"
"Nov 09, 2017",0.144644,0.150149,0.107462,0.130200,310,"1,252,730"
"Nov 08, 2017",0.131953,0.150058,0.123889,0.145429,463,"1,142,810"
"Nov 07, 2017",0.149078,0.150666,0.131243,0.132046,958,"1,291,130"
"Nov 06, 2017",0.142912,0.230970,0.142623,0.148855,242,"1,237,720"
"Nov 05, 2017",0.177599,0.177749,0.130960,0.142777,"3,042","1,538,140"
"Nov 04, 2017",0.158450,0.179580,0.156053,0.177368,0,"1,372,290"
"Nov 03, 2017",0.169647,0.173708,0.137248,0.158424,614,"1,469,270"
"Nov 02, 2017",0.133056,0.172403,0.126384,0.168818,"1,658","1,152,360"
"Nov 01, 2017",0.089445,0.150723,0.088283,0.132688,427,"774,660"
"Oct 31, 2017",0.153410,0.232672,0.089610,0.089610,"2,394","1,328,640"
"Oct 30, 2017",0.136866,0.153325,0.124840,0.153325,"2,843","1,185,370"
"Oct 29, 2017",0.191588,0.202238,0.151009,0.151009,460,"1,659,300"
"Oct 28, 2017",0.142055,0.196946,0.140618,0.191669,"2,698","1,230,310"
"Oct 27, 2017",0.143472,0.188533,0.141256,0.142149,368,"1,242,580"
"Oct 26, 2017",0.155380,0.187070,0.140617,0.143544,"4,594","1,345,710"
"Oct 25, 2017",0.155048,0.224472,0.154836,0.155714,"1,881","1,342,830"
"Oct 24, 2017",0.210817,0.219090,0.154811,0.154911,478,"1,825,830"
"Oct 23, 2017",0.181017,0.211217,0.127682,0.210959,761,"1,567,740"
"Oct 22, 2017",0.229643,0.233337,0.141966,0.181122,249,"1,988,880"
"Oct 21, 2017",0.254723,0.287241,0.229651,0.229651,370,"2,206,090"
"Oct 20, 2017",0.216052,0.268350,0.128539,0.255052,587,"1,871,170"
"Oct 19, 2017",0.226933,0.228993,0.169990,0.216228,667,"1,965,410"
"Oct 18, 2017",0.177740,0.232465,0.158755,0.227462,147,"1,539,370"
"Oct 17, 2017",0.178883,0.231546,0.174740,0.177951,640,"1,549,260"
"Oct 16, 2017",0.147565,0.235017,0.147565,0.178544,"4,813","1,278,020"
"Oct 15, 2017",0.222795,0.228344,0.136360,0.147176,86,"1,929,580"
"Oct 14, 2017",0.199684,0.297279,0.094737,0.222142,"1,527","1,729,410"
"Oct 13, 2017",0.212273,0.289803,0.173060,0.199488,"1,547","1,838,440"
"Oct 12, 2017",0.211580,0.307411,0.211445,0.212687,"5,226","1,832,450"
"Oct 11, 2017",0.193008,0.211579,0.192874,0.211579,231,"1,671,600"
"Oct 10, 2017",0.219216,0.220932,0.191153,0.193017,176,"1,898,580"
"Oct 09, 2017",0.204146,0.253604,0.199264,0.218674,"4,219","1,768,060"
"Oct 08, 2017",0.255922,0.327606,0.203241,0.204131,"1,999","2,216,480"
"Oct 07, 2017",0.334616,0.335281,0.222916,0.256288,"5,698","2,898,030"
"Oct 06, 2017",0.240672,0.437841,0.240241,0.335194,"8,150","2,084,400"
"Oct 05, 2017",0.232168,0.258769,0.176632,0.240609,"5,335","2,010,750"
"Oct 04, 2017",0.283969,0.298947,0.192464,0.232179,"4,761","2,459,380"
"Oct 03, 2017",0.340705,0.343894,0.253817,0.283322,"1,516","2,950,760"
"Oct 02, 2017",0.304617,0.347096,0.301027,0.340477,63,"2,638,210"
"Oct 01, 2017",0.253717,0.360058,0.123067,0.304620,"3,183","2,197,380"
"Sep 30, 2017",0.244209,0.268152,0.243504,0.253632,"5,113","2,115,040"
"Sep 29, 2017",0.278288,0.278736,0.233785,0.244150,"2,396","2,410,180"
"Sep 28, 2017",0.320500,0.341615,0.240827,0.278811,"3,247","2,775,770"
"Sep 27, 2017",0.320828,0.351718,0.237825,0.320676,"2,021","2,778,610"
"Sep 26, 2017",0.259538,0.322409,0.254270,0.321143,226,"2,247,800"
"Sep 25, 2017",0.211023,0.873349,0.211023,0.259631,"2,168","1,827,620"
"Sep 24, 2017",0.349662,0.383808,0.194714,0.210579,"8,032","3,028,340"
"Sep 23, 2017",0.316607,0.384865,0.257047,0.349652,"7,280","2,742,050"
"Sep 22, 2017",0.373437,0.385270,0.316961,0.316961,"3,058","3,234,250"
"Sep 21, 2017",0.358116,0.631425,0.358116,0.373571,"1,409","3,101,560"
"Sep 20, 2017",0.338973,0.549649,0.337085,0.359374,"8,702","2,935,760"
"Sep 19, 2017",0.328159,0.640453,0.328159,0.339276,"19,547","2,842,100"
"Sep 18, 2017",0.199336,1.05,0.199336,0.327120,"33,809","1,726,400"
"Sep 17, 2017",0.219867,0.252082,0.183015,0.199394,"1,673","1,904,210"
"Sep 16, 2017",0.244955,0.386266,0.148821,0.219323,"4,157","2,121,500"
"Sep 15, 2017",0.185294,0.271280,0.185294,0.243017,"4,669","1,604,790"
"Sep 14, 2017",0.260391,0.267127,0.185903,0.186288,"3,621","2,255,180"
"Sep 13, 2017",0.400235,0.448573,0.260733,0.260733,"8,231","3,466,340"
