Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.158690,0.215564,0.155079,0.215564,"24,907,500","77,491,500"
"Dec 15, 2017",0.163665,0.163665,0.138663,0.157442,"14,053,000","79,400,900"
"Dec 14, 2017",0.149201,0.166553,0.143876,0.162926,"17,026,400","72,384,000"
"Dec 13, 2017",0.153927,0.154825,0.136624,0.148486,"15,355,200","74,676,600"
"Dec 12, 2017",0.147595,0.162554,0.137322,0.156231,"20,007,500","71,604,600"
"Dec 11, 2017",0.114261,0.153681,0.113238,0.147560,"14,199,900","55,432,900"
"Dec 10, 2017",0.130395,0.130395,0.104974,0.114166,"5,996,370","63,260,300"
"Dec 09, 2017",0.132152,0.152164,0.125433,0.129892,"8,986,330","64,112,500"
"Dec 08, 2017",0.125799,0.135480,0.105886,0.132287,"8,459,780","61,030,400"
"Dec 07, 2017",0.128818,0.147825,0.121484,0.123981,"10,662,000","62,495,100"
"Dec 06, 2017",0.141219,0.155373,0.124506,0.132502,"14,818,100","68,511,500"
"Dec 05, 2017",0.148051,0.158658,0.138867,0.141681,"13,574,200","71,826,000"
"Dec 04, 2017",0.126098,0.161827,0.124341,0.149187,"16,766,400","61,175,500"
"Dec 03, 2017",0.127378,0.135379,0.119904,0.126785,"8,284,690","61,796,400"
"Dec 02, 2017",0.125807,0.132161,0.119870,0.126325,"6,576,650","61,034,400"
"Dec 01, 2017",0.125205,0.128245,0.110897,0.125107,"5,759,690","60,742,100"
"Nov 30, 2017",0.111811,0.126618,0.104061,0.125115,"6,800,620","54,244,200"
"Nov 29, 2017",0.129728,0.137747,0.103424,0.108728,"10,422,000","62,936,400"
"Nov 28, 2017",0.147811,0.149130,0.128952,0.130769,"11,836,200","71,709,200"
"Nov 27, 2017",0.154817,0.158818,0.135399,0.148498,"14,039,100","75,108,500"
"Nov 26, 2017",0.143442,0.168669,0.138188,0.154253,"20,847,900","69,590,000"
"Nov 25, 2017",0.112841,0.154277,0.109212,0.145190,"24,591,000","54,744,100"
"Nov 24, 2017",0.108382,0.116470,0.097309,0.111852,"7,621,480","52,580,700"
"Nov 23, 2017",0.114884,0.125584,0.108608,0.109045,"9,925,430","55,735,000"
"Nov 22, 2017",0.096036,0.116079,0.093362,0.115522,"9,175,530","46,591,000"
"Nov 21, 2017",0.099807,0.103918,0.094214,0.095257,"5,034,780","48,420,700"
"Nov 20, 2017",0.093377,0.109349,0.091999,0.100783,"5,765,790","45,301,100"
"Nov 19, 2017",0.101153,0.102500,0.092174,0.095033,"3,923,760","49,073,700"
"Nov 18, 2017",0.099104,0.104450,0.095123,0.100936,"3,438,770","48,079,500"
"Nov 17, 2017",0.107752,0.110729,0.091342,0.099677,"5,954,040","52,275,200"
"Nov 16, 2017",0.129322,0.129783,0.106271,0.106271,"5,625,030","62,739,800"
"Nov 15, 2017",0.132905,0.133283,0.120684,0.128341,"5,051,790","64,478,100"
"Nov 14, 2017",0.120088,0.139227,0.116141,0.132933,"7,047,960","58,259,900"
"Nov 13, 2017",0.107338,0.120649,0.106899,0.119975,"4,358,940","52,074,200"
"Nov 12, 2017",0.124588,0.125058,0.091883,0.108667,"5,567,650","60,442,800"
"Nov 11, 2017",0.120161,0.132288,0.120161,0.125328,"4,850,640","58,295,000"
"Nov 10, 2017",0.146267,0.146654,0.115334,0.120834,"5,939,950","70,960,500"
"Nov 09, 2017",0.138281,0.151143,0.133176,0.146366,"10,249,900","67,086,300"
"Nov 08, 2017",0.143306,0.165036,0.121141,0.137627,"18,001,500","69,523,900"
"Nov 07, 2017",0.084829,0.168730,0.084739,0.146697,"17,730,300",-
"Nov 06, 2017",0.084922,0.089855,0.075350,0.084702,"421,196",-
"Nov 05, 2017",0.074120,0.088233,0.074120,0.084842,"191,945",-
"Nov 04, 2017",0.070049,0.078401,0.067986,0.074024,"191,935",-
"Nov 03, 2017",0.054985,0.076051,0.054985,0.070038,"259,850",-
"Nov 02, 2017",0.054663,0.058952,0.050641,0.054716,"185,699",-
"Nov 01, 2017",0.060436,0.060436,0.053142,0.054511,"77,914",-
"Oct 31, 2017",0.061364,0.063149,0.055006,0.060547,"130,020",-
"Oct 30, 2017",0.062540,0.067904,0.058164,0.061330,"57,571",-
"Oct 29, 2017",0.066083,0.068158,0.056561,0.062666,"140,866",-
"Oct 28, 2017",0.069775,0.073883,0.065395,0.066111,"82,886",-
"Oct 27, 2017",0.069778,0.071604,0.061185,0.070304,"215,055",-
"Oct 26, 2017",0.063459,0.073745,0.063392,0.069794,"466,660",-
