Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000392,0.000174,0.000389,625,"22,941"
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,119,"21,526"
"Dec 14, 2017",0.000164,0.000341,0.000162,0.000165,34,"21,288"
"Dec 13, 2017",0.000346,0.000350,0.000159,0.000164,"1,784","44,918"
"Dec 12, 2017",0.000337,0.000354,0.000164,0.000345,"1,142","43,775"
"Dec 11, 2017",0.000152,0.000350,0.000152,0.000336,65,"19,821"
"Dec 10, 2017",0.000150,0.000315,0.000132,0.000154,26,"19,537"
"Dec 09, 2017",0.000162,0.000298,0.000141,0.000150,330,"21,084"
"Dec 08, 2017",0.000166,0.000169,0.000137,0.000162,282,"21,644"
"Dec 07, 2017",0.000137,0.000302,0.000136,0.000166,246,"17,857"
"Dec 06, 2017",0.000234,0.000383,0.000127,0.000138,"4,032","30,405"
"Dec 05, 2017",0.000329,0.000330,0.000226,0.000234,63,"42,780"
"Dec 04, 2017",0.000225,0.000343,0.000218,0.000328,119,"29,225"
"Dec 03, 2017",0.000328,0.000336,0.000212,0.000224,76,"42,634"
"Dec 02, 2017",0.000217,0.000333,0.000214,0.000328,13,"28,216"
"Dec 01, 2017",0.000300,0.000329,0.000209,0.000217,190,"38,969"
"Nov 30, 2017",0.000295,0.000321,0.000180,0.000201,112,"38,324"
"Nov 29, 2017",0.000298,0.000435,0.000194,0.000290,"1,101","38,682"
"Nov 28, 2017",0.000293,0.000399,0.000290,0.000298,"1,190","38,046"
"Nov 27, 2017",0.000373,0.000390,0.000282,0.000292,630,"48,436"
"Nov 26, 2017",0.000612,0.000618,0.000351,0.000373,"2,239","79,590"
"Nov 25, 2017",0.000493,0.000612,0.000408,0.000612,846,"64,038"
"Nov 24, 2017",0.000241,0.000497,0.000237,0.000494,"1,638","31,345"
"Nov 23, 2017",0.000411,0.000413,0.000241,0.000241,"1,960","53,460"
"Nov 22, 2017",0.000487,0.000570,0.000405,0.000411,"1,229","63,280"
"Nov 21, 2017",0.000659,0.000660,0.000312,0.000405,"1,564","85,692"
"Nov 20, 2017",0.000561,0.000663,0.000401,0.000659,689,"72,915"
"Nov 19, 2017",0.000467,0.000696,0.000399,0.000561,"1,805","60,716"
"Nov 18, 2017",0.000461,0.000702,0.000382,0.000468,"1,428","59,956"
"Nov 17, 2017",0.000543,0.000556,0.000457,0.000463,513,"70,601"
"Nov 16, 2017",0.000394,0.000628,0.000361,0.000544,"3,399","51,183"
"Nov 15, 2017",0.000463,0.000584,0.000389,0.000392,"2,073","60,166"
"Nov 14, 2017",0.000457,0.000590,0.000450,0.000462,984,"59,422"
"Nov 13, 2017",0.000528,0.000656,0.000442,0.000456,"2,315","68,689"
"Nov 12, 2017",0.000445,0.000622,0.000388,0.000528,"2,558","57,885"
"Nov 11, 2017",0.000486,0.000583,0.000422,0.000446,"1,180","63,131"
"Nov 10, 2017",0.000499,0.000649,0.000433,0.000487,"3,605","64,867"
"Nov 09, 2017",0.000523,0.000647,0.000356,0.000498,"6,029","67,953"
"Nov 08, 2017",0.000640,0.000678,0.000432,0.000523,"5,499",-
"Nov 07, 2017",0.000696,0.000784,0.000560,0.000642,"2,960",-
"Nov 06, 2017",0.000739,0.000809,0.000569,0.000697,"2,224",-
"Nov 05, 2017",0.000590,0.000907,0.000511,0.000738,"6,386",-
"Nov 04, 2017",0.000573,0.000651,0.000428,0.000591,"6,278",-
"Nov 03, 2017",0.000492,0.000895,0.000417,0.000575,"8,921",-
"Nov 02, 2017",0.000202,0.000905,0.000202,0.000492,"11,295",-
"Nov 01, 2017",0.000516,0.000516,0.000199,0.000202,"4,452",-
"Oct 31, 2017",0.000674,0.000738,0.000382,0.000516,"11,818",-
"Oct 30, 2017",0.000985,0.001107,0.000610,0.000676,"39,445",-
"Oct 29, 2017",0.000537,0.001300,0.000537,0.000991,"80,024",-
