Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000018,0.000045,0.000018,0.000033,339,-
"Dec 15, 2017",0.000146,0.000150,0.000013,0.000018,87,-
"Dec 14, 2017",0.000152,0.000165,0.000145,0.000146,"2,099",-
"Dec 13, 2017",0.000170,0.000175,0.000147,0.000152,"1,093",-
"Dec 12, 2017",0.000162,0.000173,0.000158,0.000170,"3,241",-
"Dec 11, 2017",0.000149,0.000173,0.000147,0.000161,"2,864",-
"Dec 10, 2017",0.000157,0.000157,0.000133,0.000150,133,-
"Dec 09, 2017",0.000151,0.000171,0.000124,0.000157,"1,296",-
"Dec 08, 2017",0.000162,0.000179,0.000133,0.000151,572,-
"Dec 07, 2017",0.000138,0.000162,0.000132,0.000162,"1,439",-
"Dec 06, 2017",0.000117,0.000244,0.000117,0.000138,"12,578",-
"Dec 05, 2017",0.000233,0.000237,0.000115,0.000117,"19,624",-
"Dec 04, 2017",0.000341,0.000457,0.000112,0.000233,"83,873",-
"Dec 03, 2017",0.000438,0.003174,0.000221,0.000448,"63,432",-
"Dec 02, 2017",0.004285,0.004902,0.000222,0.000437,"5,554",-
"Dec 01, 2017",0.027981,0.028291,0.002188,0.004186,"5,201",-
"Nov 30, 2017",0.028285,0.030767,0.021068,0.028120,83,-
"Nov 29, 2017",0.028791,0.037775,0.024591,0.027857,78,-
"Nov 28, 2017",0.047725,0.048570,0.024539,0.028820,160,-
"Nov 27, 2017",0.046846,0.048617,0.020538,0.047601,"1,119",-
"Nov 26, 2017",0.072769,0.076634,0.046690,0.046840,443,-
"Nov 25, 2017",0.068143,0.072793,0.067758,0.072793,47,-
"Nov 24, 2017",0.066949,0.069463,0.041022,0.068281,58,-
"Nov 23, 2017",0.068516,0.068850,0.066036,0.067040,4,-
"Nov 22, 2017",0.068751,0.069417,0.066822,0.068538,14,-
"Nov 21, 2017",0.068652,0.069907,0.064767,0.068669,1,-
"Nov 20, 2017",0.046753,0.070240,0.046089,0.068645,8,-
"Nov 19, 2017",0.067101,0.157205,0.045511,0.046729,14,-
"Nov 18, 2017",0.060033,0.067679,0.058199,0.067226,12,-
"Nov 17, 2017",0.061888,0.062379,0.059098,0.060264,1,-
"Nov 16, 2017",0.057037,0.062501,0.055760,0.061381,9,-
