Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",10.28,11.43,10.15,11.34,5,"17,753"
"Dec 15, 2017",11.44,12.46,10.15,10.26,150,"19,757"
"Dec 14, 2017",11.30,11.77,9.44,11.42,67,"19,519"
"Dec 13, 2017",11.92,12.08,11.00,11.34,8,"20,592"
"Dec 12, 2017",11.66,12.25,11.39,11.91,92,"20,139"
"Dec 11, 2017",10.52,12.12,9.36,11.62,72,"18,169"
"Dec 10, 2017",8.72,10.94,8.43,10.59,59,"15,066"
"Dec 09, 2017",9.43,9.57,7.86,8.69,101,"16,294"
"Dec 08, 2017",10.38,11.76,8.17,9.44,118,"17,925"
"Dec 07, 2017",9.54,10.35,8.46,10.35,13,"16,470"
"Dec 06, 2017",6.79,9.57,6.79,9.55,12,"11,736"
"Dec 05, 2017",9.31,9.34,6.69,6.81,5,"16,074"
"Dec 04, 2017",10.01,10.32,9.21,9.29,66,"17,293"
"Dec 03, 2017",9.09,10.54,9.03,9.98,13,"15,705"
"Dec 02, 2017",9.64,9.88,8.94,9.08,2,"16,649"
"Dec 01, 2017",8.89,9.65,8.42,9.65,41,"15,361"
"Nov 30, 2017",8.36,9.09,8.01,8.94,2,"14,431"
"Nov 29, 2017",8.25,9.72,7.73,8.23,2,"14,240"
"Nov 28, 2017",8.85,8.89,8.15,8.25,48,"15,287"
"Nov 27, 2017",7.73,8.08,7.73,7.89,2,"13,358"
"Nov 26, 2017",7.87,8.13,7.41,7.73,81,"13,599"
"Nov 25, 2017",7.74,7.88,7.69,7.88,63,"13,361"
"Nov 24, 2017",7.24,7.51,7.10,7.36,35,"12,497"
"Nov 23, 2017",9.84,9.85,7.25,7.25,40,"16,998"
"Nov 20, 2017",9.93,10.20,9.82,10.13,242,"17,156"
"Nov 19, 2017",9.71,10.02,9.55,9.94,629,"16,776"
"Nov 18, 2017",6.30,9.81,6.11,9.73,372,"10,885"
"Nov 17, 2017",6.36,9.90,6.24,6.33,48,"10,986"
"Nov 16, 2017",5.84,9.12,5.80,6.37,97,"10,089"
"Nov 15, 2017",8.26,8.53,5.51,5.81,80,"14,271"
"Nov 14, 2017",8.11,8.30,8.07,8.26,220,"13,997"
"Nov 13, 2017",9.36,10.72,9.28,10.28,17,"16,157"
"Nov 12, 2017",7.84,10.26,7.62,9.34,197,"13,530"
"Nov 11, 2017",8.10,8.39,7.68,7.84,24,"13,983"
"Nov 10, 2017",13.39,13.77,7.95,8.13,17,"23,117"
"Nov 09, 2017",7.39,13.65,7.10,13.35,348,"12,753"
"Nov 08, 2017",8.90,9.30,4.14,7.39,52,"15,359"
"Nov 07, 2017",8.50,13.96,8.47,8.92,433,"14,669"
"Nov 06, 2017",9.02,9.06,8.48,8.51,22,"15,574"
"Nov 05, 2017",7.37,15.63,6.00,9.00,"1,201","12,728"
"Nov 04, 2017",3.74,7.54,3.65,7.39,289,"6,451"
"Nov 03, 2017",7.03,7.47,3.73,3.75,66,"12,130"
"Nov 02, 2017",9.26,10.06,6.84,7.04,456,"15,984"
