Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.000176,0.000196,0.000174,0.000195,38,-
"Dec 15, 2017",0.000166,0.000181,0.000166,0.000176,38,-
"Dec 14, 2017",0.000164,0.000171,0.000162,0.000166,109,-
"Dec 13, 2017",0.000173,0.000175,0.000159,0.000164,134,-
"Dec 12, 2017",0.000168,0.000348,0.000164,0.000173,340,-
"Dec 11, 2017",0.000152,0.000175,0.000152,0.000168,218,-
"Dec 10, 2017",0.000150,0.000313,0.000132,0.000154,"1,068",-
"Dec 09, 2017",0.000163,0.000165,0.000135,0.000150,710,-
"Dec 08, 2017",0.000174,0.000176,0.000141,0.000163,8,-
"Dec 07, 2017",0.000137,0.000173,0.000136,0.000173,357,-
"Dec 06, 2017",0.000234,0.000257,0.000117,0.000138,153,-
"Dec 05, 2017",0.000233,0.000238,0.000230,0.000235,322,-
"Dec 04, 2017",0.000337,0.000348,0.000223,0.000233,13,-
"Dec 03, 2017",0.000219,0.000336,0.000212,0.000336,189,-
"Dec 02, 2017",0.000218,0.000224,0.000215,0.000218,47,-
"Dec 01, 2017",0.000200,0.000219,0.000189,0.000218,7,-
"Nov 30, 2017",0.000295,0.000321,0.000184,0.000201,1,-
"Nov 29, 2017",0.000397,0.000417,0.000273,0.000290,294,-
"Nov 28, 2017",0.000293,0.000399,0.000193,0.000398,270,-
"Nov 27, 2017",0.000280,0.000292,0.000190,0.000292,171,-
"Nov 26, 2017",0.000175,0.000381,0.000175,0.000279,265,-
"Nov 25, 2017",0.000164,0.000258,0.000163,0.000175,78,-
"Nov 24, 2017",0.000161,0.000167,0.000158,0.000165,34,-
"Nov 23, 2017",0.000247,0.000248,0.000161,0.000161,"1,065",-
"Nov 22, 2017",0.000243,0.000249,0.000242,0.000247,924,-
"Nov 21, 2017",0.000247,0.000251,0.000234,0.000243,"1,618",-
"Nov 20, 2017",0.000322,0.000330,0.000241,0.000247,"1,497",-
"Nov 19, 2017",0.000234,0.000389,0.000231,0.000322,"77,946",-
"Nov 18, 2017",0.000231,0.000389,0.000224,0.000234,"87,600",-
"Nov 17, 2017",0.000235,0.000319,0.000227,0.000231,240,-
"Nov 16, 2017",0.000219,0.000301,0.000214,0.000236,240,-
"Nov 15, 2017",0.000264,0.000366,0.000216,0.000218,476,-
"Nov 14, 2017",0.000327,0.000336,0.000257,0.000264,661,-
"Nov 13, 2017",0.000235,0.000393,0.000192,0.000326,"11,754",-
"Nov 12, 2017",0.000254,0.000322,0.000221,0.000234,194,-
"Nov 11, 2017",0.000394,0.000399,0.000249,0.000255,"2,437",-
"Nov 10, 2017",0.000285,0.000440,0.000261,0.000396,"1,777",-
"Nov 09, 2017",0.000224,0.000568,0.000219,0.000284,"11,684",-
"Nov 08, 2017",0.000285,0.000314,0.000217,0.000224,393,-
"Nov 07, 2017",0.000278,0.000361,0.000278,0.000286,740,-
"Nov 06, 2017",0.000296,0.000428,0.000218,0.000279,918,-
"Nov 05, 2017",0.000148,0.000304,0.000146,0.000295,100,-
"Nov 04, 2017",0.000215,0.000218,0.000144,0.000148,52,-
"Nov 03, 2017",0.000281,0.000282,0.000143,0.000216,319,-
"Nov 02, 2017",0.000269,0.000366,0.000206,0.000281,361,-
"Nov 01, 2017",0.000387,0.000394,0.000259,0.000269,"4,181",-
"Oct 31, 2017",0.000429,0.000512,0.000366,0.000387,"1,333",-
"Oct 30, 2017",0.000493,0.000494,0.000362,0.000430,"57,942",-
"Oct 29, 2017",0.000458,0.000538,0.000343,0.000495,"68,907",-
"Oct 28, 2017",0.000288,0.000803,0.000227,0.000459,"138,056",-
"Oct 27, 2017",0.000235,0.000347,0.000232,0.000287,695,-
"Oct 26, 2017",0.000287,0.000419,0.000228,0.000235,"1,544",-
"Oct 25, 2017",0.000221,0.000287,0.000215,0.000287,513,-
"Oct 24, 2017",0.000293,0.000403,0.000219,0.000221,632,-
"Oct 23, 2017",0.000598,0.000655,0.000237,0.000294,"4,817",-
"Oct 22, 2017",0.000418,0.000660,0.000416,0.000599,"16,264",-
