Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.003706,0.003724,0.001997,0.002537,209,-
"Dec 15, 2017",0.002156,0.003917,0.001413,0.003701,"1,509",-
"Dec 14, 2017",0.002293,0.003489,0.000488,0.002153,685,-
"Dec 13, 2017",0.003973,0.004026,0.002284,0.002300,71,-
"Dec 12, 2017",0.006903,0.008003,0.002411,0.003970,510,-
"Dec 11, 2017",0.003659,0.007527,0.003643,0.006881,150,-
"Dec 10, 2017",0.003609,0.003785,0.003177,0.003686,4,-
"Dec 09, 2017",0.002277,0.005078,0.002195,0.003594,60,-
"Dec 08, 2017",0.005554,0.005637,0.001471,0.002279,"2,266",-
"Dec 07, 2017",0.005769,0.006739,0.005091,0.005541,82,-
"Dec 06, 2017",0.004914,0.006810,0.004743,0.005779,112,-
"Dec 05, 2017",0.004080,0.005019,0.003678,0.004925,402,-
"Dec 04, 2017",0.004834,0.004983,0.003811,0.004072,67,-
"Dec 03, 2017",0.005138,0.005233,0.003855,0.004818,58,-
"Dec 02, 2017",0.003592,0.005191,0.003540,0.005133,39,-
"Dec 01, 2017",0.004397,0.004719,0.003436,0.003595,575,-
"Nov 30, 2017",0.003735,0.004460,0.003420,0.004419,44,-
"Nov 29, 2017",0.008935,0.009783,0.003455,0.003678,149,-
"Nov 28, 2017",0.007609,0.008982,0.007536,0.008944,561,-
"Nov 27, 2017",0.007734,0.009324,0.003093,0.007590,"1,043",-
"Nov 26, 2017",0.007609,0.013493,0.007146,0.007732,491,-
"Nov 25, 2017",0.003120,0.007663,0.003111,0.007612,553,-
"Nov 24, 2017",0.012703,0.013506,0.003102,0.003126,3,-
"Nov 23, 2017",0.030634,0.048922,0.012720,0.012720,58,-
"Nov 22, 2017",0.020389,0.045802,0.009198,0.030643,534,-
"Nov 21, 2017",0.004586,0.020658,0.002900,0.020339,12,-
"Nov 20, 2017",0.006826,0.019174,0.003436,0.004585,454,-
"Nov 19, 2017",0.006792,0.006829,0.002543,0.006829,17,-
"Nov 18, 2017",0.031833,0.039138,0.002125,0.006804,"1,095",-
"Nov 17, 2017",0.004315,0.031956,0.003859,0.031956,188,-
"Nov 16, 2017",0.033943,0.034818,0.002286,0.004322,90,-
"Nov 15, 2017",0.002380,0.269161,0.002380,0.033527,188,-
"Nov 14, 2017",0.002612,0.003697,0.001960,0.002379,76,-
"Nov 13, 2017",0.002348,0.002690,0.002330,0.002607,104,-
"Nov 12, 2017",0.003308,0.004376,0.002265,0.002345,273,-
"Nov 11, 2017",0.004142,0.005564,0.003276,0.003310,139,-
"Nov 10, 2017",0.007129,0.007335,0.003603,0.004157,136,-
"Nov 09, 2017",0.005227,0.007237,0.003013,0.007108,213,-
"Nov 08, 2017",0.025049,0.026028,0.001173,0.005233,"3,694",-
"Nov 07, 2017",0.024496,0.025394,0.024125,0.025128,47,-
"Nov 06, 2017",0.024951,0.025221,0.024446,0.024535,1,-
"Nov 05, 2017",0.035994,0.037126,0.035637,0.036121,597,-
"Nov 04, 2017",0.035792,0.040187,0.035792,0.036062,"1,062",-
