Date,Open,High,Low,Close,Volume,Market Cap
"Dec 16, 2017",0.228973,0.253555,0.217203,0.233885,10,"1,918,310"
"Dec 15, 2017",0.210260,0.232292,0.209296,0.228779,68,"1,761,530"
"Dec 14, 2017",0.212409,0.215436,0.195462,0.209272,28,"1,779,530"
"Dec 13, 2017",0.223206,0.226168,0.207416,0.213090,412,"1,869,990"
"Dec 12, 2017",0.203050,0.301897,0.197961,0.223020,560,"1,701,130"
"Dec 11, 2017",0.263158,0.292102,0.202400,0.202400,263,"2,204,700"
"Dec 10, 2017",0.210309,0.270398,0.173395,0.265977,9,"1,761,940"
"Dec 09, 2017",0.234362,0.332334,0.196188,0.209685,22,"1,963,450"
"Dec 08, 2017",0.248703,0.259203,0.201794,0.234598,322,"2,083,600"
"Dec 07, 2017",0.196647,0.298379,0.194138,0.248119,466,"1,647,480"
"Dec 06, 2017",0.140409,0.197250,0.140409,0.196964,253,"1,176,330"
"Dec 05, 2017",0.163188,0.166113,0.139322,0.140721,231,"1,367,170"
"Dec 04, 2017",0.149403,0.163519,0.144706,0.162867,36,"1,251,680"
"Dec 03, 2017",0.160279,0.188445,0.148910,0.148910,189,"1,342,800"
"Dec 02, 2017",0.170884,0.173955,0.150979,0.160004,13,"1,431,650"
"Dec 01, 2017",0.119923,0.172029,0.113533,0.171030,52,"1,004,700"
"Nov 30, 2017",0.149887,0.180101,0.117986,0.120520,234,"1,255,740"
"Nov 29, 2017",0.231880,0.243423,0.147126,0.147620,64,"1,942,660"
"Nov 28, 2017",0.170598,0.229203,0.147510,0.228254,108,"1,429,250"
"Nov 27, 2017",0.142590,0.174474,0.142590,0.170157,45,"1,194,600"
"Nov 26, 2017",0.138101,0.145610,0.135815,0.142562,54,"1,156,990"
"Nov 25, 2017",0.121487,0.161626,0.121390,0.138133,14,"1,017,810"
"Nov 24, 2017",0.174281,0.175536,0.117430,0.121736,213,"1,460,110"
"Nov 23, 2017",0.177870,0.183084,0.121214,0.174683,625,"1,490,180"
"Nov 22, 2017",0.180615,0.184856,0.107326,0.178026,802,"1,513,170"
"Nov 21, 2017",0.200589,0.230207,0.093618,0.180177,529,"1,680,510"
"Nov 20, 2017",0.207477,0.231638,0.166418,0.200552,936,"1,738,210"
"Nov 19, 2017",0.093287,0.208983,0.083903,0.207603,"1,595","781,548"
"Nov 18, 2017",0.093009,0.094180,0.080400,0.093461,14,"779,221"
"Nov 17, 2017",0.137375,0.140193,0.079104,0.093367,153,"1,150,910"
"Nov 16, 2017",0.175857,0.175857,0.107969,0.137610,"3,010","1,473,310"
"Nov 15, 2017",0.113358,0.178116,0.082405,0.174941,924,"949,699"
"Nov 14, 2017",0.101670,0.129671,0.067532,0.113268,353,"851,782"
"Nov 13, 2017",0.077744,0.158246,0.077138,0.101479,206,"651,330"
"Nov 12, 2017",0.133601,0.148682,0.069489,0.077631,369,"1,119,290"
"Nov 11, 2017",0.078119,0.134031,0.078006,0.133690,479,"654,471"
"Nov 10, 2017",0.071286,0.087349,0.071286,0.078415,249,"597,225"
"Nov 09, 2017",0.074749,0.088869,0.070838,0.071075,119,"626,236"
"Nov 08, 2017",0.071233,0.078506,0.070809,0.074826,11,"596,776"
"Nov 07, 2017",0.070912,0.072214,0.069950,0.071457,49,"594,092"
"Nov 06, 2017",0.073342,0.080408,0.069518,0.071026,53,"614,451"
"Nov 05, 2017",0.073178,0.120165,0.072371,0.073180,144,"613,075"
"Nov 04, 2017",0.070523,0.074288,0.068905,0.073317,7,"590,829"
"Nov 03, 2017",0.069250,0.094242,0.068478,0.070706,8,"580,164"
"Nov 02, 2017",0.066008,0.091019,0.066008,0.069340,87,"542,349"
"Nov 01, 2017",0.063215,0.066056,0.062447,0.065934,7,"519,402"
"Oct 31, 2017",0.067118,0.070500,0.059856,0.063261,30,"551,474"
"Oct 30, 2017",0.146424,0.152653,0.146424,0.152653,4,"1,203,090"
"Oct 29, 2017",0.056191,0.154137,0.056178,0.153357,4,"461,689"
"Oct 28, 2017",0.061899,0.063049,0.055851,0.056268,158,"508,591"
"Oct 27, 2017",0.063841,0.063864,0.061381,0.061731,3,"524,549"
"Oct 26, 2017",0.070934,0.074027,0.070471,0.073461,15,"582,828"
"Oct 25, 2017",0.059048,0.071069,0.054986,0.070943,14,"485,162"
"Oct 24, 2017",0.072674,0.072674,0.057784,0.058784,5,"597,125"
"Oct 23, 2017",0.059016,0.074270,0.055339,0.072835,32,"484,899"
"Oct 22, 2017",0.061711,0.062178,0.056270,0.059111,9,"507,043"
"Oct 21, 2017",0.129113,0.130072,0.061710,0.061710,29,"1,060,850"
"Oct 20, 2017",0.077231,0.132514,0.077156,0.131717,5,"634,568"
"Oct 19, 2017",0.055202,0.077816,0.054708,0.077369,71,"453,565"
"Oct 18, 2017",0.052977,0.055439,0.052977,0.055173,5,"435,283"
"Oct 17, 2017",0.074068,0.101267,0.071033,0.086083,0,"608,577"
"Oct 16, 2017",0.072629,0.074429,0.071033,0.074057,8,"596,749"
"Oct 15, 2017",0.057635,0.073049,0.053790,0.072619,3,"473,554"
"Oct 14, 2017",0.072619,0.072619,0.054707,0.057532,7,"596,669"
"Oct 13, 2017",0.070729,0.076401,0.070277,0.072599,39,"581,142"
"Oct 12, 2017",0.070656,0.076256,0.049909,0.070512,124,"580,542"
"Oct 11, 2017",0.069727,0.071277,0.069173,0.070596,48,"572,906"
"Oct 10, 2017",0.030064,0.072249,0.028758,0.069738,80,"247,016"
"Oct 09, 2017",0.059836,0.059970,0.030064,0.030064,0,"491,641"
"Oct 08, 2017",0.052608,0.059960,0.052320,0.059821,3,"432,253"
"Oct 07, 2017",0.056204,0.064423,0.051651,0.052725,9,"461,795"
"Oct 06, 2017",0.057962,0.058955,0.047919,0.056186,90,"476,245"
"Oct 05, 2017",0.076510,0.085464,0.057598,0.057963,58,"628,644"
"Oct 04, 2017",0.062739,0.077241,0.059963,0.076510,0,"515,488"
"Oct 03, 2017",0.048475,0.062933,0.047152,0.062739,0,"398,295"
"Oct 02, 2017",0.064813,0.065312,0.048091,0.048474,29,"532,533"
"Oct 01, 2017",0.064310,0.064842,0.062902,0.064842,3,"528,398"
"Sep 30, 2017",0.060923,0.064503,0.060868,0.064275,51,"500,572"
"Sep 29, 2017",0.038497,0.063390,0.037162,0.060915,7,"316,312"
"Sep 28, 2017",0.059444,0.063751,0.038527,0.038527,73,"488,418"
"Sep 27, 2017",0.056087,0.059703,0.056085,0.059444,130,"460,836"
"Sep 26, 2017",0.034929,0.035350,0.033171,0.034118,0,"286,994"
"Sep 25, 2017",0.034824,0.035255,0.034729,0.034931,39,"286,129"
"Sep 24, 2017",0.037928,0.040176,0.036457,0.036969,0,"311,630"
"Sep 23, 2017",0.023190,0.056312,0.022783,0.037929,49,"190,536"
"Sep 22, 2017",0.022142,0.036076,0.021541,0.023450,0,"181,925"
"Sep 21, 2017",0.037751,0.039876,0.022009,0.022191,0,"310,176"
"Sep 20, 2017",0.035667,0.038244,0.026872,0.037871,12,"293,057"
"Sep 19, 2017",0.045461,0.045716,0.035264,0.035714,17,"373,526"
"Sep 18, 2017",0.040704,0.045741,0.040704,0.045350,3,"334,441"
"Sep 17, 2017",0.041379,0.042325,0.038729,0.040785,2,"339,986"
"Sep 16, 2017",0.035238,0.041744,0.033784,0.041407,4,"289,534"
"Sep 15, 2017",0.028812,0.036961,0.027186,0.035330,47,"236,734"
"Sep 14, 2017",0.033913,0.033927,0.028149,0.028589,144,"278,647"
"Sep 13, 2017",0.039656,0.039800,0.036095,0.037649,56,"325,829"
"Sep 12, 2017",0.036195,0.042459,0.036195,0.039807,105,"297,395"
"Sep 11, 2017",0.047300,0.048486,0.035634,0.036160,6,"388,638"
"Sep 10, 2017",0.043096,0.048074,0.041998,0.047151,11,"354,098"
"Sep 09, 2017",0.043115,0.043904,0.037596,0.043207,44,"354,252"
"Sep 08, 2017",0.053131,0.056121,0.040990,0.043032,86,"436,545"
"Sep 07, 2017",0.044784,0.056531,0.043850,0.053452,17,"367,969"
"Sep 06, 2017",0.039890,0.046642,0.039147,0.044864,85,"327,756"
"Sep 05, 2017",0.038281,0.041367,0.036066,0.040078,15,"314,535"
"Sep 04, 2017",0.048913,0.075593,0.036940,0.038084,406,"401,891"
"Sep 03, 2017",0.040177,0.055115,0.039957,0.048821,18,"330,116"
"Sep 02, 2017",0.062287,0.063017,0.039181,0.040153,486,"511,780"
"Sep 01, 2017",0.047632,0.062239,0.047180,0.062209,31,"391,367"
"Aug 31, 2017",0.052794,0.086220,0.047298,0.047624,10,"433,775"
"Aug 30, 2017",0.063673,0.067533,0.042017,0.052769,62,"523,170"
"Aug 29, 2017",0.055556,0.063965,0.037645,0.063759,165,"456,471"
"Aug 28, 2017",0.064715,0.064715,0.044672,0.055558,11,"531,724"
"Aug 27, 2017",0.064901,0.065760,0.064447,0.064782,1,"533,256"
"Aug 26, 2017",0.075104,0.075104,0.063980,0.064916,40,"617,090"
"Aug 25, 2017",0.071294,0.077355,0.068934,0.074764,18,"585,787"
"Aug 24, 2017",0.076593,0.077911,0.035408,0.071407,47,"629,320"
"Aug 23, 2017",0.076410,0.079345,0.030980,0.076560,197,"627,814"
"Aug 22, 2017",0.075287,0.077471,0.027268,0.076566,153,"618,595"
"Aug 21, 2017",0.103907,0.111806,0.028582,0.075114,699,"853,746"
"Aug 20, 2017",0.107737,0.107737,0.102788,0.104303,1,"885,214"
"Aug 19, 2017",0.108958,0.110969,0.103848,0.108242,6,"895,250"
"Aug 18, 2017",0.117909,0.118569,0.106213,0.109051,4,"968,792"
"Aug 17, 2017",0.121659,0.124747,0.115564,0.118270,5,"999,602"
"Aug 16, 2017",0.117467,0.121793,0.111702,0.121771,2,"965,162"
"Aug 15, 2017",0.122628,0.125464,0.109234,0.117338,6,"1,007,570"
"Aug 14, 2017",0.118325,0.125484,0.115957,0.122299,2,"972,213"
"Aug 13, 2017",0.115784,0.125418,0.115255,0.118250,3,"951,335"
"Aug 12, 2017",0.116519,0.121278,0.094453,0.116124,50,"957,372"
"Aug 11, 2017",0.101527,0.118187,0.101078,0.116610,93,"834,190"
"Aug 10, 2017",0.103633,0.110000,0.101192,0.101533,10,"851,491"
"Aug 09, 2017",0.105981,0.106234,0.100667,0.103623,10,"870,787"
"Aug 08, 2017",0.107348,0.109365,0.104683,0.106053,16,"882,018"
"Aug 07, 2017",0.102272,0.107660,0.101124,0.107239,19,"840,312"
"Aug 06, 2017",0.102297,0.104978,0.099429,0.102501,4,"840,517"
"Aug 05, 2017",0.092060,0.107219,0.091992,0.102272,5,"756,409"
"Aug 04, 2017",0.104234,0.104523,0.088020,0.092101,122,"856,431"
"Aug 03, 2017",0.101426,0.104714,0.054046,0.104260,40,"833,364"
"Aug 02, 2017",0.057969,0.104305,0.057349,0.101245,34,"476,303"
"Aug 01, 2017",0.090020,0.303734,0.056687,0.057990,3,"739,640"
"Jul 31, 2017",0.096039,0.096124,0.085194,0.089976,10,"789,100"
"Jul 30, 2017",0.097158,0.098161,0.093401,0.095941,256,"798,294"
"Jul 29, 2017",0.099323,0.099595,0.095278,0.097172,3,"816,082"
"Jul 28, 2017",0.095717,0.101387,0.095690,0.099701,12,"786,455"
"Jul 27, 2017",0.102343,0.125372,0.090326,0.095428,109,"840,897"
"Jul 26, 2017",0.091273,0.092900,0.085977,0.088545,0,"749,943"
"Jul 25, 2017",0.098382,0.099057,0.087342,0.091232,2,"808,349"
"Jul 24, 2017",0.098469,0.099851,0.096906,0.098392,11,"809,066"
"Jul 23, 2017",0.100793,0.101742,0.095337,0.098584,231,"828,158"
"Jul 22, 2017",0.094981,0.102703,0.094527,0.100793,8,"780,410"
"Jul 21, 2017",0.086147,0.097333,0.080661,0.095001,56,"707,822"
"Jul 20, 2017",0.080286,0.090035,0.072630,0.085485,34,"659,663"
"Jul 19, 2017",0.078568,0.115262,0.076814,0.080528,72,"645,552"
"Jul 18, 2017",0.104186,0.104439,0.057314,0.078443,606,"856,039"
"Jul 17, 2017",0.061149,0.106822,0.061149,0.103918,912,"502,426"
"Jul 16, 2017",0.065265,0.067379,0.057741,0.061217,127,"536,250"
"Jul 15, 2017",0.069242,0.072309,0.064777,0.065462,13,"568,926"
"Jul 14, 2017",0.070231,0.070554,0.065853,0.069361,59,"577,046"
"Jul 13, 2017",0.067818,0.072417,0.067602,0.070282,39,"557,221"
